method,defense,run_dir,probe_seed,objective,training_views,dataset_fingerprint,model_revision,position_model_revision,historical_test_scored
car_only,none,outputs/reve_benchmark_lock/car_only_s7,7,car_only,car,bcc4ee2d6dbe1725,fa9a2163a4b7c0a42c8e28b56077ef9c368944dc,befa5b57a455b77cf302daf610c2e9ed8140bace,False
car_only,none,outputs/reve_benchmark_lock/car_only_s21,21,car_only,car,bcc4ee2d6dbe1725,fa9a2163a4b7c0a42c8e28b56077ef9c368944dc,befa5b57a455b77cf302daf610c2e9ed8140bace,False
car_only,none,outputs/reve_benchmark_lock/car_only_s42,42,car_only,car,bcc4ee2d6dbe1725,fa9a2163a4b7c0a42c8e28b56077ef9c368944dc,befa5b57a455b77cf302daf610c2e9ed8140bace,False
joint_multiview_ce,none,outputs/reve_benchmark_lock/joint_multiview_ce_s7,7,multi_view_ce,car|pz|fz|native32@car|native32@pz|native32@fz|native16@car|native16@pz|native16@fz,bcc4ee2d6dbe1725,fa9a2163a4b7c0a42c8e28b56077ef9c368944dc,befa5b57a455b77cf302daf610c2e9ed8140bace,False
joint_multiview_ce,none,outputs/reve_benchmark_lock/joint_multiview_ce_s21,21,multi_view_ce,car|pz|fz|native32@car|native32@pz|native32@fz|native16@car|native16@pz|native16@fz,bcc4ee2d6dbe1725,fa9a2163a4b7c0a42c8e28b56077ef9c368944dc,befa5b57a455b77cf302daf610c2e9ed8140bace,False
joint_multiview_ce,none,outputs/reve_benchmark_lock/joint_multiview_ce_s42,42,multi_view_ce,car|pz|fz|native32@car|native32@pz|native32@fz|native16@car|native16@pz|native16@fz,bcc4ee2d6dbe1725,fa9a2163a4b7c0a42c8e28b56077ef9c368944dc,befa5b57a455b77cf302daf610c2e9ed8140bace,False
ssi_car_only,spherical_spline,outputs/reve_channel_adaptation/ssi_car_only_s7,7,car_only,car,bcc4ee2d6dbe1725,fa9a2163a4b7c0a42c8e28b56077ef9c368944dc,befa5b57a455b77cf302daf610c2e9ed8140bace,False
ssi_car_only,spherical_spline,outputs/reve_channel_adaptation/ssi_car_only_s21,21,car_only,car,bcc4ee2d6dbe1725,fa9a2163a4b7c0a42c8e28b56077ef9c368944dc,befa5b57a455b77cf302daf610c2e9ed8140bace,False
ssi_car_only,spherical_spline,outputs/reve_channel_adaptation/ssi_car_only_s42,42,car_only,car,bcc4ee2d6dbe1725,fa9a2163a4b7c0a42c8e28b56077ef9c368944dc,befa5b57a455b77cf302daf610c2e9ed8140bace,False
ssi_joint_multiview_ce,spherical_spline,outputs/reve_channel_adaptation/ssi_joint_multiview_ce_s7,7,multi_view_ce,car|pz|fz|native32@car|native32@pz|native32@fz|native16@car|native16@pz|native16@fz,bcc4ee2d6dbe1725,fa9a2163a4b7c0a42c8e28b56077ef9c368944dc,befa5b57a455b77cf302daf610c2e9ed8140bace,False
ssi_joint_multiview_ce,spherical_spline,outputs/reve_channel_adaptation/ssi_joint_multiview_ce_s21,21,multi_view_ce,car|pz|fz|native32@car|native32@pz|native32@fz|native16@car|native16@pz|native16@fz,bcc4ee2d6dbe1725,fa9a2163a4b7c0a42c8e28b56077ef9c368944dc,befa5b57a455b77cf302daf610c2e9ed8140bace,False
ssi_joint_multiview_ce,spherical_spline,outputs/reve_channel_adaptation/ssi_joint_multiview_ce_s42,42,multi_view_ce,car|pz|fz|native32@car|native32@pz|native32@fz|native16@car|native16@pz|native16@fz,bcc4ee2d6dbe1725,fa9a2163a4b7c0a42c8e28b56077ef9c368944dc,befa5b57a455b77cf302daf610c2e9ed8140bace,False
