method,test_view,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,worst_class_recall_mean
car_only,car,0.5326149286108618,0.006065663754386797,0.5298541115512005,0.40168970814132104
car_only,cz,0.5023222490407048,0.007515275478445646,0.4970595115457698,0.33640552995391704
car_only,fz,0.5187899764942375,0.010858132878925024,0.5154214828847524,0.38473573419809975
car_only,native16@car,0.3517974706697759,0.0068627260420453876,0.308741761917854,0.06075747739310281
car_only,native16@cz,0.3553396412795724,0.016154543777731123,0.3129448237074994,0.08464682155362331
car_only,native16@fz,0.3446371834076481,0.01870644692011365,0.296320182535232,0.06769830035865945
car_only,native16@pz,0.35962324912128857,0.023310570542825503,0.3154757742622672,0.09634394379018035
car_only,native32@car,0.41551319668662384,0.006212753858484851,0.39263463325637105,0.20020834436852233
car_only,native32@cz,0.409780603695711,0.00853427649171593,0.390620878573881,0.202544273178311
car_only,native32@fz,0.40593216965115947,0.010211827356600723,0.3755022518152293,0.16025213199851687
car_only,native32@pz,0.4080795022243657,0.012879100343264085,0.38577694977693183,0.16403894293679241
car_only,pz,0.5029022543558545,0.02128470401245382,0.49702367669983677,0.32565284178187404
joint_multiview_ce,car,0.5500344670692267,0.008875945197580297,0.5490196400018862,0.4420078543225381
joint_multiview_ce,cz,0.5254740802433592,0.013036058544749407,0.521326362454391,0.3786482334869432
joint_multiview_ce,fz,0.5408240590654242,0.0177732765168954,0.5396089888332082,0.4235569367432587
joint_multiview_ce,native16@car,0.44272577438301947,0.00447850857639817,0.43950845601917155,0.33395559538032654
joint_multiview_ce,native16@cz,0.43507595261494253,0.006166096641829133,0.4291921851696013,0.2980030721966206
joint_multiview_ce,native16@fz,0.4423819421187578,0.024094063739230693,0.4396453287032654,0.3308905103259942
joint_multiview_ce,native16@pz,0.446213466116611,0.010729964320321443,0.4425358694967582,0.3225806451612903
joint_multiview_ce,native32@car,0.48460947853914044,0.021571306533228824,0.4826001828670942,0.37896928867650764
joint_multiview_ce,native32@cz,0.47178489268375245,0.01750224743330509,0.47061737361761774,0.3816670933606418
joint_multiview_ce,native32@fz,0.47946948145619084,0.023578368578828245,0.4751457185650631,0.3313449197007269
joint_multiview_ce,native32@pz,0.48326354506502067,0.01890655227913897,0.4822678515623949,0.3981776126974667
joint_multiview_ce,pz,0.5429317228525821,0.0032271892886921306,0.5418412517021337,0.4320161201633302
ssi_car_only,car,0.5326149286108618,0.006065663754386797,0.5298541115512005,0.40168970814132104
ssi_car_only,cz,0.5023222490407048,0.007515275478445646,0.4970595115457698,0.33640552995391704
ssi_car_only,fz,0.5187899764942375,0.010858132878925024,0.5154214828847524,0.38473573419809975
ssi_car_only,native16@car,0.3066161654678074,0.026426379803648745,0.25962502907423735,0.10224298799567617
ssi_car_only,native16@cz,0.30220731515436,0.025254753910903066,0.25279978501041417,0.10595603482607562
ssi_car_only,native16@fz,0.3098192544098246,0.027632073483532523,0.2788759595702997,0.1446360153256705
ssi_car_only,native16@pz,0.2939789913572422,0.01425030200889298,0.2269136919667258,0.06994269548959946
ssi_car_only,native32@car,0.3792223127045424,0.023349927775272693,0.36617779312099685,0.21984472753382653
ssi_car_only,native32@cz,0.3703576492497052,0.03046940264637613,0.35510321448768023,0.21735312899106005
ssi_car_only,native32@fz,0.37839445925294884,0.020600137836442427,0.366133413993932,0.23339719029374204
ssi_car_only,native32@pz,0.34253963948630467,0.020785545121347438,0.3105058202766487,0.14592933947772657
ssi_car_only,pz,0.5029022543558545,0.02128470401245382,0.49702367669983677,0.32565284178187404
ssi_joint_multiview_ce,car,0.5413325154658358,0.009942813396535343,0.5417318996615461,0.45623186550605904
ssi_joint_multiview_ce,cz,0.5276965327632083,0.0005321702866909743,0.5280611633443206,0.45010525118051997
ssi_joint_multiview_ce,fz,0.5365464458204172,0.007847292531619218,0.5362735012792773,0.44123625759623675
ssi_joint_multiview_ce,native16@car,0.43296052314978434,0.0016202326568736521,0.42988496362185563,0.3413029519339584
ssi_joint_multiview_ce,native16@cz,0.43278495547304346,0.013609998620430393,0.42903599300700224,0.3532669195391697
ssi_joint_multiview_ce,native16@fz,0.4416365663692638,0.013985307121744067,0.4382240771936887,0.34517335206450905
ssi_joint_multiview_ce,native16@pz,0.44006585039920076,0.005010278803942433,0.43809988044284637,0.36117976318254447
ssi_joint_multiview_ce,native32@car,0.47057553803730484,0.006596206660570327,0.46885621696338825,0.3693356374807988
ssi_joint_multiview_ce,native32@cz,0.46406447427800007,0.0028695205640367665,0.46100729497864606,0.36625988507708934
ssi_joint_multiview_ce,native32@fz,0.4717488892398402,0.005228536782016757,0.46951085739295867,0.36162314388120836
ssi_joint_multiview_ce,native32@pz,0.475356877177251,0.00269250865588435,0.4728711834273167,0.37283021679207334
ssi_joint_multiview_ce,pz,0.5394274106999883,0.012802912567879864,0.5402290357879943,0.4657818652117873
