epoch,train_loss,train_ce_loss,train_consistency_loss,validation_car_balanced_accuracy,validation_balanced_accuracy,validation_consistency_loss,validation_prediction_disagreement,learning_rate
1.0,1.4158265691333347,1.4158265691333347,0.0,0.2533579154375614,0.2533579154375614,0.0,0.0,6.450892358088527e-06
2.0,1.4113068790789003,1.4113068790789003,0.0,0.2511160275319567,0.2511160275319567,0.0,0.0,1.6722788633201854e-05
3.0,1.4161960557655051,1.4161960557655051,0.0,0.2511111111111111,0.2511111111111111,0.0,0.0,3.3002647113295634e-05
4.0,1.4110510781959251,1.4110510781959251,0.0,0.3894853560893384,0.3894853560893384,0.0,0.0,5.880448399262659e-05
5.0,1.2404877111646864,1.2404877111646864,0.0,0.3917832999719062,0.3917832999719062,0.0,0.0,9.969763961567034e-05
6.0,1.168767831767047,1.168767831767047,0.0,0.5576447710352578,0.5576447710352578,0.0,0.0,9.969763961567034e-05
7.0,1.0632123503861604,1.0632123503861604,0.0,0.6089504319426885,0.6089504319426885,0.0,0.0,9.969763961567034e-05
8.0,0.9890925958421495,0.9890925958421495,0.0,0.6087726506531816,0.6087726506531816,0.0,0.0,9.969763961567034e-05
9.0,0.901816712308813,0.901816712308813,0.0,0.6108662118977385,0.6108662118977385,0.0,0.0,9.969763961567034e-05
10.0,0.8229150425946271,0.8229150425946271,0.0,0.646658326309875,0.646658326309875,0.0,0.0,9.969763961567034e-05
11.0,0.7721865899033017,0.7721865899033017,0.0,0.6400208508919792,0.6400208508919792,0.0,0.0,9.969763961567034e-05
12.0,0.7162468564951862,0.7162468564951862,0.0,0.6409405727630285,0.6409405727630285,0.0,0.0,9.969763961567034e-05
13.0,0.6653041832535355,0.6653041832535355,0.0,0.6288028076274758,0.6288028076274758,0.0,0.0,9.969763961567034e-05
14.0,0.6336129659193533,0.6336129659193533,0.0,0.6413794511167299,0.6413794511167299,0.0,0.0,9.969763961567034e-05
15.0,0.5873834396733179,0.5873834396733179,0.0,0.6656214882708246,0.6656214882708246,0.0,0.0,9.969763961567034e-05
16.0,0.5688666944592088,0.5688666944592088,0.0,0.6487175604017418,0.6487175604017418,0.0,0.0,9.969763961567034e-05
17.0,0.5311135181674251,0.5311135181674251,0.0,0.6320017295266189,0.6320017295266189,0.0,0.0,9.969763961567034e-05
18.0,0.4918744278837133,0.4918744278837133,0.0,0.6253296196797302,0.6253296196797302,0.0,0.0,9.969763961567034e-05
19.0,0.4578864910425963,0.4578864910425963,0.0,0.6787878388818653,0.6787878388818653,0.0,0.0,9.969763961567034e-05
20.0,0.43295764808301573,0.43295764808301573,0.0,0.6534042702626774,0.6534042702626774,0.0,0.0,9.969763961567034e-05
