probe_seed,test_view,class_index,class_name,point_recall_gap,n_subjects,n_resamples,confidence,bootstrap_mean_recall_gap,ci_lower,ci_upper,probability_gap_positive,ci_excludes_zero
7,cz,0,left_fist,0.22172949002217296,20,10000,0.95,0.22217745702547637,0.18362831858407086,0.2606741573033708,1.0,True
7,cz,1,right_fist,-0.015590200445434355,20,10000,0.95,-0.015241571989861882,-0.05088495575221241,0.021645021645021634,0.1825,False
7,cz,2,both_fists,-0.046666666666666634,20,10000,0.95,-0.04674954541933159,-0.09492523448503193,0.0,0.0208,False
7,cz,3,both_feet,0.08167770419426046,20,10000,0.95,0.08143008478516096,0.028320900824097706,0.13378684807256236,0.9986,True
7,pz,0,left_fist,0.1419068736141907,20,10000,0.95,0.14210742348214747,0.10619469026548672,0.17897091722595077,1.0,True
7,pz,1,right_fist,0.035634743875278374,20,10000,0.95,0.03558016040079758,-0.006711785596051389,0.07692307692307698,0.9439,False
7,pz,2,both_fists,0.053333333333333344,20,10000,0.95,0.05368340873479553,-0.01106194690265494,0.11212814645308922,0.9474,False
7,pz,3,both_feet,-0.11699779249448128,20,10000,0.95,-0.11714785123692946,-0.1875,-0.04139433551198257,0.0011,True
7,fcz,0,left_fist,0.17073170731707316,20,10000,0.95,0.170980832013884,0.12986722449809698,0.21088697017268443,1.0,True
7,fcz,1,right_fist,-0.05122494432071267,20,10000,0.95,-0.05085869967810092,-0.09090909090909094,-0.006593045112781938,0.0133,True
7,fcz,2,both_fists,-0.05111111111111111,20,10000,0.95,-0.05111938631101929,-0.09628134221990241,-0.008968609865470874,0.0052,True
7,fcz,3,both_feet,0.11699779249448117,20,10000,0.95,0.11705277945605409,0.0633187772925764,0.175704989154013,1.0,True
7,random_linear,0,left_fist,-0.019955654101995624,20,10000,0.95,-0.020142852853601165,-0.03524229074889862,-0.006696428571428492,0.0,True
7,random_linear,1,right_fist,-0.017817371937639215,20,10000,0.95,-0.017737064696284718,-0.03304147095720164,-0.002150422262217851,0.0138,True
7,random_linear,2,both_fists,-0.0022222222222222365,20,10000,0.95,-0.0023052726016919854,-0.03111111111111109,0.01814058956916098,0.4325,False
7,random_linear,3,both_feet,0.0331125827814569,20,10000,0.95,0.03317782244472794,0.010752688172043001,0.05960264900662249,0.9983,True
21,cz,0,left_fist,0.1973392461197339,20,10000,0.95,0.19769140372419566,0.14932126696832576,0.2560706401766004,1.0,True
21,cz,1,right_fist,0.026726057906458767,20,10000,0.95,0.026811646409604338,-0.02576568092439573,0.08258928571428575,0.8194,False
21,cz,2,both_fists,-0.1133333333333334,20,10000,0.95,-0.11345176535041847,-0.16666666666666663,-0.05831485050702672,0.0,True
21,cz,3,both_feet,-0.024282560706401723,20,10000,0.95,-0.0244394334331664,-0.07159213597899036,0.022271714922048935,0.1413,False
21,pz,0,left_fist,0.11086474501108645,20,10000,0.95,0.1108760708683177,0.07990867579908678,0.14628820960698685,1.0,True
21,pz,1,right_fist,0.0,20,10000,0.95,-0.00011522562607078737,-0.04910714285714285,0.04694914453161925,0.4887,False
21,pz,2,both_fists,0.0022222222222221255,20,10000,0.95,0.0030221722045510467,-0.052522182412773157,0.05263157894736836,0.5462,False
21,pz,3,both_feet,-0.12582781456953634,20,10000,0.95,-0.12568881778426694,-0.18468540196247202,-0.06387665198237891,0.0001,True
