method,test_view,balanced_accuracy_mean,balanced_accuracy_std,worst_class_recall_mean,both_fists_recall_mean
car_only,car,0.5326149286108618,0.006065663754386797,0.40168970814132104,0.40168970814132104
car_only,cz,0.5023222490407048,0.007515275478445646,0.33640552995391704,0.33640552995391704
car_only,fz,0.5187899764942375,0.010858132878925024,0.38473573419809975,0.3901689708141321
car_only,native16@car,0.3517974706697759,0.0068627260420453876,0.06075747739310281,0.24270353302611367
car_only,native16@cz,0.3553396412795724,0.016154543777731123,0.08464682155362331,0.22043010752688172
car_only,native16@fz,0.3446371834076481,0.01870644692011365,0.06769830035865945,0.25883256528417814
car_only,native16@pz,0.35962324912128857,0.023310570542825503,0.09634394379018035,0.2442396313364055
car_only,native32@car,0.41551319668662384,0.006212753858484851,0.20020834436852233,0.271889400921659
car_only,native32@cz,0.409780603695711,0.00853427649171593,0.202544273178311,0.2596006144393241
car_only,native32@fz,0.40593216965115947,0.010211827356600723,0.16025213199851687,0.195852534562212
car_only,native32@pz,0.4080795022243657,0.012879100343264085,0.16403894293679241,0.1835637480798771
car_only,pz,0.5029022543558545,0.02128470401245382,0.32565284178187404,0.32565284178187404
gqba_odd,car,0.5448087040272213,0.00807459272705861,0.4415180349320134,0.4715821812596006
gqba_odd,cz,0.5231307372562148,0.008403061956121147,0.3959443473347812,0.40706605222734255
gqba_odd,fz,0.5442530802358564,0.018664155659390926,0.44308613529043633,0.466973886328725
gqba_odd,native16@car,0.44092150229045557,0.001973679457380694,0.32279399214883087,0.40322580645161293
gqba_odd,native16@cz,0.4349842540170772,0.0018447286831010325,0.3266555726233145,0.38556067588325654
gqba_odd,native16@fz,0.43863497837866383,0.012121262990852076,0.31971468396199576,0.42857142857142855
gqba_odd,native16@pz,0.43940177682242093,0.006940455821232784,0.30357498435455427,0.39247311827956993
gqba_odd,native32@car,0.4841701835930144,0.019651204895685014,0.3521363145019059,0.4400921658986175
gqba_odd,native32@cz,0.46324651102606634,0.012053734475391946,0.33132787165045224,0.4155145929339478
gqba_odd,native32@fz,0.4659724191537644,0.02206397985612816,0.34298372873641686,0.3817204301075268
gqba_odd,native32@pz,0.47206844978002316,0.016057587597649987,0.34981438812083976,0.4362519201228879
gqba_odd,pz,0.5348306575800548,0.010655911169896597,0.43539853217272567,0.4646697388632872
gqba_odd_even,car,0.539658146421301,0.012317687052843999,0.46121795212907485,0.4861751152073733
gqba_odd_even,cz,0.5218439180889788,0.023658815413852962,0.41275785558321704,0.4362519201228879
gqba_odd_even,fz,0.5296668046951619,0.016405134241065406,0.4365978083105402,0.489247311827957
gqba_odd_even,native16@car,0.4454287682394826,0.019461876008788924,0.3317965616414796,0.4278033794162826
gqba_odd_even,native16@cz,0.43430010940802327,0.01594763042094198,0.3272114080428168,0.4009216589861751
gqba_odd_even,native16@fz,0.4367854401503248,0.012666100835271529,0.32483798439620537,0.4447004608294931
gqba_odd_even,native16@pz,0.4452384417973991,0.009657580925561914,0.3410345108378956,0.44623655913978494
gqba_odd_even,native32@car,0.4700305081265001,0.02336005670819369,0.366524047736643,0.4201228878648234
gqba_odd_even,native32@cz,0.46218682460650545,0.0280961062276491,0.35804525413157356,0.4039938556067588
gqba_odd_even,native32@fz,0.4620005402377731,0.023926119883274602,0.3490047289123502,0.39093701996927804
gqba_odd_even,native32@pz,0.46676355064236424,0.021300806103925568,0.3541570915093352,0.4408602150537635
gqba_odd_even,pz,0.5281440406140671,0.00961854781115376,0.4265705327440161,0.478494623655914
joint_multiview_ce,car,0.5500344670692267,0.008875945197580297,0.4420078543225381,0.4600614439324116
joint_multiview_ce,cz,0.5254740802433592,0.013036058544749407,0.3786482334869432,0.3786482334869432
joint_multiview_ce,fz,0.5408240590654242,0.0177732765168954,0.4235569367432587,0.4508448540706606
