metric,evaluation,candidate,baseline,n_probe_seeds,n_resamples,confidence,candidate_minus_baseline,bootstrap_mean,ci_lower,ci_upper
balanced_accuracy,clean_car,spectral_capacity_control,car_only,3,10000,0.95,0.015376023368938655,0.015361700310309149,-0.0035968135062980134,0.0344482840893797
balanced_accuracy,native16_reference_mean,spectral_capacity_control,joint_multiview_ce,3,10000,0.95,0.0020140356771495005,0.0020336191488191423,-0.0067268707873624906,0.010927822789340689
both_fists_recall,native16_reference_mean,spectral_capacity_control,joint_multiview_ce,3,10000,0.95,0.00480030721966206,0.0052511466647082285,-0.051537273557043344,0.05009372151563415
balanced_accuracy,clean_car,gqba_odd,car_only,3,10000,0.95,0.012193775416359501,0.012304376521556245,-0.006251421425683442,0.03269181876902684
balanced_accuracy,native16_reference_mean,gqba_odd,joint_multiview_ce,3,10000,0.95,-0.003113655931178322,-0.003165313472304998,-0.014623083127521643,0.006733763096884222
balanced_accuracy,native16_reference_mean,gqba_odd,spectral_capacity_control,3,10000,0.95,-0.005127691608327822,-0.005134106265612499,-0.012337025152827238,0.0019509533634667737
both_fists_recall,native16_reference_mean,gqba_odd,joint_multiview_ce,3,10000,0.95,0.07757296466973888,0.07741217790308134,0.05190111227162064,0.10569421175706363
balanced_accuracy,clean_car,gqba_odd_even,car_only,3,10000,0.95,0.007043217810439262,0.006914410626249014,-0.009789912139700593,0.02362133164530232
balanced_accuracy,native16_reference_mean,gqba_odd_even,joint_multiview_ce,3,10000,0.95,-0.0011610939095252903,-0.0011387123346894728,-0.01885736119083319,0.013611565640463157
balanced_accuracy,native16_reference_mean,gqba_odd_even,spectral_capacity_control,3,10000,0.95,-0.003175129586674791,-0.003262711205058507,-0.02133241381902537,0.015476839511293701
both_fists_recall,native16_reference_mean,gqba_odd_even,joint_multiview_ce,3,10000,0.95,0.10503072196620583,0.10510195189748933,0.0045805541404840165,0.23981525701720408
