metric,evaluation,candidate,baseline,n_probe_seeds,n_resamples,confidence,candidate_minus_baseline,bootstrap_mean,ci_lower,ci_upper
balanced_accuracy,native16_reference_mean,gqra,joint_multiview_ce,3,10000,0.95,-0.002816203098085048,-0.002822125737171627,-0.014212004585199844,0.007307818096122318
balanced_accuracy,native16_reference_mean,gqra,film_spectral_control,3,10000,0.95,0.0013590142720033421,0.0012688780238822577,-0.016139710714292856,0.019345397792806036
balanced_accuracy,native16_reference_mean,gqra,gqba_film_ce,3,10000,0.95,0.0015332946268344593,0.001453672452960098,-0.013068539499237596,0.013424374463704128
balanced_accuracy,native16_reference_mean,gqra,gsra,3,10000,0.95,-0.0021034889559805683,-0.00200088351797602,-0.016873087689792676,0.01002901981297348
balanced_accuracy,clean_car,gqra,joint_multiview_ce,3,10000,0.95,-0.024604819673197647,-0.024538567405745587,-0.03999265902548042,-0.011686464802934109
balanced_accuracy,native32_reference_mean,gqra,joint_multiview_ce,3,10000,0.95,-0.014554485449887236,-0.01459951876287123,-0.024566785628553415,-0.005954230335662255
class_0_recall,native16_reference_mean,gqra,joint_multiview_ce,3,10000,0.95,-0.012643678160919524,-0.012024906605742071,-0.08525009877613043,0.07817121099855821
class_1_recall,native16_reference_mean,gqra,joint_multiview_ce,3,10000,0.95,-0.023726851851851836,-0.02356605220868161,-0.07079848624089978,0.030813994467269235
class_2_recall,native16_reference_mean,gqra,joint_multiview_ce,3,10000,0.95,0.04589093701996929,0.04569464498935762,0.005462646453879366,0.0851712581497866
class_3_recall,native16_reference_mean,gqra,joint_multiview_ce,3,10000,0.95,-0.020785219399538108,-0.020253721119269357,-0.12931564417031688,0.06372834697235152
