metric,evaluation,candidate,baseline,n_probe_seeds,n_resamples,confidence,candidate_minus_baseline,bootstrap_mean,ci_lower,ci_upper
balanced_accuracy,native16_reference_mean,gsra,joint_multiview_ce,3,10000,0.95,-0.0007127141421044795,-0.000731690275912121,-0.008741706621365251,0.0068710034777701105
balanced_accuracy,native16_reference_mean,gsra,gated_spectral_control,3,10000,0.95,-0.0035494216131792544,-0.0036033281811428566,-0.010752693248394497,0.00341306594311907
balanced_accuracy,native16_reference_mean,gsra,gqba_gated_ce,3,10000,0.95,-0.0003170381804208274,-0.0003857521916105591,-0.007188679465867615,0.005874274251646701
balanced_accuracy,native16_reference_mean,gsra,gqba_odd_even,3,10000,0.95,0.0004483797674208108,0.0005365606782508687,-0.015249884049406777,0.014077720861539439
balanced_accuracy,clean_car,gsra,joint_multiview_ce,3,10000,0.95,-0.006875801788459701,-0.006797927954404948,-0.01891063464427201,0.004967956984625034
balanced_accuracy,native32_reference_mean,gsra,joint_multiview_ce,3,10000,0.95,-0.0038141781433085283,-0.003838018331861829,-0.014795933504174734,0.006836090772036862
class_0_recall,native16_reference_mean,gsra,joint_multiview_ce,3,10000,0.95,-0.03812260536398466,-0.038189672725531726,-0.1105404511274464,0.02819310479828528
class_1_recall,native16_reference_mean,gsra,joint_multiview_ce,3,10000,0.95,-0.03954475308641974,-0.03968739625041349,-0.07648249571137439,-0.005421934987502412
class_2_recall,native16_reference_mean,gsra,joint_multiview_ce,3,10000,0.95,0.021121351766513058,0.021508128398326064,-0.04859706867602778,0.10210074384095826
class_3_recall,native16_reference_mean,gsra,joint_multiview_ce,3,10000,0.95,0.05369515011547343,0.05393495206703628,0.02132898367395848,0.07996786592608386
