method,run_dir,test_view,reference_view,montage,n_observed_channels,balanced_accuracy,balanced_accuracy_gap_from_car,prediction_disagreement_from_car,target_class_recall_gap,worst_class_recall_gap,worst_class_index,balanced_accuracy_gain_vs_car_only,target_class_gap_recovery_vs_car_only
car_only,outputs/reve_montage_car_only_s7,car,car,full,64,0.5707541359019275,0.0,0.0,0.0,0.0,0,0.0,0.0
car_only,outputs/reve_montage_car_only_s7,sparse32@car,car,sparse32,32,0.3013207614346598,0.2694333744672677,0.7215751525235718,0.5299334811529933,0.7066666666666667,2,0.0,0.0
car_only,outputs/reve_montage_car_only_s7,sparse16@car,car,sparse16,16,0.2505543237250554,0.3201998121768721,0.7687188019966722,0.5388026607538803,0.7066666666666667,2,0.0,0.0
car_only,outputs/reve_montage_car_only_s7,sparse8@car,car,sparse8,8,0.2964281719342859,0.2743259639676416,0.7443150305047144,0.1419068736141907,0.7066666666666667,2,0.0,0.0
car_only,outputs/reve_montage_car_only_s7,sparse32@cz,cz,sparse32,32,0.3213297038929045,0.24942443200902298,0.7093732667775929,0.5388026607538803,0.7066666666666667,2,0.0,0.0
car_only,outputs/reve_montage_car_only_s7,sparse16@cz,cz,sparse16,16,0.25,0.3207541359019275,0.7687188019966722,0.541019955654102,0.7066666666666667,2,0.0,0.0
car_only,outputs/reve_montage_car_only_s7,sparse8@cz,cz,sparse8,8,0.2601495772791378,0.3106045586227897,0.764281752634498,0.43458980044345896,0.7066666666666667,2,0.0,0.0
car_only,outputs/reve_montage_car_only_s7,drop_left_motor@cz,cz,drop_left_motor,55,0.3946678727228228,0.1760862631791047,0.41320022185246813,0.4523281596452328,0.5011037527593818,3,0.0,0.0
car_only,outputs/reve_montage_car_only_s7,drop_right_motor@cz,cz,drop_right_motor,55,0.4944759619103815,0.07627817399154596,0.25679423183582917,0.039911308203991136,0.24503311258278143,3,0.0,0.0
car_canonicalize,outputs/reve_montage_car_canonicalize_s7,car,car,full,64,0.5606731540069089,0.0,0.0,0.0,0.0,0,-0.010080981895018604,0.0
car_canonicalize,outputs/reve_montage_car_canonicalize_s7,sparse32@car,car,sparse32,32,0.2913771536135021,0.2692960003934068,0.7820299500831946,0.6164079822616407,0.6164079822616407,0,-0.009943607821157718,-0.0864745011086474
car_canonicalize,outputs/reve_montage_car_canonicalize_s7,sparse16@car,car,sparse16,16,0.249448123620309,0.3112250303865999,0.8885191347753744,0.6274944567627494,0.7861915367483296,1,-0.0011062001047463799,-0.08869179600886912
car_canonicalize,outputs/reve_montage_car_canonicalize_s7,sparse8@car,car,sparse8,8,0.2870198895703265,0.2736532644365824,0.7232390460343872,0.6119733924611973,0.6119733924611973,0,-0.009408282363959408,-0.4700665188470066
car_canonicalize,outputs/reve_montage_car_canonicalize_s7,sparse32@cz,cz,sparse32,32,0.3002994035443251,0.26037375046258376,0.6816417082640044,0.6252771618625277,0.6252771618625277,0,-0.02103030034857939,-0.0864745011086474
car_canonicalize,outputs/reve_montage_car_canonicalize_s7,sparse16@cz,cz,sparse16,16,0.2500098329867205,0.31066332102018834,0.8868552412645591,0.6274944567627494,0.7817371937639198,1,9.832986720526016e-06,-0.0864745011086474
car_canonicalize,outputs/reve_montage_car_canonicalize_s7,sparse8@cz,cz,sparse8,8,0.2783976547476369,0.282275499259272,0.7775929007210205,0.6252771618625277,0.6252771618625277,0,0.018248077468499102,-0.19068736141906872
car_canonicalize,outputs/reve_montage_car_canonicalize_s7,drop_left_motor@cz,cz,drop_left_motor,55,0.4268383991801687,0.13383475482674018,0.31669439822518025,0.4323725055432372,0.4323725055432372,0,0.032170526457345916,0.019955654101995624
car_canonicalize,outputs/reve_montage_car_canonicalize_s7,drop_right_motor@cz,cz,drop_right_motor,55,0.5091283196445694,0.051544834362339476,0.2806433721575152,-0.14634146341463417,0.152317880794702,3,0.014652357734187882,0.1862527716186253
multi_view_ce,outputs/reve_montage_multiview_ce_s7,car,car,full,64,0.5828320590440257,0.0,0.0,0.0,0.0,0,0.012077923142098212,0.0
multi_view_ce,outputs/reve_montage_multiview_ce_s7,sparse32@car,car,sparse32,32,0.255011135857461,0.3278209231865647,0.670549084858569,0.541019955654102,0.5657015590200446,1,-0.04630962557719881,-0.011086474501108667
multi_view_ce,outputs/reve_montage_multiview_ce_s7,sparse16@car,car,sparse16,16,0.25,0.3328320590440257,0.6772046589018302,0.541019955654102,0.5857461024498887,1,-0.0005543237250553723,-0.0022172949002217113
multi_view_ce,outputs/reve_montage_multiview_ce_s7,sparse8@car,car,sparse8,8,0.2661624731685463,0.3166695858754794,0.6666666666666666,0.44124168514412415,0.5657015590200446,1,-0.03026569876573959,-0.29933481152993346
multi_view_ce,outputs/reve_montage_multiview_ce_s7,sparse32@cz,cz,sparse32,32,0.2555679287305122,0.3272641303135135,0.6711037160288408,0.541019955654102,0.5634743875278396,1,-0.06576177516239229,-0.0022172949002217113
multi_view_ce,outputs/reve_montage_multiview_ce_s7,sparse16@cz,cz,sparse16,16,0.25,0.3328320590440257,0.6772046589018302,0.541019955654102,0.5857461024498887,1,0.0,0.0
multi_view_ce,outputs/reve_montage_multiview_ce_s7,sparse8@cz,cz,sparse8,8,0.2483639932291056,0.33446806581492006,0.677759290072102,0.532150776053215,0.5812917594654788,1,-0.011785584050032188,-0.09756097560975607
multi_view_ce,outputs/reve_montage_multiview_ce_s7,drop_left_motor@cz,cz,drop_left_motor,55,0.4654089859494069,0.1174230730946188,0.39212423738214086,0.35920177383592017,0.3841059602649006,3,0.07074111322658411,0.09312638580931265
multi_view_ce,outputs/reve_montage_multiview_ce_s7,drop_right_motor@cz,cz,drop_right_motor,55,0.5129299508781993,0.06990210816582643,0.34775374376039936,-0.15742793791574283,0.21603563474387533,1,0.018453988967817747,0.19733924611973397
rule_consistency,outputs/reve_montage_rule_consistency_lam10_s7,car,car,full,64,0.6107654590439915,0.0,0.0,0.0,0.0,0,0.040011323142064015,0.0
rule_consistency,outputs/reve_montage_rule_consistency_lam10_s7,sparse32@car,car,sparse32,32,0.2516703786191537,0.3590950804248378,0.7892401552967276,0.6829268292682927,0.6829268292682927,0,-0.0496503828155061,-0.1529933481152994
rule_consistency,outputs/reve_montage_rule_consistency_lam10_s7,sparse16@car,car,sparse16,16,0.25,0.3607654590439915,0.7903494176372712,0.6829268292682927,0.6829268292682927,0,-0.0005543237250553723,-0.14412416851441245
rule_consistency,outputs/reve_montage_rule_consistency_lam10_s7,sparse8@car,car,sparse8,8,0.2505543237250554,0.3602111353189361,0.7897947864669994,0.680709534368071,0.680709534368071,0,-0.04587384820923052,-0.5388026607538803
rule_consistency,outputs/reve_montage_rule_consistency_lam10_s7,sparse32@cz,cz,sparse32,32,0.2511135857461024,0.3596518732978891,0.7886855241264559,0.6829268292682927,0.6829268292682927,0,-0.07021611814680212,-0.14412416851441245
rule_consistency,outputs/reve_montage_rule_consistency_lam10_s7,sparse16@cz,cz,sparse16,16,0.25,0.3607654590439915,0.7903494176372712,0.6829268292682927,0.6829268292682927,0,0.0,-0.14190687361419074
rule_consistency,outputs/reve_montage_rule_consistency_lam10_s7,sparse8@cz,cz,sparse8,8,0.25,0.3607654590439915,0.7903494176372712,0.6829268292682927,0.6829268292682927,0,-0.01014957727913779,-0.24833702882483377
rule_consistency,outputs/reve_montage_rule_consistency_lam10_s7,drop_left_motor@cz,cz,drop_left_motor,55,0.4700110952318913,0.1407543638121002,0.38546866333887964,0.40133037694013307,0.40618101545253865,3,0.0753432225090685,0.05099778270509975
rule_consistency,outputs/reve_montage_rule_consistency_lam10_s7,drop_right_motor@cz,cz,drop_right_motor,55,0.5022430686809667,0.1085223903630248,0.3372157515252357,-0.11529933481152987,0.3355408388520972,3,0.007767106770585175,0.155210643015521
