method,run_dir,test_view,reference_view,montage,n_observed_channels,balanced_accuracy,balanced_accuracy_gap_from_full_car,macro_f1,macro_auroc_ovr,paired_cosine_to_full_car,linear_cka_to_full_car,n_predicted_classes,prediction_entropy_normalized,largest_predicted_class_fraction
full_car_probe,outputs/reve_native_montage_car_only_s7,car,car,full,64,0.3988116383143614,0.0,0.398849844899491,0.6497606875584729,1.0,1.0,4,0.994845284731246,0.2806433721575152
full_car_probe,outputs/reve_native_montage_car_only_s7,native32@car,car,sparse32,32,0.2616450332964516,0.13716660501790978,0.1520272700276033,0.5526558907076491,0.9519446025473288,0.7870052061670251,4,0.28059784041667857,0.9095951192457016
full_car_probe,outputs/reve_native_montage_car_only_s7,native16@car,car,sparse16,16,0.2489246119733924,0.14988702634096898,0.122740678199391,0.5170770398416196,0.8725919815092508,0.5448847443149816,3,0.1749674235955133,0.9384359400998337
full_car_probe,outputs/reve_native_montage_car_only_s7,native8@car,car,sparse8,8,0.2500012318305001,0.1488104064838613,0.1010593280592486,0.511621646813911,0.8606463009299898,0.3928512447455529,2,0.00887913087345584,0.9983361064891847
full_car_probe,outputs/reve_native_montage_car_only_s7,native32@cz,cz,sparse32,32,0.2645187744474949,0.1342928638668665,0.1864638552568437,0.5323231203981564,0.9457822214351584,0.6393397223511504,4,0.4651378924071582,0.819744869661675
full_car_probe,outputs/reve_native_montage_car_only_s7,native16@cz,cz,sparse16,16,0.2606270669871058,0.1381845713272556,0.1596953033358233,0.5111048639499635,0.868202476073799,0.4609558364271192,4,0.360990509626472,0.8297282307265669
full_car_probe,outputs/reve_native_montage_car_only_s7,native8@cz,cz,sparse8,8,0.2499975689702712,0.1488140693440902,0.1044989663756955,0.5113568994324318,0.8678467507101995,0.3219776000594832,3,0.055648464722450025,0.9872434830837493
full_car_probe,outputs/reve_native_montage_car_only_s7,native_drop_left_motor@cz,cz,drop_left_motor,55,0.2782974269795447,0.12051421133481671,0.209434342375663,0.5632052515625394,0.9754310384332108,0.7351214147415,4,0.5509737923517704,0.762063227953411
full_car_probe,outputs/reve_native_montage_car_only_s7,native_drop_right_motor@cz,cz,drop_right_motor,55,0.2769121484156276,0.12189948989873378,0.2315338250937274,0.5579475649458296,0.9710207789820308,0.7405057568289343,4,0.660189916486627,0.6966167498613423
car_canonicalize,outputs/reve_native_montage_car_canonicalize_s7,car,car,full,64,0.397705438209615,0.0,0.3977116145247694,0.6499601809550672,1.0,1.0,4,0.9945844306405771,0.2823072656683306
car_canonicalize,outputs/reve_native_montage_car_canonicalize_s7,native32@car,car,sparse32,32,0.2621944187255154,0.1355110194840996,0.1507483140451809,0.5528040622443535,0.9519446001971064,0.7870051546120765,4,0.26995032628440674,0.9140321686078757
car_canonicalize,outputs/reve_native_montage_car_canonicalize_s7,native16@car,car,sparse16,16,0.2500295639320029,0.14767587427761214,0.1210795124187727,0.5171460097364853,0.8725919797196905,0.5448847108416834,3,0.1578302033722856,0.9462007764836384
car_canonicalize,outputs/reve_native_montage_car_canonicalize_s7,native8@car,car,sparse8,8,0.2500012318305001,0.1477042063791149,0.1010593280592486,0.5117004137374267,0.8606462985542928,0.392851235720099,2,0.00887913087345584,0.9983361064891847
car_canonicalize,outputs/reve_native_montage_car_canonicalize_s7,native32@cz,cz,sparse32,32,0.2621944187255154,0.1355110194840996,0.1507483140451809,0.5528024258496435,0.9519446003559212,0.787005175155215,4,0.26995032628440674,0.9140321686078757
car_canonicalize,outputs/reve_native_montage_car_canonicalize_s7,native16@cz,cz,sparse16,16,0.2500295639320029,0.14767587427761214,0.1210795124187727,0.5171466307897301,0.8725919793962822,0.5448847646883214,3,0.1578302033722856,0.9462007764836384
car_canonicalize,outputs/reve_native_montage_car_canonicalize_s7,native8@cz,cz,sparse8,8,0.2500012318305001,0.1477042063791149,0.1010593280592486,0.5116997993438606,0.8606462976020651,0.392851164826788,2,0.00887913087345584,0.9983361064891847
car_canonicalize,outputs/reve_native_montage_car_canonicalize_s7,native_drop_left_motor@cz,cz,drop_left_motor,55,0.3179235278048467,0.07978191040476834,0.2492825222570917,0.626836817413839,0.9915638131384495,0.953615680164408,4,0.6524616687020403,0.540765391014975
car_canonicalize,outputs/reve_native_montage_car_canonicalize_s7,native_drop_right_motor@cz,cz,drop_right_motor,55,0.3896219439356164,0.008083494273998626,0.3788656903768692,0.6501077621249206,0.988860881472838,0.958074150911772,4,0.9494790634968756,0.3616195230171936
