target_view,montage,held_out_reference,method,class_index,class_name,car_recall,target_recall,absolute_recall_gap
native16@C1,native16,c1,identity,0,left_fist,0.7904761904761904,0.6857142857142857,0.10476190476190472
native16@C1,native16,c1,identity,1,right_fist,0.6135265700483091,0.7342995169082126,0.12077294685990347
native16@C1,native16,c1,identity,2,both_fists,0.004761904761904762,0.0,0.004761904761904762
native16@C1,native16,c1,identity,3,both_feet,0.01932367149758454,0.033816425120772944,0.014492753623188404
native16@C1,native16,c1,global_mean,0,left_fist,0.4523809523809524,0.49523809523809526,0.04285714285714287
native16@C1,native16,c1,global_mean,1,right_fist,0.34299516908212563,0.6570048309178744,0.3140096618357488
native16@C1,native16,c1,global_mean,2,both_fists,0.4857142857142857,0.3047619047619048,0.18095238095238092
native16@C1,native16,c1,global_mean,3,both_feet,0.4106280193236715,0.10628019323671498,0.30434782608695654
native16@C1,native16,c1,pooled_bias,0,left_fist,0.4523809523809524,0.48095238095238096,0.02857142857142858
native16@C1,native16,c1,pooled_bias,1,right_fist,0.34299516908212563,0.6376811594202898,0.29468599033816417
native16@C1,native16,c1,pooled_bias,2,both_fists,0.4857142857142857,0.3238095238095238,0.16190476190476188
native16@C1,native16,c1,pooled_bias,3,both_feet,0.4106280193236715,0.1111111111111111,0.2995169082125604
native16@C1,native16,c1,topology_ridge,0,left_fist,0.4523809523809524,0.4380952380952381,0.01428571428571429
native16@C1,native16,c1,topology_ridge,1,right_fist,0.34299516908212563,0.45893719806763283,0.1159420289855072
native16@C1,native16,c1,topology_ridge,2,both_fists,0.4857142857142857,0.3904761904761905,0.09523809523809523
native16@C1,native16,c1,topology_ridge,3,both_feet,0.4106280193236715,0.4106280193236715,0.0
native16@C1,native16,c1,logit_ridge,0,left_fist,0.4523809523809524,0.4142857142857143,0.03809523809523807
native16@C1,native16,c1,logit_ridge,1,right_fist,0.34299516908212563,0.3961352657004831,0.053140096618357446
native16@C1,native16,c1,logit_ridge,2,both_fists,0.4857142857142857,0.42857142857142855,0.05714285714285716
native16@C1,native16,c1,logit_ridge,3,both_feet,0.4106280193236715,0.42995169082125606,0.01932367149758457
native16@C1,native16,c1,combined_ridge,0,left_fist,0.4523809523809524,0.4142857142857143,0.03809523809523807
