test_view,protocol,method,n_subjects,n_resamples,confidence,point_bacc_delta,bootstrap_mean_bacc_delta,ci_lower,ci_upper,probability_delta_positive,ci_excludes_zero
car,view_specific,temperature,20,10000,0.95,0.0,0.0,0.0,0.0,0.0,False
car,view_specific,bias,20,10000,0.95,0.0007074700040943238,0.0007106287001820466,-0.015053747182456782,0.01652291357061884,0.5373,False
car,view_specific,vector,20,10000,0.95,0.00014705238908130358,0.0001291445874081362,-0.015825435925007465,0.016279110854794873,0.5027,False
native16@car,view_specific,temperature,20,10000,0.95,0.0,0.0,0.0,0.0,0.0,False
native16@car,view_specific,bias,20,10000,0.95,0.04783638913744792,0.047944507245019086,0.02230547368789139,0.07632985612403888,1.0,True
native16@car,view_specific,vector,20,10000,0.95,0.05116613079614368,0.051264093951478254,0.02556413022394114,0.07951027061271115,1.0,True
native16@car,leave_one_view_out,temperature,20,10000,0.95,0.0,0.0,0.0,0.0,0.0,False
native16@car,leave_one_view_out,bias,20,10000,0.95,0.03210201610348884,0.03218428537358553,0.008005526571295973,0.05756081834998409,0.9955,True
native16@car,leave_one_view_out,vector,20,10000,0.95,0.024931438936856287,0.024995984715201827,0.0007606360922555942,0.04959590135454645,0.9786,True
native16@cz,view_specific,temperature,20,10000,0.95,0.0,0.0,0.0,0.0,0.0,False
native16@cz,view_specific,bias,20,10000,0.95,0.05723303721762579,0.057358982514846356,0.03215275106338473,0.08367491714535868,1.0,True
native16@cz,view_specific,vector,20,10000,0.95,0.05894031141228834,0.05905520694326719,0.035417131816677605,0.08499218047022475,1.0,True
native16@cz,leave_one_view_out,temperature,20,10000,0.95,0.0,0.0,0.0,0.0,0.0,False
native16@cz,leave_one_view_out,bias,20,10000,0.95,0.0408646520773705,0.04106919335036789,0.016521602130748027,0.06700266184042873,0.9996,True
native16@cz,leave_one_view_out,vector,20,10000,0.95,0.04483471790398397,0.04504119151911899,0.022603850780980966,0.06789758211092041,1.0,True
native16@fz,view_specific,temperature,20,10000,0.95,0.0,0.0,0.0,0.0,0.0,False
native16@fz,view_specific,bias,20,10000,0.95,0.059058498280322946,0.05929594273262736,0.03363770926319113,0.08548916300245134,1.0,True
