test_view,protocol,method,fit_views,n_validation,objective,optimizer_success,optimizer_message,parameters
car,none,identity,car,1734,1.3167221268717568,True,not fitted,[]
car,view_specific,temperature,car,1734,1.0805938690430763,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,[0.8460463201481015]
car,view_specific,bias,car,1734,1.2794423479538037,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,"[0.1924048319310714, -0.10164088496369199, 0.45756425703281756]"
car,view_specific,vector,car,1734,1.0678055275475877,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,"[-0.7762588485938567, -0.64399959593856, -0.9477689624680197, -0.9188701900221781, 0.0009904876505122228, -0.13810547023415595, 0.27667975248387994]"
native16@car,none,identity,native16@car,1734,2.1884790873261597,True,not fitted,[]
native16@car,view_specific,temperature,native16@car,1734,1.3442300884969907,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,[1.8438166976926593]
native16@car,view_specific,bias,native16@car,1734,1.4083845493495988,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,"[-1.7305763971070474, -1.3365085241864592, 1.6627999239813602]"
native16@car,view_specific,vector,native16@car,1734,1.2740589422726165,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,"[-0.8498054340281146, -0.8668064702967149, -0.8948451930948217, -0.6972574027682897, -0.7468880289499918, -0.5348844875682537, 0.6611399243818642]"
native16@car,leave_one_view_out,temperature,native16@cz|native16@fz|native16@pz,5202,1.3351136926096003,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,[1.6635091928741303]
native16@car,leave_one_view_out,bias,native16@cz|native16@fz|native16@pz,5202,1.469525380292097,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,"[-1.5047385365784731, -0.8681057185885903, 1.786995001975672]"
native16@car,leave_one_view_out,vector,native16@cz|native16@fz|native16@pz,5202,1.285957772790923,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,"[-0.9683680588121253, -0.8970707557097132, -0.8126212456634552, -1.1698693508728881, -0.5788717868956714, -0.33051245808512847, 0.7188275745129591]"
native16@cz,none,identity,native16@cz,1734,2.160899943373354,True,not fitted,[]
native16@cz,view_specific,temperature,native16@cz,1734,1.3448447570460782,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,[1.83960601963379]
native16@cz,view_specific,bias,native16@cz,1734,1.4563908525581029,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,"[-1.6744879668393338, -1.226031016433475, 1.7936422478169691]"
native16@cz,view_specific,vector,native16@cz,1734,1.2860652090162528,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,"[-1.0180651757553694, -0.8791835427058929, -0.7788085733231562, -0.9838604180879811, -0.6190344208735051, -0.5017085826699029, 0.7415419452425065]"
native16@cz,leave_one_view_out,temperature,native16@car|native16@fz|native16@pz,5202,1.334945135556818,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,[1.6664432562127176]
native16@cz,leave_one_view_out,bias,native16@car|native16@fz|native16@pz,5202,1.4669551619657686,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,"[-1.519838319503349, -0.9023837970713373, 1.7567190854517385]"
native16@cz,leave_one_view_out,vector,native16@car|native16@fz|native16@pz,5202,1.2846446394558908,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,"[-0.9185188577972374, -0.9036154185829351, -0.8172020044885268, -1.210980326671438, -0.6096337008723807, -0.3312175149151374, 0.7136998770031361]"
native16@fz,none,identity,native16@fz,1734,2.0024323393464645,True,not fitted,[]
