condition,batch_size,repeat,target_view,montage,held_out_reference,base_prior_weight,class_trust_caps,applied_class_weights,safe_bias,target_reference_labels_used
random,16,0,native16@C1,native16,c1,0.1683873544172754,"[0.22284113483248713, 0.20877965111563845, 0.5260354484801006, 0.6181126263806869]","[0.1683873544172754, 0.1683873544172754, 0.1683873544172754, 0.1683873544172754]","[0.5074210171894731, -0.344982057492387, -0.6343126983928881]",False
random,16,0,native16@C2,native16,c2,0.16976212455871,"[0.22742891024114725, 0.20380651643833186, 0.545099549704242, 0.6125542591001236]","[0.16976212455871, 0.16976212455871, 0.16976212455871, 0.16976212455871]","[0.26930752492156207, -0.07180023810150434, -0.4803989227187042]",False
random,16,0,native16@C3,native16,c3,0.1669875553267121,"[0.23185925598314744, 0.19253234013075612, 0.5343954893958238, 0.5866758195906233]","[0.1669875553267121, 0.1669875553267121, 0.1669875553267121, 0.1669875553267121]","[0.794099318342166, -0.6508894581191944, -0.8028765964006261]",False
random,16,0,native16@C4,native16,c4,0.1697300085352867,"[0.2326535425147668, 0.19685718338612768, 0.5483161039481318, 0.6012557469146528]","[0.1697300085352867, 0.1697300085352867, 0.1697300085352867, 0.1697300085352867]","[0.3073539461596575, 0.0072790852292697605, -0.5604588197211949]",False
random,16,0,native16@CP1,native16,cp1,0.1720911292866992,"[0.23150712384573893, 0.20496769128817055, 0.5461658504783018, 0.6107147190401401]","[0.1720911292866992, 0.1720911292866992, 0.1720911292866992, 0.1720911292866992]","[0.40342945874127994, -0.1791894898063212, -0.5804057686283196]",False
random,16,0,native16@CP2,native16,cp2,0.1703488370363574,"[0.2288618990057936, 0.20321400943278833, 0.5442994519492337, 0.6106254665007087]","[0.1703488370363574, 0.1703488370363574, 0.1703488370363574, 0.1703488370363574]","[0.29370934381388103, 0.10190320589400244, -0.5185410323653028]",False
random,16,0,native16@CP3,native16,cp3,0.165727415057644,"[0.22686675772518308, 0.19703671331748157, 0.5395188411218907, 0.6155746103707505]","[0.165727415057644, 0.165727415057644, 0.165727415057644, 0.165727415057644]","[0.6362088300878105, -0.4586535276942756, -0.7827881679911904]",False
random,16,0,native16@CP4,native16,cp4,0.1726114847178377,"[0.2314420002192196, 0.20607485251771085, 0.5459549207783865, 0.6126776529480911]","[0.1726114847178377, 0.1726114847178377, 0.1726114847178377, 0.1726114847178377]","[0.3880438690428989, 0.1347071580880873, -0.5974146048470432]",False
random,16,0,native16@CPz,native16,cpz,0.1730334562412347,"[0.23048303489960167, 0.20863179792637707, 0.5463272243662726, 0.6130612221715688]","[0.1730334562412347, 0.1730334562412347, 0.1730334562412347, 0.1730334562412347]","[0.3079828073295715, 0.06670720663303359, -0.5335338938293429]",False
random,16,0,native16@Cz,native16,cz,0.1680868567865734,"[0.22786432427818415, 0.20052187127095988, 0.5434675124303016, 0.6117719055191798]","[0.1680868567865734, 0.1680868567865734, 0.1680868567865734, 0.1680868567865734]","[0.3199777743800789, -0.04874809996255125, -0.519666306728795]",False
