condition,batch_size,method,n_rows,n_target_views,n_repeats,mean_target_bias_rmse,p90_target_bias_rmse,worst_target_bias_rmse,mean_balanced_accuracy,worst_balanced_accuracy,mean_max_class_recall_gap,worst_class_recall_gap,mean_class_recall_gap,mean_nll,mean_ece_15
balanced,32,fixed_topology_shrinkage,960,48,20,0.16674948667935313,0.307458883569051,0.5200973731277702,0.42682712215320906,0.36573498964803314,0.13641289970094317,0.37142857142857144,0.0698368846330803,1.3955705774330147,0.15789525833253087
balanced,32,identity,48,48,1,0.413123277298423,0.6288260245727649,1.0659993797060883,0.4130323355187486,0.33852657004830916,0.16855877616747184,0.30476190476190473,0.08109651771336554,1.5058124914662494,0.20060680346733806
balanced,32,operator_confusion_shrinkage,960,48,20,0.15310005983536265,0.27932928525536205,0.4703076756718905,0.4264878795721187,0.3669254658385094,0.13529488727858294,0.37142857142857144,0.06927367293535773,1.397719220239818,0.15818124907861397
balanced,32,oracle,48,48,1,0.0,0.0,0.0,0.42655926501035196,0.37412008281573506,0.09481107660455489,0.2285714285714286,0.0502343570278353,1.4089779624885292,0.15946308214154634
balanced,32,topology_ridge,48,48,1,0.14234403863581777,0.24290276779349054,0.5350815889232995,0.4237800494593973,0.3684265010351967,0.11733523119392686,0.3380952380952381,0.0623181216931217,1.4170207969472983,0.1645716796456247
balanced,32,uniform_prior_match,960,48,20,0.4341195193819507,0.7846898362889839,1.1904837645141464,0.4219497462330343,0.34982746721877156,0.2348784362778928,0.49523809523809526,0.11844801371635612,1.391265452153219,0.16088534572484328
balanced,128,fixed_topology_shrinkage,960,48,20,0.27854361733129973,0.4550165626064753,0.5706252043426333,0.4272635761732229,0.360904071773637,0.18253680699332875,0.3761904761904762,0.0906440684667587,1.3769483803790965,0.15312114116788728
balanced,128,identity,48,48,1,0.413123277298423,0.6288260245727649,1.0659993797060883,0.4130323355187486,0.33852657004830916,0.16855877616747184,0.30476190476190473,0.08109651771336554,1.5058124914662494,0.20060680346733806
balanced,128,operator_confusion_shrinkage,960,48,20,0.2403843956403328,0.3890331762089937,0.5229367710317467,0.4273926522601794,0.3609385783298827,0.17855115596963425,0.3666666666666667,0.0883254794973545,1.3790078181264949,0.15301707972621797
balanced,128,oracle,48,48,1,0.0,0.0,0.0,0.42655926501035196,0.37412008281573506,0.09481107660455489,0.2285714285714286,0.0502343570278353,1.4089779624885292,0.15946308214154634
balanced,128,topology_ridge,48,48,1,0.14234403863581777,0.24290276779349054,0.5350815889232995,0.4237800494593973,0.3684265010351967,0.11733523119392686,0.3380952380952381,0.0623181216931217,1.4170207969472983,0.1645716796456247
balanced,128,uniform_prior_match,960,48,20,0.39739837564139363,0.6464660664749222,0.8251393906890687,0.42426323110766045,0.35964458247066944,0.23062823498964805,0.4380952380952381,0.11279713379917185,1.375867860413815,0.1558456202979284
random,16,fixed_topology_shrinkage,960,48,20,0.14566072781332817,0.247040118239175,0.487527853246937,0.4259942920404877,0.3647688060731539,0.1282640326662066,0.3761904761904762,0.06684735881067402,1.4052068693785835,0.16079831928569627
random,16,identity,48,48,1,0.413123277298423,0.6288260245727649,1.0659993797060883,0.4130323355187486,0.33852657004830916,0.16855877616747184,0.30476190476190473,0.08109651771336554,1.5058124914662494,0.20060680346733806
random,16,operator_confusion_shrinkage,960,48,20,0.14110274907142395,0.23590922847071927,0.4875893409184131,0.42580682439038414,0.36237060041407865,0.12767202956061652,0.3761904761904762,0.0666951884920635,1.4065479752056498,0.16098605901642105
random,16,oracle,48,48,1,0.0,0.0,0.0,0.42655926501035196,0.37412008281573506,0.09481107660455489,0.2285714285714286,0.0502343570278353,1.4089779624885292,0.15946308214154634
random,16,topology_ridge,48,48,1,0.14234403863581777,0.24290276779349054,0.5350815889232995,0.4237800494593973,0.3684265010351967,0.11733523119392686,0.3380952380952381,0.0623181216931217,1.4170207969472983,0.1645716796456247
random,16,uniform_prior_match,960,48,20,0.49320552529429074,0.8837718570533224,1.340778569113496,0.4185924020876467,0.3363699102829537,0.26441849263860134,0.5666666666666667,0.1401658291637911,1.4207532993914747,0.17197223108179102
random,32,fixed_topology_shrinkage,960,48,20,0.17201885251049007,0.30567849307052564,0.558695206894807,0.4270827761962273,0.3668737060041408,0.1356424689440994,0.37142857142857144,0.0693522292673108,1.395720677647991,0.15815004841176533
random,32,identity,48,48,1,0.413123277298423,0.6288260245727649,1.0659993797060883,0.4130323355187486,0.33852657004830916,0.16855877616747184,0.30476190476190473,0.08109651771336554,1.5058124914662494,0.20060680346733806
random,32,operator_confusion_shrinkage,960,48,20,0.15659518407402198,0.2815158482730507,0.5105449285544437,0.42683959483551875,0.36706349206349204,0.1343729152288935,0.37142857142857144,0.06878802910052911,1.397891244825206,0.1584559585130841
random,32,oracle,48,48,1,0.0,0.0,0.0,0.42655926501035196,0.37412008281573506,0.09481107660455489,0.2285714285714286,0.0502343570278353,1.4089779624885292,0.15946308214154634
random,32,topology_ridge,48,48,1,0.14234403863581777,0.24290276779349054,0.5350815889232995,0.4237800494593973,0.3684265010351967,0.11733523119392686,0.3380952380952381,0.0623181216931217,1.4170207969472983,0.1645716796456247
random,32,uniform_prior_match,960,48,20,0.45187745262318,0.8044606934094535,1.2818317359784288,0.4226616775937428,0.34703243616287094,0.2324468742811134,0.4761904761904762,0.12067564556015645,1.3939972883888767,0.16187619798846706
random,64,fixed_topology_shrinkage,960,48,20,0.22931931693687072,0.3966443020181125,0.6016707203533778,0.42761122972739823,0.3608005521048999,0.15843656544743503,0.3904761904761905,0.08001971546468829,1.3848958738148982,0.1549906935656737
random,64,identity,48,48,1,0.413123277298423,0.6288260245727649,1.0659993797060883,0.4130323355187486,0.33852657004830916,0.16855877616747184,0.30476190476190473,0.08109651771336554,1.5058124914662494,0.20060680346733806
random,64,operator_confusion_shrinkage,960,48,20,0.1975836407370533,0.3426376207845063,0.5512102459835899,0.42743826561421666,0.3608005521048999,0.1556121319300667,0.38571428571428573,0.07814856150793652,1.3873464435276566,0.1552272162896724
random,64,oracle,48,48,1,0.0,0.0,0.0,0.42655926501035196,0.37412008281573506,0.09481107660455489,0.2285714285714286,0.0502343570278353,1.4089779624885292,0.15946308214154634
random,64,topology_ridge,48,48,1,0.14234403863581777,0.24290276779349054,0.5350815889232995,0.4237800494593973,0.3684265010351967,0.11733523119392686,0.3380952380952381,0.0623181216931217,1.4170207969472983,0.1645716796456247
random,64,uniform_prior_match,960,48,20,0.3825673973793274,0.667906360411988,0.9457321090766772,0.4247695609040718,0.35443409247757074,0.2156664797561537,0.4428571428571429,0.10867016764435243,1.3829198863094179,0.1572038739959289
random,128,fixed_topology_shrinkage,960,48,20,0.2823632373561575,0.470580378215945,0.6933438033392592,0.42751153812974463,0.3584368530020704,0.18154632505175983,0.40476190476190477,0.09212815591212332,1.379092223954404,0.15403245750830358
random,128,identity,48,48,1,0.413123277298423,0.6288260245727649,1.0659993797060883,0.4130323355187486,0.33852657004830916,0.16855877616747184,0.30476190476190473,0.08109651771336554,1.5058124914662494,0.20060680346733806
random,128,operator_confusion_shrinkage,960,48,20,0.24138270580414214,0.39759130389922065,0.5816730144432827,0.4276308912755924,0.35845410628019325,0.1773178341384863,0.3952380952380953,0.08930151181849552,1.3809525465492458,0.15411891942483258
random,128,oracle,48,48,1,0.0,0.0,0.0,0.42655926501035196,0.37412008281573506,0.09481107660455489,0.2285714285714286,0.0502343570278353,1.4089779624885292,0.15946308214154634
random,128,topology_ridge,48,48,1,0.14234403863581777,0.24290276779349054,0.5350815889232995,0.4237800494593973,0.3684265010351967,0.11733523119392686,0.3380952380952381,0.0623181216931217,1.4170207969472983,0.1645716796456247
random,128,uniform_prior_match,960,48,20,0.40308641768847203,0.6725710079035147,0.9825764336700954,0.42466273435702784,0.3558833678398896,0.23012091672417762,0.4380952380952381,0.1154459972394755,1.3794072171559943,0.15669312133808908
random,256,fixed_topology_shrinkage,960,48,20,0.3156607647526897,0.5129848741985406,0.6598196538712101,0.42761176889233954,0.3620772946859903,0.1976417644352427,0.3619047619047619,0.09859333664021165,1.3748666070133848,0.1527743995553466
random,256,identity,48,48,1,0.413123277298423,0.6288260245727649,1.0659993797060883,0.4130323355187486,0.33852657004830916,0.16855877616747184,0.30476190476190473,0.08109651771336554,1.5058124914662494,0.20060680346733806
random,256,operator_confusion_shrinkage,960,48,20,0.266549804787816,0.43116539029518597,0.5600068555581664,0.428178539078675,0.36092132505175983,0.19187823498964804,0.35714285714285715,0.09520781214055671,1.3760090033131456,0.1521605908875669
random,256,oracle,48,48,1,0.0,0.0,0.0,0.42655926501035196,0.37412008281573506,0.09481107660455489,0.2285714285714286,0.0502343570278353,1.4089779624885292,0.15946308214154634
random,256,topology_ridge,48,48,1,0.14234403863581777,0.24290276779349054,0.5350815889232995,0.4237800494593973,0.3684265010351967,0.11733523119392686,0.3380952380952381,0.0623181216931217,1.4170207969472983,0.1645716796456247
random,256,uniform_prior_match,960,48,20,0.37899939784612985,0.6160970814326505,0.7856502896987144,0.42607155437658156,0.36076604554865427,0.22394905969634232,0.40476190476190477,0.1106738303715206,1.3749969796568178,0.15451991175623453
random,450,fixed_topology_shrinkage,48,48,1,0.36922517641379776,0.5828795548475707,0.6709874606101147,0.4267278439153439,0.36328502415458935,0.22156659765355416,0.3761904761904762,0.10991452438463307,1.3738600679074908,0.15337437839001117
random,450,identity,48,48,1,0.413123277298423,0.6288260245727649,1.0659993797060883,0.4130323355187486,0.33852657004830916,0.16855877616747184,0.30476190476190473,0.08109651771336554,1.5058124914662494,0.20060680346733806
random,450,operator_confusion_shrinkage,48,48,1,0.30988115477411926,0.48345585633652094,0.5656587148915815,0.4270743472509777,0.3657177363699103,0.2142857142857143,0.34761904761904766,0.1050857631700023,1.3734399233809809,0.15238011593919007
random,450,oracle,48,48,1,0.0,0.0,0.0,0.42655926501035196,0.37412008281573506,0.09481107660455489,0.2285714285714286,0.0502343570278353,1.4089779624885292,0.15946308214154634
random,450,topology_ridge,48,48,1,0.14234403863581777,0.24290276779349054,0.5350815889232995,0.4237800494593973,0.3684265010351967,0.11733523119392686,0.3380952380952381,0.0623181216931217,1.4170207969472983,0.1645716796456247
random,450,uniform_prior_match,48,48,1,0.3699539984979106,0.5838550426727617,0.6725962609555517,0.42672748447204967,0.36328502415458935,0.2218642167011732,0.3761904761904762,0.11001337129054521,1.373873683049432,0.1534249499690471
