condition,batch_size,repeat,target_view,montage,held_out_reference,stress_construction_uses_labels,true_batch_prior_audit_only,soft_mean_prior,weak_confusion_prior,regularized_confusion_prior,soft_mean_prior_rmse,weak_confusion_prior_rmse,regularized_confusion_prior_rmse,uniform_bias_rmse,fixed_shrinkage_bias_rmse,soft_mean_shrinkage_bias_rmse,weak_confusion_shrinkage_bias_rmse,candidate_bias_rmse,prior_match_weight,topology_bias,uniform_bias,fixed_bias,candidate_bias,oracle_bias_audit_only,candidate_prior_displacement_from_nominal,candidate_update_norm_from_topology,target_reference_labels_used_for_candidate
random,16,0,native16@C1,native16,c1,False,"[0.25, 0.25, 0.125, 0.375]","[0.18568709271117229, 0.26335754068481043, 0.21374660347167093, 0.3372087631323463]","[0.18033742373691863, 0.27003293945505313, 0.26612341684783125, 0.28350621996019704]","[0.24178062690758162, 0.25334945442143575, 0.25181418241076664, 0.2530557362602161]",0.058349616855710405,0.0915711796413015,0.0880781148448677,0.37360242485385864,0.20212462682147686,0.1886327110122982,0.16987843877024553,0.19846369083684992,0.16838735441727548,"[0.46403192090090384, -0.2827901741843297, -0.6271110161030515]","[0.7666396175005253, -0.673971780787306, -0.6797897582194616]","[0.5149872303576197, -0.34866021001690434, -0.6359814501220638]","[0.5074210171894732, -0.344982057492387, -0.6343126983928881]","[0.24535827374546093, -0.394398051238459, -0.4174148242621345]",0.009560633915446263,0.07617288398075457,False
random,16,0,native16@C2,native16,c2,False,"[0.25, 0.25, 0.125, 0.375]","[0.2155916519392327, 0.24800281127979334, 0.20302695785733912, 0.3333785789236348]","[0.21262666909735045, 0.23832999461938498, 0.2608017304914921, 0.28824160579177255]","[0.24602471524172256, 0.24895701515315985, 0.25112916197854385, 0.2538891076265738]",0.047456485394364444,0.08291876123413894,0.08745470893439287,0.29718732895327016,0.1044422815707053,0.0903980423283549,0.09685171368320607,0.1034186558787267,0.16976212455871004,"[0.24850324026981224, -0.006679691255486064, -0.49327481602237777]","[0.3915274505413646, -0.38720553278198727, -0.4228177017195194]","[0.27278333406884264, -0.07127856656251592, -0.48131386660804865]","[0.2693075249215621, -0.07180023810150436, -0.4803989227187042]","[0.15136748108368084, 0.05923649196174666, -0.512112903628341]",0.005769824191861879,0.06956502360930444,False
random,16,0,native16@C3,native16,c3,False,"[0.25, 0.25, 0.125, 0.375]","[0.15946688417833702, 0.2962389406762655, 0.212321753820616, 0.3319724213247815]","[0.1429542281085901, 0.3147596225476002, 0.27187980535724965, 0.27040634398656]","[0.23670931653139396, 0.25945450015048144, 0.2525882924108527, 0.25124789090727206]",0.07037532577580409,0.10973390097455842,0.08924598969333834,0.48638538652064134,0.03801420962840582,0.06848892232164311,0.06762045885364346,0.03646617234889224,0.16698755532671217,"[0.6927965267470225, -0.5390876004716776, -0.7950237704133931]","[1.3671818084210576, -1.263813880307341, -0.8521854127514998]","[0.8054104762820858, -0.6601078702224578, -0.8045690533258935]","[0.7940993183421662, -0.6508894581191943, -0.8028765964006263]","[0.789657433427771, -0.660708745345045, -0.7406415866864722]",0.01656159199710768,0.1510747425428568,False
random,16,0,native16@C4,native16,c4,False,"[0.25, 0.25, 0.125, 0.375]","[0.21569390203561756, 0.20036942920716094, 0.20053089143322084, 0.3834057773240006]","[0.23444292849971723, 0.18187845782887355, 0.2598318411507115, 0.32384677252069777]","[0.24957549167524007, 0.24154456149498268, 0.2508356603645443, 0.2580442864652329]",0.04851719944484247,0.08012310068119775,0.08600134736653456,0.1908709896032982,0.09415087897835143,0.11026518860123892,0.12821599734810704,0.09825784676872988,0.1697300085352867,"[0.28383679960620395, 0.04267736189354593, -0.5669231385460688]","[0.4189702484519833, -0.12437637999446, -0.5339522483113246]","[0.3067730010322008, 0.014323328857043103, -0.5613269890651097]","[0.30735394615965755, 0.007279085229269726, -0.5604588197211949]","[0.2871830494690919, 0.17437942213720123, -0.5856466280187804]",0.011708267190729796,0.04298699327339462,False
random,16,0,native16@CP1,native16,cp1,False,"[0.25, 0.25, 0.125, 0.375]","[0.17095728023424278, 0.25809491684385366, 0.19943353285773208, 0.37151427006417154]","[0.1699420439754603, 0.2607540774660719, 0.26961162724085913, 0.2996922513176087]","[0.2407923739096125, 0.25229420536741765, 0.25216059756506176, 0.25475282315790815]",0.054465081367665154,0.09097898967595872,0.08763453210362508,0.4271881866207647,0.1412942934728454,0.120360948230347,0.10501181157558681,0.1364166689116207,0.17209112928669928,"[0.33899296960316916, -0.10690708849019487, -0.594914325521378]","[0.769310307210213, -0.5450605155882882, -0.5227027453299332]","[0.41304676618361114, -0.18230940656034322, -0.5824873531386552]","[0.40342945874128006, -0.1791894898063212, -0.5804057686283197]","[0.2729219947839517, 0.0033974811162997493, -0.5065253072629708]",0.010830570912780698,0.09791478384590621,False
random,16,0,native16@CP2,native16,cp2,False,"[0.25, 0.25, 0.125, 0.375]","[0.17776232899946617, 0.2591709250508389, 0.20933968007827178, 0.35372706587142305]","[0.17542364174703606, 0.2651607614243418, 0.26777336387544676, 0.29164223295317543]","[0.24132318990963778, 0.25278864157340714, 0.251976718292055, 0.2539114502249]",0.056718838008225886,0.0910003195826581,0.08784729282969667,0.4622536378312089,0.17298534122047432,0.131954950085918,0.13414694080623618,0.1680370151592222,0.17034883703635748,"[0.2347649013879981, 0.1770449093578399, -0.5111939415072901]","[0.6320848314361066, -0.2855270490824655, -0.5641852396260878]","[0.3024478894030603, 0.09824631419190359, -0.5202209475148742]","[0.2937093438138811, 0.10190320589400238, -0.5185410323653028]","[0.0817245068305003, 0.295969904164007, -0.5644742545750552]",0.010112883527321056,0.09578466806551776,False
random,16,0,native16@CP3,native16,cp3,False,"[0.25, 0.25, 0.125, 0.375]","[0.13413223208982009, 0.34298381188958205, 0.22084212444677404, 0.3020418315738239]","[0.10016742468419482, 0.3803852904259787, 0.27719983346889787, 0.2422474514209286]","[0.23062459395602697, 0.2682716286546361, 0.2533857254370821, 0.24771805195225471]",0.09562940979711432,0.1416316993538454,0.09136854979682082,0.5825455347821338,0.08356392515123233,0.18459491856178767,0.2286764146527591,0.10159743653254624,0.16572741505764402,"[0.5132072848777876, -0.3121485967766827, -0.7350738779953186]","[1.3927751564165969, -1.3258168760074498, -1.0461137429576293]","[0.6589757945956684, -0.48014122041952784, -0.786621710795401]","[0.6362088300878107, -0.4586535276942756, -0.7827881679911906]","[0.7549929111902552, -0.5884429315224567, -0.7861303320397484]",0.026943073259924514,0.19715407268690188,False
random,16,0,native16@CP4,native16,cp4,False,"[0.25, 0.25, 0.125, 0.375]","[0.1635018606623458, 0.30952213991426514, 0.2120823040233282, 0.31489369540006085]","[0.14031365990603129, 0.3288765812762413, 0.2714443565291691, 0.25936540228855826]","[0.23613751212175016, 0.2612758234427712, 0.2525879148793979, 0.24999874955608065]",0.07453339650036356,0.11518454543054661,0.08975424976053098,0.5661824286836911,0.09124995957532113,0.031396451128665084,0.051048856397884375,0.0812554986867898,0.17261148471783777,"[0.3016364438651555, 0.2626620789196858, -0.5915519182302846]","[0.8863506867175523, -0.5561605236784924, -0.6339651748064573]","[0.40256483745957405, 0.12132389376469022, -0.5988729334196164]","[0.388043869042899, 0.13470715808808725, -0.5974146048470432]","[0.3159294975719638, 0.2412653035431559, -0.6544430825143026]",0.018055748931401102,0.1545091453126135,False
random,16,0,native16@CPz,native16,cpz,False,"[0.25, 0.25, 0.125, 0.375]","[0.17125020424175508, 0.2217301243624438, 0.19651078637180855, 0.4105088850239926]","[0.18676183318659156, 0.21707508496396477, 0.2688912900662006, 0.32727179178324306]","[0.24353288489634012, 0.24655970651931083, 0.2519366538569084, 0.25797075472744063]",0.05782600989971932,0.08376425399379528,0.08640372899714846,0.40089796761261326,0.11322006901988857,0.0885004757042493,0.1001437879730078,0.11150030190838908,0.1730334562412347,"[0.2247807606375019, 0.12371171774247432, -0.5362261514561408]","[0.7397629013986677, -0.19086515017462838, -0.5323475668711177]","[0.31388990035591646, 0.06927939503323566, -0.5355550265600703]","[0.3079828073295716, 0.06670720663303355, -0.5335338938293429]","[0.1574857222373754, 0.1872411496066669, -0.5444493849757318]",0.010997397695989423,0.1008927307178508,False
random,16,0,native16@Cz,native16,cz,False,"[0.25, 0.25, 0.125, 0.375]","[0.15885184970320693, 0.2922207985051442, 0.2246501820605595, 0.3242771697310894]","[0.1444899900551374, 0.3166030363951749, 0.2711706753832848, 0.26773629816640293]","[0.23684707229981722, 0.25966890202580367, 0.25251886881513114, 0.2509651568592479]",0.07515574732535453,0.11004509840137637,0.08931991853768177,0.3806812512035533,0.06958621897317317,0.08645286415871319,0.09900042004688685,0.07053337689391907,0.1680868567865734,"[0.24313466973417663, 0.0410577590722985, -0.4968786607953495]","[0.7755628817342243, -0.5508350937465237, -0.6452736232359617]","[0.33262885435376, -0.05843165011245523, -0.5218219035949536]","[0.319977774380079, -0.04874809996255129, -0.519666306728795]","[0.2652643436562392, -0.15713976345081118, -0.5061548466724458]",0.0165457970899446,0.12037122519853527,False
