condition,batch_size,repeat,stress_construction_uses_labels,target_view,montage,held_out_reference,method,target_reference_labels_used,target_unlabeled_logits_used,prior_match_weight,accuracy,balanced_accuracy,nll,ece_15,worst_class_recall,car_anchor_balanced_accuracy,target_bias_rmse,max_class_recall_gap_to_car,mean_class_recall_gap_to_car
random,16,0,False,native16@C1,native16,c1,identity,False,False,,0.38369304556354916,0.3830745341614907,1.5339752158686188,0.2034349299980926,0.1932367149758454,0.3705659075224293,0.3605484899565454,0.1111111111111111,0.07203243616287097
random,16,0,False,native16@C1,native16,c1,topology_ridge,False,False,,0.4040767386091127,0.40412353347135954,1.4287357300010959,0.15400507747099443,0.34285714285714286,0.41363008971704623,0.18641081429053008,0.08095238095238094,0.038216011042097986
random,16,0,False,native16@C1,native16,c1,uniform_prior_match,False,True,,0.38369304556354916,0.38366114561766734,1.433200764440633,0.17830429135785286,0.2857142857142857,0.41363008971704623,0.37360242485385864,0.1380952380952381,0.08497239475500344
random,16,0,False,native16@C1,native16,c1,fixed_topology_shrinkage,False,True,0.16838735441727548,0.4028776978417266,0.40289855072463765,1.426578583523094,0.15538768077121162,0.34285714285714286,0.41363008971704623,0.20212462682147686,0.08095238095238094,0.03216011042097998
random,16,0,False,native16@C1,native16,c1,operator_confusion_shrinkage,False,True,0.16838735441727548,0.4028776978417266,0.4029158040027605,1.4267318999533973,0.15533556680829014,0.34285714285714286,0.41363008971704623,0.19846369083684992,0.08095238095238094,0.03217736369910283
random,16,0,False,native16@C1,native16,c1,oracle,True,False,,0.3980815347721823,0.39805037957211875,1.4423061862129847,0.1619545020014207,0.357487922705314,0.4148378191856453,0.0,0.05797101449275366,0.03362663906142167
random,16,0,False,native16@C2,native16,c2,identity,False,False,,0.4028776978417266,0.40201863354037265,1.4384891152032304,0.16315158883264058,0.28019323671497587,0.3705659075224293,0.3102046111693609,0.1497584541062802,0.05056935817805383
random,16,0,False,native16@C2,native16,c2,topology_ridge,False,False,,0.4184652278177458,0.41830572808833677,1.380810076969849,0.12868963141296935,0.357487922705314,0.41363008971704623,0.06864199993989067,0.05797101449275366,0.03366114561766735
random,16,0,False,native16@C2,native16,c2,uniform_prior_match,False,True,,0.41247002398081534,0.4121808143547274,1.4062241988282256,0.13955576594221977,0.26570048309178745,0.41363008971704623,0.29718732895327016,0.1497584541062802,0.07342995169082125
random,16,0,False,native16@C2,native16,c2,fixed_topology_shrinkage,False,True,0.16976212455871004,0.4136690647482014,0.41349206349206347,1.383113549750917,0.13407007801251405,0.33816425120772947,0.41363008971704623,0.1044422815707053,0.07729468599033817,0.03850931677018633
random,16,0,False,native16@C2,native16,c2,operator_confusion_shrinkage,False,True,0.16976212455871004,0.4136690647482014,0.41349206349206347,1.3832591927650357,0.13408193406870003,0.33816425120772947,0.41363008971704623,0.1034186558787267,0.07729468599033817,0.03850931677018633
random,16,0,False,native16@C2,native16,c2,oracle,True,False,,0.4244604316546763,0.4243961352657005,1.382213280999125,0.12428271254616476,0.37681159420289856,0.4148378191856453,0.0,0.048309178743961345,0.028881987577639753
random,16,0,False,native16@C3,native16,c3,identity,False,False,,0.34292565947242204,0.34235679779158035,1.6504831012513157,0.2471706124789527,0.17391304347826086,0.3705659075224293,0.7322669978162821,0.15714285714285714,0.07893374741200829
