held_out_reference,batch_size,prior_match_mse_from_source_subjects,nested_topology_mse,prior_match_weight,topology_weight,n_source_views,n_random_source_resamples,target_reference_labels_used
c1,16,0.14395482054187556,0.029148392001271946,0.16838735441727548,0.8316126455827245,46,20,False
c1,32,0.06917005251846216,0.029148392001271946,0.29646921433364815,0.7035307856663519,46,20,False
c1,64,0.02254703909490026,0.029148392001271946,0.5638485139440155,0.4361514860559845,46,20,False
c1,128,0.013683867639829587,0.029148392001271946,0.6805242647833913,0.31947573521660866,46,20,False
c1,256,0.006156934531416218,0.029148392001271946,0.8256089056217709,0.17439109437822908,46,20,False
c1,450,5.7720752765405514e-05,0.029148392001271946,0.9980236756171043,0.0019763243828957444,46,1,False
c2,16,0.1447469162510005,0.02959699232347195,0.16976212455871004,0.83023787544129,46,20,False
c2,32,0.0694498689082811,0.02959699232347195,0.2988180741459333,0.7011819258540667,46,20,False
c2,64,0.022665909517104156,0.02959699232347195,0.566309777703413,0.43369022229658705,46,20,False
c2,128,0.013728761851888071,0.02959699232347195,0.6831269965591086,0.3168730034408914,46,20,False
c2,256,0.006161161348784102,0.02959699232347195,0.827699119891517,0.172300880108483,46,20,False
c2,450,5.779226208641378e-05,0.02959699232347195,0.9980511656754857,0.0019488343245143147,46,1,False
c3,16,0.1447357869558593,0.029014062618867634,0.16698755532671217,0.8330124446732878,46,20,False
c3,32,0.06953333162079002,0.029014062618867634,0.29441734956794763,0.7055826504320524,46,20,False
c3,64,0.022557913043313418,0.029014062618867634,0.5625935839441639,0.4374064160558361,46,20,False
c3,128,0.013634198670717983,0.029014062618867634,0.6803105622960682,0.31968943770393177,46,20,False
c3,256,0.006188068807797876,0.029014062618867634,0.8242132349091102,0.17578676509088975,46,20,False
c3,450,5.776194348222652e-05,0.029014062618867634,0.9980131297449754,0.001986870255024642,46,1,False
c4,16,0.14384734942900274,0.029406352267761872,0.1697300085352867,0.8302699914647134,46,20,False
c4,32,0.06979979958718194,0.029406352267761872,0.29641662052126505,0.703583379478735,46,20,False
c4,64,0.022575477008862706,0.029406352267761872,0.5657044524399886,0.43429554756001143,46,20,False
c4,128,0.01366263988152924,0.029406352267761872,0.6827731692868482,0.31722683071315183,46,20,False
c4,256,0.006147804393429773,0.029406352267761872,0.827086198330777,0.172913801669223,46,20,False
c4,450,5.769673069709044e-05,0.029406352267761872,0.9980417921956312,0.001958207804368839,46,1,False
c5,16,0.1434853603277364,0.029987255972905868,0.17286449361515074,0.8271355063848492,47,20,False
c5,32,0.06908698014347608,0.029987255972905868,0.3026746119715725,0.6973253880284275,47,20,False
c5,64,0.022457040567576973,0.029987255972905868,0.5717925103592167,0.42820748964078326,47,20,False
c5,128,0.013591679140580315,0.029987255972905868,0.6881135552030926,0.3118864447969074,47,20,False
c5,256,0.0061155062195910725,0.029987255972905868,0.8306083565854685,0.1693916434145315,47,20,False
c5,450,5.747845387756965e-05,0.029987255972905868,0.9980869042454796,0.0019130957545203664,47,1,False
c6,16,0.14255717141503638,0.029285284613895374,0.17041937883479064,0.8295806211652094,47,20,False
c6,32,0.06907178623989367,0.029285284613895374,0.29774457860207015,0.7022554213979298,47,20,False
c6,64,0.022385553805639186,0.029285284613895374,0.566766197523589,0.43323380247641097,47,20,False
c6,128,0.013468152897051007,0.029285284613895374,0.6849808183586948,0.31501918164130516,47,20,False
c6,256,0.006074184404976977,0.029285284613895374,0.8282161872471837,0.1717838127528163,47,20,False
c6,450,5.7306508341510436e-05,0.029285284613895374,0.9980469854177915,0.0019530145822085343,47,1,False
cp1,16,0.1432969648559801,0.029786051795985303,0.17209112928669928,0.8279088707133007,46,20,False
cp1,32,0.0690495340466277,0.029786051795985303,0.3013697095236222,0.6986302904763778,46,20,False
cp1,64,0.02252765436021033,0.029786051795985303,0.569373764249308,0.43062623575069203,46,20,False
cp1,128,0.013526206644653932,0.029786051795985303,0.687704886985009,0.312295113014991,46,20,False
cp1,256,0.006105278693416206,0.029786051795985303,0.8298954480046634,0.17010455199533658,46,20,False
cp1,450,5.7550336996725647e-05,0.029786051795985303,0.9980716021899675,0.0019283978100325117,46,1,False
cp2,16,0.1436819917963555,0.029501628272470964,0.17034883703635748,0.8296511629636425,46,20,False
cp2,32,0.06942878422634807,0.029501628272470964,0.2982058552805805,0.7017941447194195,46,20,False
cp2,64,0.022562927467400906,0.029501628272470964,0.5666355518304778,0.43336444816952224,46,20,False
cp2,128,0.013624533314101269,0.029501628272470964,0.6840773022020257,0.31592269779797433,46,20,False
cp2,256,0.006131938963790845,0.029501628272470964,0.8279167807383934,0.17208321926160663,46,20,False
cp2,450,5.7662630260729204e-05,0.029501628272470964,0.9980492552933534,0.0019507447066465788,46,1,False
cp3,16,0.14459241260513225,0.02872313822903888,0.16572741505764402,0.834272584942356,46,20,False
cp3,32,0.06850719417081824,0.02872313822903888,0.2954133501355909,0.7045866498644091,46,20,False
cp3,64,0.02251341191187413,0.02872313822903888,0.5605985990478134,0.4394014009521866,46,20,False
