condition,batch_size,method,n_rows,n_target_views,n_repeats,mean_target_bias_rmse,p90_target_bias_rmse,worst_target_bias_rmse,mean_balanced_accuracy,worst_balanced_accuracy,mean_max_class_recall_gap,worst_class_recall_gap,mean_class_recall_gap,mean_nll,mean_ece_15
balanced,32,class_operator_trust_safeguard,960,48,20,0.2047282903665275,0.36100397548980845,0.6349073208377053,0.4607966521451576,0.3686507936507936,0.10375086266390614,0.27142857142857146,0.056366046267540826,1.4316148571932714,0.20178750476774784
balanced,32,fixed_topology_shrinkage,960,48,20,0.24572333944534888,0.4069859463815218,0.7594889760228379,0.46167439469749255,0.3717046238785369,0.11396940418679544,0.2619047619047619,0.06178603778467904,1.4244314331280765,0.19951107926960923
balanced,32,identity,48,48,1,1.3757055000627778,1.6795915638678065,2.056988606119871,0.4197665056360708,0.309351276742581,0.22961668967103743,0.4782608695652174,0.11243889463998157,1.7121568284914404,0.2956377650059144
balanced,32,operator_confusion_shrinkage,960,48,20,0.21865693377330517,0.3695064577510916,0.7015357126023065,0.46082803154474344,0.3688923395445134,0.10464939901081201,0.2619047619047619,0.05631806058776163,1.4280247843719187,0.20126763294947464
balanced,32,oracle,48,48,1,0.0,0.0,0.0,0.45952560674028065,0.3712387853692201,0.07384546813894635,0.2095238095238095,0.0372106481481481,1.436131155943416,0.20442440629871125
balanced,32,topology_ridge,48,48,1,0.22391828589903542,0.3836234547167882,0.5534502734040705,0.45800372383252813,0.3589544513457557,0.1018475385323211,0.2761904761904762,0.0565558862433862,1.4524505838887853,0.20867077653150198
balanced,32,uniform_prior_match,960,48,20,0.4802409305781319,0.7727201416653244,1.325037155577769,0.46120251754083275,0.3572291235334713,0.18576417644352422,0.4202898550724637,0.10496743443754308,1.4321110432159267,0.19820217972267473
balanced,128,class_operator_trust_safeguard,960,48,20,0.19268174860286147,0.3160222560694404,0.5326945412643077,0.4615109198872786,0.3758454106280193,0.10334253508166551,0.2657004830917874,0.05611050005751093,1.4276087184082655,0.20010013366355694
balanced,128,fixed_topology_shrinkage,960,48,20,0.30356644326425053,0.4480791144248906,0.664883270543359,0.463598979899931,0.3707729468599033,0.13095547216471123,0.2523809523809524,0.07411902245801698,1.4113109295376935,0.1943040956148171
balanced,128,identity,48,48,1,1.3757055000627778,1.6795915638678065,2.056988606119871,0.4197665056360708,0.309351276742581,0.22961668967103743,0.4782608695652174,0.11243889463998157,1.7121568284914404,0.2956377650059144
balanced,128,operator_confusion_shrinkage,960,48,20,0.2407006313076043,0.3546551382579312,0.5684571318523173,0.4620386365596963,0.3695652173913043,0.11003191856452722,0.2476190476190476,0.0598696119450195,1.4145344076510327,0.19695432836759966
balanced,128,oracle,48,48,1,0.0,0.0,0.0,0.45952560674028065,0.3712387853692201,0.07384546813894635,0.2095238095238095,0.0372106481481481,1.436131155943416,0.20442440629871125
balanced,128,topology_ridge,48,48,1,0.22391828589903542,0.3836234547167882,0.5534502734040705,0.45800372383252813,0.3589544513457557,0.1018475385323211,0.2761904761904762,0.0565558862433862,1.4524505838887853,0.20867077653150198
balanced,128,uniform_prior_match,960,48,20,0.39840715151438844,0.5747939888016471,0.7918434876017494,0.4636559876063952,0.370703933747412,0.15953804347826084,0.3043478260869565,0.09260594591097303,1.4117745802984065,0.19324849658817206
random,16,class_operator_trust_safeguard,960,48,20,0.20841680690225892,0.3694128998764494,0.6284862202985221,0.45978469346675865,0.3613181504485852,0.10191497009431791,0.28095238095238095,0.05548043190706234,1.4413622356144553,0.20484527784966175
random,16,fixed_topology_shrinkage,960,48,20,0.2142096542416964,0.37924683980432344,0.658898048693352,0.46010418463883135,0.3625258799171842,0.10528130032206115,0.2809523809523809,0.057478199764205144,1.4391517724900729,0.20402565959884886
random,16,identity,48,48,1,1.3757055000627778,1.6795915638678065,2.056988606119871,0.4197665056360708,0.309351276742581,0.22961668967103743,0.4782608695652174,0.11243889463998157,1.7121568284914404,0.2956377650059144
random,16,operator_confusion_shrinkage,960,48,20,0.20841680690225892,0.3694128998764494,0.6284862202985223,0.45978469346675865,0.3613181504485852,0.10191497009431788,0.2809523809523809,0.0554804319070623,1.4413622356144553,0.20484527784966172
random,16,oracle,48,48,1,0.0,0.0,0.0,0.45952560674028065,0.3712387853692201,0.07384546813894635,0.2095238095238095,0.0372106481481481,1.436131155943416,0.20442440629871125
random,16,topology_ridge,48,48,1,0.22391828589903542,0.3836234547167882,0.5534502734040705,0.45800372383252813,0.3589544513457557,0.1018475385323211,0.2761904761904762,0.0565558862433862,1.4524505838887853,0.20867077653150198
random,16,uniform_prior_match,960,48,20,0.5309343957352037,0.9231000664953427,1.602146750125376,0.4565597502587992,0.3595065562456867,0.20993954163791118,0.4428571428571428,0.11671272932482167,1.4633726365472695,0.2063643076089049
random,32,class_operator_trust_safeguard,960,48,20,0.19828255559768018,0.33472150643874243,0.5677554456761628,0.4604476506786289,0.37222222222222223,0.10109881815044858,0.27142857142857146,0.05536806993328732,1.4337670018974606,0.20269751736456215
random,32,fixed_topology_shrinkage,960,48,20,0.2363941857701772,0.38038625373321855,0.6734265345882833,0.46138006455601566,0.3688750862663906,0.11216844950540598,0.2608695652173912,0.06073569056245682,1.4266583496248095,0.20048203161090736
random,32,identity,48,48,1,1.3757055000627778,1.6795915638678065,2.056988606119871,0.4197665056360708,0.309351276742581,0.22961668967103743,0.4782608695652174,0.11243889463998157,1.7121568284914404,0.2956377650059144
random,32,operator_confusion_shrinkage,960,48,20,0.20930601495820367,0.3498596824553367,0.6040801628446847,0.46059189527260175,0.3710662525879917,0.10216737117552331,0.2657004830917874,0.055174186220381824,1.4305678220407188,0.20225737014756315
random,32,oracle,48,48,1,0.0,0.0,0.0,0.45952560674028065,0.3712387853692201,0.07384546813894635,0.2095238095238095,0.0372106481481481,1.436131155943416,0.20442440629871125
random,32,topology_ridge,48,48,1,0.22391828589903542,0.3836234547167882,0.5534502734040705,0.45800372383252813,0.3589544513457557,0.1018475385323211,0.2761904761904762,0.0565558862433862,1.4524505838887853,0.20867077653150198
random,32,uniform_prior_match,960,48,20,0.44789336156494836,0.7487055701302758,1.1460131702969658,0.4609591564584771,0.359799861973775,0.17292421497584537,0.3913043478260869,0.10018045850586607,1.4320086491058357,0.19879875611675407
random,64,class_operator_trust_safeguard,960,48,20,0.19698117614670538,0.3238977250044426,0.5540574720425553,0.4609935551817345,0.37225672877846794,0.10156070278352886,0.26666666666666666,0.05556175595238095,1.4302752802210166,0.20146978326300602
random,64,fixed_topology_shrinkage,960,48,20,0.2916032723532557,0.45841049620357976,0.7320948520141655,0.4621968455256499,0.37135955831608,0.12116258339084422,0.2476190476190476,0.06753885582010577,1.4194317906730238,0.19760999538033416
random,64,identity,48,48,1,1.3757055000627778,1.6795915638678065,2.056988606119871,0.4197665056360708,0.309351276742581,0.22961668967103743,0.4782608695652174,0.11243889463998157,1.7121568284914404,0.2956377650059144
random,64,operator_confusion_shrinkage,960,48,20,0.23836760468140888,0.3755047767075126,0.6542161930913806,0.46103889895330114,0.3690131124913733,0.10500107832988263,0.2380952380952381,0.05675810904071768,1.4228335516756576,0.2000965394461819
random,64,oracle,48,48,1,0.0,0.0,0.0,0.45952560674028065,0.3712387853692201,0.07384546813894635,0.2095238095238095,0.0372106481481481,1.436131155943416,0.20442440629871125
random,64,topology_ridge,48,48,1,0.22391828589903542,0.3836234547167882,0.5534502734040705,0.45800372383252813,0.3589544513457557,0.1018475385323211,0.2761904761904762,0.0565558862433862,1.4524505838887853,0.20867077653150198
random,64,uniform_prior_match,960,48,20,0.4439252269219305,0.6871033132675296,1.092899457111039,0.461626552795031,0.367063492063492,0.16143403496664363,0.3666666666666666,0.09427500287554631,1.4237327716730068,0.19699334216901496
random,128,class_operator_trust_safeguard,960,48,20,0.19579883023530872,0.32005842712810606,0.5411991933037782,0.4616567280595813,0.373464458247067,0.10499252357948011,0.2753623188405797,0.05703489834943639,1.4264353671664494,0.19964458640850408
random,128,fixed_topology_shrinkage,960,48,20,0.3158897228044097,0.4742673244727528,0.7295531162717109,0.463702625373821,0.3707902001380262,0.1345069875776397,0.2761904761904762,0.07628306878306873,1.4109950248107586,0.1938702134978301
random,128,identity,48,48,1,1.3757055000627778,1.6795915638678065,2.056988606119871,0.4197665056360708,0.309351276742581,0.22961668967103743,0.4782608695652174,0.11243889463998157,1.7121568284914404,0.2956377650059144
random,128,operator_confusion_shrinkage,960,48,20,0.2505878784779553,0.38096734156511974,0.6300650317608983,0.4621693301414769,0.3695652173913043,0.1127820192086496,0.2857142857142857,0.061685195968483965,1.4134869369697036,0.19649000233577388
random,128,oracle,48,48,1,0.0,0.0,0.0,0.45952560674028065,0.3712387853692201,0.07384546813894635,0.2095238095238095,0.0372106481481481,1.436131155943416,0.20442440629871125
random,128,topology_ridge,48,48,1,0.22391828589903542,0.3836234547167882,0.5534502734040705,0.45800372383252813,0.3589544513457557,0.1018475385323211,0.2761904761904762,0.0565558862433862,1.4524505838887853,0.20867077653150198
random,128,uniform_prior_match,960,48,20,0.4154196655205949,0.6152696619919857,0.9514161975318844,0.46366213408672646,0.3636300897170462,0.16436817057740966,0.3333333333333333,0.09627406472854837,1.4124037532590399,0.19308931755927752
random,256,class_operator_trust_safeguard,960,48,20,0.1947258280419577,0.3130909409862331,0.5180940959293199,0.46163947478145845,0.3758281573498965,0.10285541752933057,0.2560386473429952,0.056219896624108576,1.4270068255814827,0.1999919944887129
random,256,fixed_topology_shrinkage,960,48,20,0.3916194095817074,0.5566170125936146,0.7508323687770798,0.4633227297561537,0.3706866804692891,0.14847977053140093,0.2619047619047619,0.08757943696802387,1.411392074383032,0.19366586166189348
random,256,identity,48,48,1,1.3757055000627778,1.6795915638678065,2.056988606119871,0.4197665056360708,0.309351276742581,0.22961668967103743,0.4782608695652174,0.11243889463998157,1.7121568284914404,0.2956377650059144
random,256,operator_confusion_shrinkage,960,48,20,0.29939678902182737,0.4251754964330446,0.6112248766421953,0.46165595525649866,0.3683747412008281,0.12143381930066707,0.2761904761904762,0.06757084627329187,1.410924429519806,0.19630526359501013
random,256,oracle,48,48,1,0.0,0.0,0.0,0.45952560674028065,0.3712387853692201,0.07384546813894635,0.2095238095238095,0.0372106481481481,1.436131155943416,0.20442440629871125
random,256,topology_ridge,48,48,1,0.22391828589903542,0.3836234547167882,0.5534502734040705,0.45800372383252813,0.3589544513457557,0.1018475385323211,0.2761904761904762,0.0565558862433862,1.4524505838887853,0.20867077653150198
random,256,uniform_prior_match,960,48,20,0.43492625029946946,0.6146373963335837,0.8412698457669512,0.463285671152519,0.3682539682539683,0.15933445479641126,0.2761904761904762,0.09558420318610532,1.4129580452133443,0.19348033262009723
random,450,class_operator_trust_safeguard,48,48,1,0.19376947915580622,0.31156837887464056,0.5005032836561999,0.46189901081205426,0.37705314009661833,0.10300350816655164,0.25120772946859904,0.05615582585691281,1.4267030193610308,0.19982556235935342
random,450,fixed_topology_shrinkage,48,48,1,0.421094196471854,0.586917339022597,0.6920820700237377,0.46370305670577405,0.3780365769496204,0.16093714055670574,0.2619047619047619,0.09532400218541519,1.410869113567517,0.19230917950659931
random,450,identity,48,48,1,1.3757055000627778,1.6795915638678065,2.056988606119871,0.4197665056360708,0.309351276742581,0.22961668967103743,0.4782608695652174,0.11243889463998157,1.7121568284914404,0.2956377650059144
random,450,operator_confusion_shrinkage,48,48,1,0.31906552086877193,0.43546930928698535,0.5289786494830563,0.4617333074534162,0.3744306418219462,0.129071773636991,0.2619047619047619,0.0725281084656084,1.4084762213821056,0.1955686312502133
random,450,oracle,48,48,1,0.0,0.0,0.0,0.45952560674028065,0.3712387853692201,0.07384546813894635,0.2095238095238095,0.0372106481481481,1.436131155943416,0.20442440629871125
random,450,topology_ridge,48,48,1,0.22391828589903542,0.3836234547167882,0.5534502734040705,0.45800372383252813,0.3589544513457557,0.1018475385323211,0.2761904761904762,0.0565558862433862,1.4524505838887853,0.20867077653150198
random,450,uniform_prior_match,48,48,1,0.42154196812989575,0.5876538726833015,0.6928708251855726,0.4636786145617667,0.3780365769496204,0.16109529560616512,0.2619047619047619,0.09539876639061416,1.4108881584152817,0.1923885404627458
skew_0.4_class_0,128,class_operator_trust_safeguard,960,48,20,0.19733478952029584,0.32121794544120835,0.5586810947499629,0.4608796116574649,0.3758281573498965,0.10064484126984127,0.2657004830917874,0.05535619033241315,1.4298636285478223,0.20159884418361898
skew_0.4_class_0,128,fixed_topology_shrinkage,960,48,20,0.38775444841799167,0.5834808244406343,0.7883378109232843,0.46133626639061415,0.3730503795721187,0.13533456981826542,0.2560386473429952,0.07989860104669883,1.4228624648162371,0.19828825308714776
skew_0.4_class_0,128,identity,48,48,1,1.3757055000627778,1.6795915638678065,2.056988606119871,0.4197665056360708,0.309351276742581,0.22961668967103743,0.4782608695652174,0.11243889463998157,1.7121568284914404,0.2956377650059144
skew_0.4_class_0,128,operator_confusion_shrinkage,960,48,20,0.2965995807540572,0.4576994149933299,0.6845968497992166,0.4608539474062571,0.3719634230503795,0.11301630434782604,0.2476190476190476,0.06370487189440989,1.4213632801540632,0.19969496852939092
skew_0.4_class_0,128,oracle,48,48,1,0.0,0.0,0.0,0.45952560674028065,0.3712387853692201,0.07384546813894635,0.2095238095238095,0.0372106481481481,1.436131155943416,0.20442440629871125
skew_0.4_class_0,128,topology_ridge,48,48,1,0.22391828589903542,0.3836234547167882,0.5534502734040705,0.45800372383252813,0.3589544513457557,0.1018475385323211,0.2761904761904762,0.0565558862433862,1.4524505838887853,0.20867077653150198
skew_0.4_class_0,128,uniform_prior_match,960,48,20,0.5150555043769899,0.7678145545877529,1.05461323501786,0.4602335482804233,0.3732919254658385,0.16406918564527256,0.2946859903381642,0.10123887523004366,1.4317035789988672,0.1988954959422947
skew_0.4_class_1,128,class_operator_trust_safeguard,960,48,20,0.187864300967381,0.3116839434905984,0.5071609470349935,0.4614616222394755,0.3734472049689441,0.10170117322291235,0.2657004830917874,0.05522438247642052,1.430455788963239,0.20089798815793639
skew_0.4_class_1,128,fixed_topology_shrinkage,960,48,20,0.2773933739697797,0.4135080864398612,0.590691506633924,0.4641221855590062,0.371911663216011,0.13176206291695416,0.251207729468599,0.07348970913848626,1.416244005968113,0.19489185441170967
skew_0.4_class_1,128,identity,48,48,1,1.3757055000627778,1.6795915638678065,2.056988606119871,0.4197665056360708,0.309351276742581,0.22961668967103743,0.4782608695652174,0.11243889463998157,1.7121568284914404,0.2956377650059144
skew_0.4_class_1,128,operator_confusion_shrinkage,960,48,20,0.21955356929695993,0.3353026907398614,0.5106443526488083,0.4625399700943179,0.369168391994479,0.1095637796181274,0.2333333333333333,0.05948365970784444,1.4195141071744606,0.19765553789222476
skew_0.4_class_1,128,oracle,48,48,1,0.0,0.0,0.0,0.45952560674028065,0.3712387853692201,0.07384546813894635,0.2095238095238095,0.0372106481481481,1.436131155943416,0.20442440629871125
skew_0.4_class_1,128,topology_ridge,48,48,1,0.22391828589903542,0.3836234547167882,0.5534502734040705,0.45800372383252813,0.3589544513457557,0.1018475385323211,0.2761904761904762,0.0565558862433862,1.4524505838887853,0.20867077653150198
skew_0.4_class_1,128,uniform_prior_match,960,48,20,0.3608770925899522,0.5375499082294273,0.773710139895489,0.46445217247527026,0.3635265700483092,0.16079767655854607,0.3043478260869565,0.09187043507016328,1.417986665536874,0.1938062517774494
skew_0.4_class_2,128,class_operator_trust_safeguard,960,48,20,0.20009696053967946,0.3205438582618106,0.5451396234839018,0.461733253536922,0.3734644582470669,0.10773586668967104,0.27053140096618356,0.058442622066942715,1.4251232908335159,0.19914117222251368
skew_0.4_class_2,128,fixed_topology_shrinkage,960,48,20,0.3221096579433688,0.4771219835979637,0.7866489996764066,0.4640307072406257,0.371911663216011,0.14028439153439148,0.2571428571428571,0.07948921310674023,1.410044147303895,0.1932743793377115
skew_0.4_class_2,128,identity,48,48,1,1.3757055000627778,1.6795915638678065,2.056988606119871,0.4197665056360708,0.309351276742581,0.22961668967103743,0.4782608695652174,0.11243889463998157,1.7121568284914404,0.2956377650059144
skew_0.4_class_2,128,operator_confusion_shrinkage,960,48,20,0.25862497624378034,0.3812347937988147,0.6783421383027569,0.46234051501035195,0.3695479641131814,0.11895459512307333,0.2761904761904762,0.06491657321141012,1.412196726371344,0.19582470135320082
skew_0.4_class_2,128,oracle,48,48,1,0.0,0.0,0.0,0.45952560674028065,0.3712387853692201,0.07384546813894635,0.2095238095238095,0.0372106481481481,1.436131155943416,0.20442440629871125
skew_0.4_class_2,128,topology_ridge,48,48,1,0.22391828589903542,0.3836234547167882,0.5534502734040705,0.45800372383252813,0.3589544513457557,0.1018475385323211,0.2761904761904762,0.0565558862433862,1.4524505838887853,0.20867077653150198
skew_0.4_class_2,128,uniform_prior_match,960,48,20,0.42375842787660406,0.6196941458338843,0.949412280356392,0.4641861125488843,0.3708419599723948,0.1725959713595583,0.3285714285714285,0.1006413187255578,1.411794413557059,0.19242228243822637
skew_0.4_class_3,128,class_operator_trust_safeguard,960,48,20,0.18978396420502033,0.3109833539322604,0.5229237612930656,0.46091079336323904,0.37463768115942025,0.09886451863354037,0.26086956521739124,0.05427971158270071,1.4308113970006249,0.20167718707105842
skew_0.4_class_3,128,fixed_topology_shrinkage,960,48,20,0.3038700528800742,0.4554651509986298,0.6630501064881479,0.46258094662985966,0.3730503795721187,0.12214199447895095,0.2285714285714286,0.06932647515527944,1.4152801880145358,0.19632223274398555
skew_0.4_class_3,128,identity,48,48,1,1.3757055000627778,1.6795915638678065,2.056988606119871,0.4197665056360708,0.309351276742581,0.22961668967103743,0.4782608695652174,0.11243889463998157,1.7121568284914404,0.2956377650059144
skew_0.4_class_3,128,operator_confusion_shrinkage,960,48,20,0.23891429062514724,0.3693097490255757,0.5711777726743317,0.46129171339429487,0.3731021394064872,0.10295131700023,0.2333333333333333,0.05567817963538067,1.4186666529265002,0.19912512959395168
skew_0.4_class_3,128,oracle,48,48,1,0.0,0.0,0.0,0.45952560674028065,0.3712387853692201,0.07384546813894635,0.2095238095238095,0.0372106481481481,1.436131155943416,0.20442440629871125
skew_0.4_class_3,128,topology_ridge,48,48,1,0.22391828589903542,0.3836234547167882,0.5534502734040705,0.45800372383252813,0.3589544513457557,0.1018475385323211,0.2761904761904762,0.0565558862433862,1.4524505838887853,0.20867077653150198
skew_0.4_class_3,128,uniform_prior_match,960,48,20,0.39841218504265286,0.5996821803632474,0.786193892255861,0.4625106754658385,0.3681849551414768,0.14644143949850466,0.2761904761904762,0.0861654229928686,1.4161845561043902,0.19548243072666416
