held_out_reference,n_source_examples,n_source_views,source_gate_resamples,class_trust_caps,cap_left_fist,cap_right_fist,cap_both_fists,cap_both_feet,source_condition_audit,all_source_conditions_improve_topology,target_reference_labels_used
c1,1380,46,5,"[0.21176946536367788, 0.26521669284069876, 0.577782379957178, 0.23909556355924652]",0.21176946536367788,0.26521669284069876,0.577782379957178,0.23909556355924652,"{""balanced"": {""topology_mean_rmse"": 0.22881548773278756, ""safe_mean_rmse"": 0.16927608559869656}, ""random"": {""topology_mean_rmse"": 0.22881548773278756, ""safe_mean_rmse"": 0.17668472596959078}, ""skew_0.7_class_0"": {""topology_mean_rmse"": 0.22881548773278756, ""safe_mean_rmse"": 0.2048666968278059}, ""skew_0.7_class_1"": {""topology_mean_rmse"": 0.22881548773278756, ""safe_mean_rmse"": 0.21801688777119335}, ""skew_0.7_class_2"": {""topology_mean_rmse"": 0.22881548773278756, ""safe_mean_rmse"": 0.17797431014139678}, ""skew_0.7_class_3"": {""topology_mean_rmse"": 0.22881548773278756, ""safe_mean_rmse"": 0.18799017889289332}}",True,False
c2,1380,46,5,"[0.21662621769434257, 0.25745323554925936, 0.5801023838041184, 0.23157573156043476]",0.21662621769434257,0.25745323554925936,0.5801023838041184,0.23157573156043476,"{""balanced"": {""topology_mean_rmse"": 0.22800121800505888, ""safe_mean_rmse"": 0.16881254546774188}, ""random"": {""topology_mean_rmse"": 0.22800121800505888, ""safe_mean_rmse"": 0.1763463414270061}, ""skew_0.7_class_0"": {""topology_mean_rmse"": 0.22800121800505888, ""safe_mean_rmse"": 0.20431649357632123}, ""skew_0.7_class_1"": {""topology_mean_rmse"": 0.22800121800505888, ""safe_mean_rmse"": 0.2177697501076885}, ""skew_0.7_class_2"": {""topology_mean_rmse"": 0.22800121800505888, ""safe_mean_rmse"": 0.17749304777495978}, ""skew_0.7_class_3"": {""topology_mean_rmse"": 0.22800121800505888, ""safe_mean_rmse"": 0.18752700668379327}}",True,False
c3,1380,46,5,"[0.20736314459676727, 0.2578891823858586, 0.575509247613532, 0.2298362520177884]",0.20736314459676727,0.2578891823858586,0.575509247613532,0.2298362520177884,"{""balanced"": {""topology_mean_rmse"": 0.2241443206357117, ""safe_mean_rmse"": 0.16588565682109133}, ""random"": {""topology_mean_rmse"": 0.2241443206357117, ""safe_mean_rmse"": 0.17343950280166798}, ""skew_0.7_class_0"": {""topology_mean_rmse"": 0.2241443206357117, ""safe_mean_rmse"": 0.20111448846163865}, ""skew_0.7_class_1"": {""topology_mean_rmse"": 0.2241443206357117, ""safe_mean_rmse"": 0.21731855199568234}, ""skew_0.7_class_2"": {""topology_mean_rmse"": 0.2241443206357117, ""safe_mean_rmse"": 0.17494078920073147}, ""skew_0.7_class_3"": {""topology_mean_rmse"": 0.2241443206357117, ""safe_mean_rmse"": 0.18642941097059618}}",True,False
c4,1380,46,5,"[0.20753524835218293, 0.23070182172291742, 0.5830816089766359, 0.23369016748555074]",0.20753524835218293,0.23070182172291742,0.5830816089766359,0.23369016748555074,"{""balanced"": {""topology_mean_rmse"": 0.2204007167440614, ""safe_mean_rmse"": 0.16359954618411762}, ""random"": {""topology_mean_rmse"": 0.2204007167440614, ""safe_mean_rmse"": 0.1693505485797628}, ""skew_0.7_class_0"": {""topology_mean_rmse"": 0.2204007167440614, ""safe_mean_rmse"": 0.1950543852929503}, ""skew_0.7_class_1"": {""topology_mean_rmse"": 0.2204007167440614, ""safe_mean_rmse"": 0.20789419431008002}, ""skew_0.7_class_2"": {""topology_mean_rmse"": 0.2204007167440614, ""safe_mean_rmse"": 0.1719677169640714}, ""skew_0.7_class_3"": {""topology_mean_rmse"": 0.2204007167440614, ""safe_mean_rmse"": 0.18377262446794707}}",True,False
c5,1410,47,5,"[0.20471475391081895, 0.2649545276953192, 0.5657214784025694, 0.23959798136646607]",0.20471475391081895,0.2649545276953192,0.5657214784025694,0.23959798136646607,"{""balanced"": {""topology_mean_rmse"": 0.22193866442813856, ""safe_mean_rmse"": 0.1653785818501441}, ""random"": {""topology_mean_rmse"": 0.22193866442813856, ""safe_mean_rmse"": 0.17272683254614718}, ""skew_0.7_class_0"": {""topology_mean_rmse"": 0.22193866442813856, ""safe_mean_rmse"": 0.20283268053258222}, ""skew_0.7_class_1"": {""topology_mean_rmse"": 0.22193866442813856, ""safe_mean_rmse"": 0.21433285298572347}, ""skew_0.7_class_2"": {""topology_mean_rmse"": 0.22193866442813856, ""safe_mean_rmse"": 0.1730079711677369}, ""skew_0.7_class_3"": {""topology_mean_rmse"": 0.22193866442813856, ""safe_mean_rmse"": 0.1845921960490643}}",True,False
c6,1410,47,5,"[0.2158259974687537, 0.269296442125042, 0.5920273680435041, 0.23528058528850013]",0.2158259974687537,0.269296442125042,0.5920273680435041,0.23528058528850013,"{""balanced"": {""topology_mean_rmse"": 0.22847009255746004, ""safe_mean_rmse"": 0.1676777440619664}, ""random"": {""topology_mean_rmse"": 0.22847009255746004, ""safe_mean_rmse"": 0.17572230480148535}, ""skew_0.7_class_0"": {""topology_mean_rmse"": 0.22847009255746004, ""safe_mean_rmse"": 0.20373419014807898}, ""skew_0.7_class_1"": {""topology_mean_rmse"": 0.22847009255746004, ""safe_mean_rmse"": 0.21829631939898786}, ""skew_0.7_class_2"": {""topology_mean_rmse"": 0.22847009255746004, ""safe_mean_rmse"": 0.17771997325604477}, ""skew_0.7_class_3"": {""topology_mean_rmse"": 0.22847009255746004, ""safe_mean_rmse"": 0.187611188950434}}",True,False
cp1,1380,46,5,"[0.20286432238856142, 0.2629098067038385, 0.5789866950415364, 0.2375829544007703]",0.20286432238856142,0.2629098067038385,0.5789866950415364,0.2375829544007703,"{""balanced"": {""topology_mean_rmse"": 0.2225535205741262, ""safe_mean_rmse"": 0.16488581021501628}, ""random"": {""topology_mean_rmse"": 0.2225535205741262, ""safe_mean_rmse"": 0.17209353846774686}, ""skew_0.7_class_0"": {""topology_mean_rmse"": 0.2225535205741262, ""safe_mean_rmse"": 0.20149082084330372}, ""skew_0.7_class_1"": {""topology_mean_rmse"": 0.2225535205741262, ""safe_mean_rmse"": 0.2155075710768483}, ""skew_0.7_class_2"": {""topology_mean_rmse"": 0.2225535205741262, ""safe_mean_rmse"": 0.17226441800704687}, ""skew_0.7_class_3"": {""topology_mean_rmse"": 0.2225535205741262, ""safe_mean_rmse"": 0.1843476305461914}}",True,False
cp2,1380,46,5,"[0.21588814011703306, 0.26479606696345337, 0.5853075023750998, 0.23417098757190957]",0.21588814011703306,0.26479606696345337,0.5853075023750998,0.23417098757190957,"{""balanced"": {""topology_mean_rmse"": 0.2312701546454376, ""safe_mean_rmse"": 0.16979767431685994}, ""random"": {""topology_mean_rmse"": 0.2312701546454376, ""safe_mean_rmse"": 0.17700579529582633}, ""skew_0.7_class_0"": {""topology_mean_rmse"": 0.2312701546454376, ""safe_mean_rmse"": 0.2058017681780292}, ""skew_0.7_class_1"": {""topology_mean_rmse"": 0.2312701546454376, ""safe_mean_rmse"": 0.21878631565445647}, ""skew_0.7_class_2"": {""topology_mean_rmse"": 0.2312701546454376, ""safe_mean_rmse"": 0.177668384517104}, ""skew_0.7_class_3"": {""topology_mean_rmse"": 0.2312701546454376, ""safe_mean_rmse"": 0.18870114848088643}}",True,False
cp3,1380,46,5,"[0.20058510064011145, 0.24026561048421688, 0.56875408578877, 0.22049791278227607]",0.20058510064011145,0.24026561048421688,0.56875408578877,0.22049791278227607,"{""balanced"": {""topology_mean_rmse"": 0.215325330225841, ""safe_mean_rmse"": 0.1606317296299166}, ""random"": {""topology_mean_rmse"": 0.215325330225841, ""safe_mean_rmse"": 0.16723424588417152}, ""skew_0.7_class_0"": {""topology_mean_rmse"": 0.215325330225841, ""safe_mean_rmse"": 0.1955194447138575}, ""skew_0.7_class_1"": {""topology_mean_rmse"": 0.215325330225841, ""safe_mean_rmse"": 0.20878663128959457}, ""skew_0.7_class_2"": {""topology_mean_rmse"": 0.215325330225841, ""safe_mean_rmse"": 0.16886738304813156}, ""skew_0.7_class_3"": {""topology_mean_rmse"": 0.215325330225841, ""safe_mean_rmse"": 0.18146820410178507}}",True,False
cp4,1380,46,5,"[0.21184491495359317, 0.2661732238989175, 0.5849677157576909, 0.23605821834769458]",0.21184491495359317,0.2661732238989175,0.5849677157576909,0.23605821834769458,"{""balanced"": {""topology_mean_rmse"": 0.2283123547353488, ""safe_mean_rmse"": 0.16727410939829052}, ""random"": {""topology_mean_rmse"": 0.2283123547353488, ""safe_mean_rmse"": 0.17513234472871259}, ""skew_0.7_class_0"": {""topology_mean_rmse"": 0.2283123547353488, ""safe_mean_rmse"": 0.20588906974838775}, ""skew_0.7_class_1"": {""topology_mean_rmse"": 0.2283123547353488, ""safe_mean_rmse"": 0.21698251858509796}, ""skew_0.7_class_2"": {""topology_mean_rmse"": 0.2283123547353488, ""safe_mean_rmse"": 0.17544326388115697}, ""skew_0.7_class_3"": {""topology_mean_rmse"": 0.2283123547353488, ""safe_mean_rmse"": 0.18715142827006787}}",True,False
