condition,batch_size,repeat,stress_construction_uses_labels,target_view,montage,held_out_reference,method,target_reference_labels_used,target_unlabeled_logits_used,prior_match_weight,accuracy,balanced_accuracy,nll,ece_15,worst_class_recall,car_anchor_balanced_accuracy,target_bias_rmse,max_class_recall_gap_to_car,mean_class_recall_gap_to_car
random,16,0,False,native16@C1,native16,c1,identity,False,False,,0.3633093525179856,0.3634575569358177,2.0218426963047564,0.3717692580421825,0.0,0.3570220841959972,1.661438106302153,0.1207729468599034,0.0611973775017253
random,16,0,False,native16@C1,native16,c1,topology_ridge,False,False,,0.4028776978417266,0.4025189786059351,1.4347035470028684,0.1748996028396568,0.3333333333333333,0.4107660455486542,0.2036495493305684,0.1047619047619047,0.0658730158730158
random,16,0,False,native16@C1,native16,c1,uniform_prior_match,False,True,,0.3872901678657074,0.3864044168391994,1.501810241128125,0.1970348066685349,0.2367149758454106,0.4107660455486542,0.3774503925739371,0.0869565217391304,0.0648378191856452
random,16,0,False,native16@C1,native16,c1,fixed_topology_shrinkage,False,True,0.1953806105301884,0.4028776978417266,0.4024672187715666,1.443873904171198,0.1765924542727189,0.3381642512077294,0.4107660455486542,0.206797649562151,0.0999999999999999,0.0610248447204968
random,16,0,False,native16@C1,native16,c1,operator_confusion_shrinkage,False,True,0.1953806105301884,0.4040767386091127,0.4036576949620428,1.442261505139667,0.1759600217650195,0.3381642512077294,0.4107660455486542,0.1975632530569367,0.0952380952380952,0.0598343685300207
random,16,0,False,native16@C1,native16,c1,oracle,True,False,,0.4040767386091127,0.4038129744651484,1.4371483505597382,0.175392965653101,0.3333333333333333,0.4107660455486542,0.0,0.0571428571428571,0.0335231193926846
random,16,0,False,native16@C2,native16,c2,identity,False,False,,0.3597122302158273,0.3591269841269841,2.251375184691688,0.4177953178992725,0.0047619047619047,0.3570220841959972,1.7572014383718368,0.1497584541062801,0.0769841269841269
random,16,0,False,native16@C2,native16,c2,topology_ridge,False,False,,0.3980815347721823,0.3974982746721877,1.4984979654753978,0.2215734300903334,0.3091787439613526,0.4107660455486542,0.2303654817432168,0.0904761904761904,0.0657867494824016
random,16,0,False,native16@C2,native16,c2,uniform_prior_match,False,True,,0.3872901678657074,0.3863699102829537,1.5878920518768505,0.247387756091806,0.1980676328502415,0.4107660455486542,0.2925453031789555,0.106280193236715,0.0601104209799862
random,16,0,False,native16@C2,native16,c2,fixed_topology_shrinkage,False,True,0.1950547478737816,0.4064748201438849,0.4057453416149068,1.5071149946187905,0.218867370200815,0.2898550724637681,0.4107660455486542,0.1440199936521261,0.0809523809523808,0.0454968944099378
random,16,0,False,native16@C2,native16,c2,operator_confusion_shrinkage,False,True,0.1950547478737816,0.4064748201438849,0.4057625948930297,1.5043849286533535,0.2198104571397198,0.2898550724637681,0.4107660455486542,0.1460008400889728,0.0714285714285714,0.0407177363699102
random,16,0,False,native16@C2,native16,c2,oracle,True,False,,0.3944844124700239,0.3938923395445134,1.5226840640048251,0.2240814049204106,0.2415458937198067,0.4107660455486542,0.0,0.0628019323671497,0.0407177363699102
random,16,0,False,native16@C3,native16,c3,identity,False,False,,0.3633093525179856,0.3638888888888889,1.941292117831453,0.3522030280638731,0.0047619047619047,0.3570220841959972,1.4496417016241832,0.2285714285714285,0.1211525189786059
random,16,0,False,native16@C3,native16,c3,topology_ridge,False,False,,0.39568345323741,0.3956866804692892,1.4482699418572649,0.1687540467142729,0.3285714285714285,0.4107660455486542,0.1334383587375892,0.1714285714285714,0.0706349206349206
random,16,0,False,native16@C3,native16,c3,uniform_prior_match,False,True,,0.3657074340527578,0.3646652864044168,1.5421559440976886,0.2155676304990483,0.1835748792270531,0.4107660455486542,0.3496427482287132,0.1932367149758454,0.1103864734299517
random,16,0,False,native16@C3,native16,c3,fixed_topology_shrinkage,False,True,0.1904042617177993,0.3932853717026379,0.3931159420289855,1.449595499827591,0.1696375296004514,0.3476190476190476,0.4107660455486542,0.0498010540069156,0.1523809523809524,0.0633712905452035
random,16,0,False,native16@C3,native16,c3,operator_confusion_shrinkage,False,True,0.1904042617177993,0.3932853717026379,0.3931331953071083,1.4492220504151212,0.1736709853227439,0.3523809523809524,0.4107660455486542,0.0569729384003527,0.1476190476190476,0.0585921325051759
random,16,0,False,native16@C3,native16,c3,oracle,True,False,,0.3920863309352518,0.3917529330572808,1.4513379249790757,0.1710892949510117,0.3333333333333333,0.4107660455486542,0.0,0.1095238095238095,0.057487922705314
random,16,0,False,native16@C4,native16,c4,identity,False,False,,0.3105515587529976,0.309351276742581,2.3367061820702557,0.4939537794133162,0.0047619047619047,0.3570220841959972,1.550647926855408,0.3816425120772946,0.1431504485852311
