held_out_reference,source_view,montage,condition,batch_size,repeat,topology_bias,raw_candidate_bias,source_oracle_bias,target_reference_labels_used
c1,native16@C2,native16,random,32,0,"[-1.5299933328098678, -1.1958134143590573, 1.843399907841988]","[-1.7320022947207825, -1.6009132596481488, 2.143519829022202]","[-1.657404255371112, -1.5656350651471884, 2.0162015430277416]",False
c1,native16@C2,native16,random,32,1,"[-1.5299933328098678, -1.1958134143590573, 1.843399907841988]","[-1.8545138574109694, -1.145243331339361, 1.894509416844876]","[-1.657404255371112, -1.5656350651471884, 2.0162015430277416]",False
c1,native16@C2,native16,random,32,2,"[-1.5299933328098678, -1.1958134143590573, 1.843399907841988]","[-1.8086042644972493, -1.6522834833916829, 2.153904482429539]","[-1.657404255371112, -1.5656350651471884, 2.0162015430277416]",False
c1,native16@C2,native16,random,32,3,"[-1.5299933328098678, -1.1958134143590573, 1.843399907841988]","[-1.3648804154960157, -1.6320164886926065, 1.9021446061793057]","[-1.657404255371112, -1.5656350651471884, 2.0162015430277416]",False
c1,native16@C2,native16,random,32,4,"[-1.5299933328098678, -1.1958134143590573, 1.843399907841988]","[-1.5856751114003844, -1.883878929198661, 1.9096497681354994]","[-1.657404255371112, -1.5656350651471884, 2.0162015430277416]",False
c1,native16@C2,native16,balanced,128,0,"[-1.5299933328098678, -1.1958134143590573, 1.843399907841988]","[-1.772150854407367, -1.578749729128554, 2.137873898168852]","[-1.657404255371112, -1.5656350651471884, 2.0162015430277416]",False
c1,native16@C2,native16,balanced,128,1,"[-1.5299933328098678, -1.1958134143590573, 1.843399907841988]","[-1.6540826731639717, -1.692768173382088, 1.9537339717637054]","[-1.657404255371112, -1.5656350651471884, 2.0162015430277416]",False
c1,native16@C2,native16,balanced,128,2,"[-1.5299933328098678, -1.1958134143590573, 1.843399907841988]","[-1.6606631407397663, -1.613414728799816, 2.094641496881216]","[-1.657404255371112, -1.5656350651471884, 2.0162015430277416]",False
c1,native16@C2,native16,balanced,128,3,"[-1.5299933328098678, -1.1958134143590573, 1.843399907841988]","[-1.558143566402703, -1.626621755339321, 2.020098611060112]","[-1.657404255371112, -1.5656350651471884, 2.0162015430277416]",False
c1,native16@C2,native16,balanced,128,4,"[-1.5299933328098678, -1.1958134143590573, 1.843399907841988]","[-1.618774995729224, -1.6805830125307728, 1.9809152774387566]","[-1.657404255371112, -1.5656350651471884, 2.0162015430277416]",False
c1,native16@C2,native16,skew_0.7_class_0,128,0,"[-1.5299933328098678, -1.1958134143590573, 1.843399907841988]","[-2.2545066388662076, -1.2250535912211202, 1.9885708629051655]","[-1.657404255371112, -1.5656350651471884, 2.0162015430277416]",False
c1,native16@C2,native16,skew_0.7_class_0,128,1,"[-1.5299933328098678, -1.1958134143590573, 1.843399907841988]","[-2.2422214324238983, -0.9446549209054504, 1.9309791592862255]","[-1.657404255371112, -1.5656350651471884, 2.0162015430277416]",False
c1,native16@C2,native16,skew_0.7_class_0,128,2,"[-1.5299933328098678, -1.1958134143590573, 1.843399907841988]","[-2.2932210813357004, -1.0076026577294441, 1.9802854557738512]","[-1.657404255371112, -1.5656350651471884, 2.0162015430277416]",False
c1,native16@C2,native16,skew_0.7_class_0,128,3,"[-1.5299933328098678, -1.1958134143590573, 1.843399907841988]","[-2.22132097494775, -1.0726430226993158, 2.0092858827505076]","[-1.657404255371112, -1.5656350651471884, 2.0162015430277416]",False
c1,native16@C2,native16,skew_0.7_class_0,128,4,"[-1.5299933328098678, -1.1958134143590573, 1.843399907841988]","[-2.3999153206259223, -1.1232895937527436, 2.0185819299500998]","[-1.657404255371112, -1.5656350651471884, 2.0162015430277416]",False
c1,native16@C2,native16,skew_0.7_class_1,128,0,"[-1.5299933328098678, -1.1958134143590573, 1.843399907841988]","[-1.2439304085187521, -2.1975408729724015, 2.047864297971144]","[-1.657404255371112, -1.5656350651471884, 2.0162015430277416]",False
c1,native16@C2,native16,skew_0.7_class_1,128,1,"[-1.5299933328098678, -1.1958134143590573, 1.843399907841988]","[-1.338445650366747, -2.219015001050278, 2.1177836059790525]","[-1.657404255371112, -1.5656350651471884, 2.0162015430277416]",False
c1,native16@C2,native16,skew_0.7_class_1,128,2,"[-1.5299933328098678, -1.1958134143590573, 1.843399907841988]","[-1.2131407758675772, -2.1250291613721726, 2.1040980968661653]","[-1.657404255371112, -1.5656350651471884, 2.0162015430277416]",False
c1,native16@C2,native16,skew_0.7_class_1,128,3,"[-1.5299933328098678, -1.1958134143590573, 1.843399907841988]","[-1.166027218650181, -2.125647163419193, 1.990948303602289]","[-1.657404255371112, -1.5656350651471884, 2.0162015430277416]",False
c1,native16@C2,native16,skew_0.7_class_1,128,4,"[-1.5299933328098678, -1.1958134143590573, 1.843399907841988]","[-1.26902078576424, -2.1727763524625145, 2.029061517929124]","[-1.657404255371112, -1.5656350651471884, 2.0162015430277416]",False
c1,native16@C2,native16,skew_0.7_class_2,128,0,"[-1.5299933328098678, -1.1958134143590573, 1.843399907841988]","[-1.5958153087543767, -1.6493699634178467, 1.8447135246361337]","[-1.657404255371112, -1.5656350651471884, 2.0162015430277416]",False
c1,native16@C2,native16,skew_0.7_class_2,128,1,"[-1.5299933328098678, -1.1958134143590573, 1.843399907841988]","[-1.7397420708320075, -1.5489828362973872, 1.8293674125254393]","[-1.657404255371112, -1.5656350651471884, 2.0162015430277416]",False
c1,native16@C2,native16,skew_0.7_class_2,128,2,"[-1.5299933328098678, -1.1958134143590573, 1.843399907841988]","[-1.5354995356944063, -1.6040087162418095, 1.7889310124159254]","[-1.657404255371112, -1.5656350651471884, 2.0162015430277416]",False
c1,native16@C2,native16,skew_0.7_class_2,128,3,"[-1.5299933328098678, -1.1958134143590573, 1.843399907841988]","[-1.61474980380715, -1.4390650686111401, 1.7988592106225205]","[-1.657404255371112, -1.5656350651471884, 2.0162015430277416]",False
c1,native16@C2,native16,skew_0.7_class_2,128,4,"[-1.5299933328098678, -1.1958134143590573, 1.843399907841988]","[-1.5834923724113792, -1.6059744630431034, 1.9073942382021067]","[-1.657404255371112, -1.5656350651471884, 2.0162015430277416]",False
c1,native16@C2,native16,skew_0.7_class_3,128,0,"[-1.5299933328098678, -1.1958134143590573, 1.843399907841988]","[-1.5207228286217114, -1.3510599431189994, 2.15577687197171]","[-1.657404255371112, -1.5656350651471884, 2.0162015430277416]",False
c1,native16@C2,native16,skew_0.7_class_3,128,1,"[-1.5299933328098678, -1.1958134143590573, 1.843399907841988]","[-1.4522640073304864, -1.3794907627382433, 2.147436841732294]","[-1.657404255371112, -1.5656350651471884, 2.0162015430277416]",False
c1,native16@C2,native16,skew_0.7_class_3,128,2,"[-1.5299933328098678, -1.1958134143590573, 1.843399907841988]","[-1.435547471189658, -1.5157278391748072, 2.2411702350558125]","[-1.657404255371112, -1.5656350651471884, 2.0162015430277416]",False
c1,native16@C2,native16,skew_0.7_class_3,128,3,"[-1.5299933328098678, -1.1958134143590573, 1.843399907841988]","[-1.4475385216706658, -1.4262443899942239, 2.130018527200275]","[-1.657404255371112, -1.5656350651471884, 2.0162015430277416]",False
c1,native16@C2,native16,skew_0.7_class_3,128,4,"[-1.5299933328098678, -1.1958134143590573, 1.843399907841988]","[-1.4192329149034517, -1.5121749160112739, 2.1292509392329526]","[-1.657404255371112, -1.5656350651471884, 2.0162015430277416]",False
c1,native16@C3,native16,random,32,0,"[-0.5836387715953506, -1.8137087831526917, 1.3768736560650723]","[-0.5358236403558512, -1.8249862172072893, 1.5008227871624382]","[-0.4684273686333415, -1.9085998342845452, 1.5627557909500198]",False
c1,native16@C3,native16,random,32,1,"[-0.5836387715953506, -1.8137087831526917, 1.3768736560650723]","[-0.7360832233022688, -1.6296512667589669, 1.5526169356238222]","[-0.4684273686333415, -1.9085998342845452, 1.5627557909500198]",False
c1,native16@C3,native16,random,32,2,"[-0.5836387715953506, -1.8137087831526917, 1.3768736560650723]","[-0.5976161813830713, -2.1567392075377714, 1.6721693131505528]","[-0.4684273686333415, -1.9085998342845452, 1.5627557909500198]",False
c1,native16@C3,native16,random,32,3,"[-0.5836387715953506, -1.8137087831526917, 1.3768736560650723]","[0.0016140592620290874, -2.0588705953424373, 1.4302199606948156]","[-0.4684273686333415, -1.9085998342845452, 1.5627557909500198]",False
c1,native16@C3,native16,random,32,4,"[-0.5836387715953506, -1.8137087831526917, 1.3768736560650723]","[-0.6276089377521344, -2.023358379334987, 1.577574274402538]","[-0.4684273686333415, -1.9085998342845452, 1.5627557909500198]",False
c1,native16@C3,native16,balanced,128,0,"[-0.5836387715953506, -1.8137087831526917, 1.3768736560650723]","[-0.6116583325447891, -1.9299814577525063, 1.7222996134028135]","[-0.4684273686333415, -1.9085998342845452, 1.5627557909500198]",False
c1,native16@C3,native16,balanced,128,1,"[-0.5836387715953506, -1.8137087831526917, 1.3768736560650723]","[-0.573558571648894, -2.0229532813330366, 1.5521018031022353]","[-0.4684273686333415, -1.9085998342845452, 1.5627557909500198]",False
c1,native16@C3,native16,balanced,128,2,"[-0.5836387715953506, -1.8137087831526917, 1.3768736560650723]","[-0.5775794852354044, -1.9975480064117295, 1.6724528992287038]","[-0.4684273686333415, -1.9085998342845452, 1.5627557909500198]",False
