condition,batch_size,n_rows,n_target_views,n_repeats,mean_soft_prior_rmse,mean_weak_confusion_prior_rmse,mean_regularized_confusion_prior_rmse,mean_uniform_bias_rmse,mean_fixed_shrinkage_bias_rmse,mean_soft_mean_shrinkage_bias_rmse,mean_weak_confusion_shrinkage_bias_rmse,mean_candidate_bias_rmse
balanced,32,960,48,20,0.12804186666835796,0.13152181403268234,0.019472272094658506,0.4802409305781319,0.2457233394453489,0.2779612174673069,0.39000499059479093,0.21865693377330522
balanced,128,960,48,20,0.1284732649891004,0.12972188824589548,0.01902409049364522,0.39840715151438844,0.30356644326425053,0.3938655513493915,0.5455793763509783,0.24070063130760433
random,16,960,48,20,0.15514184558930566,0.16018321708877878,0.08656494783875689,0.5309343957352037,0.21420965424169644,0.23348901052133725,0.2842361793212808,0.20841680690225894
random,32,960,48,20,0.13965964903233294,0.1485015154250372,0.07466589001024512,0.4478933615649484,0.23639418577017723,0.28445586633331144,0.38114855296761413,0.2093060149582037
random,64,960,48,20,0.13223045434915218,0.13882610400869683,0.05421909433333151,0.4439252269219305,0.2916032723532557,0.35266872246402453,0.4754628161257714,0.2383676046814089
random,128,960,48,20,0.13442422895402378,0.13599155686183695,0.033812900105700115,0.4154196655205949,0.3158897228044097,0.3892336678941417,0.5494203095415013,0.2505878784779553
random,256,960,48,20,0.13104704283255558,0.13268219404278664,0.025104982783762865,0.43492625029946946,0.3916194095817074,0.4586794428978819,0.6271332123167378,0.2993967890218274
random,450,48,48,1,0.12899258741160627,0.13204785685223247,0.020220435567599778,0.42154196812989575,0.421094196471854,0.5009364339449723,0.6906368269138382,0.319065520868772
skew_0.4_class_0,128,960,48,20,0.14789042859324047,0.12447219220926545,0.072907850742352,0.51505550437699,0.38775444841799167,0.3975017049393514,0.5871344540382621,0.2965995807540572
skew_0.4_class_1,128,960,48,20,0.1786304223500784,0.1751230808753924,0.09373761393271614,0.3608770925899522,0.2773933739697797,0.408449257583788,0.54695344396125,0.21955356929695996
skew_0.4_class_2,128,960,48,20,0.08067949302622472,0.12311417323776783,0.08076182562969617,0.42375842787660406,0.3221096579433688,0.3878400503688387,0.5478110060110887,0.25862497624378034
skew_0.4_class_3,128,960,48,20,0.170883977145517,0.17749395870222692,0.0967413712309341,0.39841218504265286,0.3038700528800742,0.4035223146364055,0.5044839181590716,0.23891429062514727
skew_0.7_class_0,128,960,48,20,0.26344607325658775,0.2061240636435284,0.23938984674008712,0.6921187422006786,0.5177350805828314,0.3983100375737122,0.6799396895764459,0.39311472420793075
skew_0.7_class_1,128,960,48,20,0.3183011820681317,0.29879311865411284,0.26002787596073473,0.2386609529430089,0.1942013346587101,0.4143231531042078,0.5110903655889805,0.17019008934422702
skew_0.7_class_2,128,960,48,20,0.15861740972030328,0.22901574356599033,0.2504673485437521,0.5003995218846643,0.3774379801448308,0.3573742326572561,0.606858734175463,0.3105484770566687
skew_0.7_class_3,128,960,48,20,0.3129983511894436,0.3273071249052814,0.2662793126566561,0.4029166681616149,0.30612815725010095,0.40489614877923347,0.45923324129664395,0.24498031483068952
