method,run_dir,probe,set_queries,test_view,reference_view,montage,n_observed_channels,balanced_accuracy,balanced_accuracy_gap_from_full_car,macro_f1,macro_auroc_ovr,paired_cosine_to_full_car,linear_cka_to_full_car,n_predicted_classes,prediction_entropy_normalized,largest_predicted_class_fraction
full_car_probe,outputs/reve_set_native_q4_none_s7,reve_set,4,car,car,full,64,0.611212242089543,0.0,0.6123183203820777,0.8383253221316116,1.0,1.0,4,0.9957218826877624,0.2839711591791459
full_car_probe,outputs/reve_set_native_q4_none_s7,reve_set,4,native32@car,car,sparse32,32,0.490037479359131,0.12117476273041194,0.4624451748309892,0.7642122888418696,0.951944350143667,0.78698250301658,4,0.9055627979431221,0.3954520244037715
full_car_probe,outputs/reve_set_native_q4_none_s7,reve_set,4,native16@car,car,sparse16,16,0.3844315716621913,0.22678067042735167,0.2580382788343641,0.705115326766949,0.8725916136629781,0.5448728190461871,4,0.5159429510665364,0.5013865779256794
full_car_probe,outputs/reve_set_native_q4_none_s7,reve_set,4,native8@car,car,sparse8,8,0.3799328276191198,0.23127941447042316,0.2569992166521939,0.6926874707408917,0.8606462078205825,0.3928652983754936,3,0.5130547988512294,0.5579589572933998
full_car_probe,outputs/reve_set_native_q4_none_s7,reve_set,4,native32@cz,cz,sparse32,32,0.4871224268729844,0.12408981521655854,0.4630801931694314,0.7478008850712968,0.945782212659402,0.639329312459835,4,0.9273129320399074,0.3777038269550749
full_car_probe,outputs/reve_set_native_q4_none_s7,reve_set,4,native16@cz,cz,sparse16,16,0.3849588437724495,0.22625339831709346,0.2635836786959452,0.6980707914333021,0.8682024500090599,0.4609478482664449,4,0.5496687851472466,0.511924570160843
full_car_probe,outputs/reve_set_native_q4_none_s7,reve_set,4,native8@cz,cz,sparse8,8,0.3803839049836095,0.23082833710593342,0.2741021399773701,0.6931146783429574,0.8678468755662694,0.3219917360191726,3,0.5654089124380286,0.5723793677204659
full_car_probe,outputs/reve_set_native_q4_none_s7,reve_set,4,native_drop_left_motor@cz,cz,drop_left_motor,55,0.5588287900628665,0.05238345202667649,0.5579929031606587,0.8065585864019513,0.9754312016684886,0.7351314407061313,4,0.9647954162592581,0.35108153078202997
full_car_probe,outputs/reve_set_native_q4_none_s7,reve_set,4,native_drop_right_motor@cz,cz,drop_right_motor,55,0.5564296002610007,0.0547826418285422,0.5550640565839982,0.8087947426582643,0.9710214088919402,0.7405235206355223,4,0.912474367094431,0.461453133666112
car_canonicalize,outputs/reve_set_native_q4_car_canonicalize_s7,reve_set,4,car,car,full,64,0.5889428712773992,0.0,0.5880376542410997,0.8287098115410388,1.0,1.0,4,0.9945536852427175,0.2889628397115918
car_canonicalize,outputs/reve_set_native_q4_car_canonicalize_s7,reve_set,4,native32@car,car,sparse32,32,0.4739118044536823,0.11503106682371689,0.4297359445941822,0.7591476674438541,0.9519443468324694,0.786981710438142,4,0.8422707289505676,0.4442595673876872
car_canonicalize,outputs/reve_set_native_q4_car_canonicalize_s7,reve_set,4,native16@car,car,sparse16,16,0.3767895586152133,0.2121533126621859,0.2559743906043757,0.6920230648310991,0.8725915987221793,0.5448724362334737,3,0.4750828230972302,0.6577925679423183
car_canonicalize,outputs/reve_set_native_q4_car_canonicalize_s7,reve_set,4,native8@car,car,sparse8,8,0.3640104613603575,0.22493240991704172,0.2447879771969087,0.6796311151894264,0.8606461912300111,0.392865112349066,3,0.4769799024017699,0.63948973932335
car_canonicalize,outputs/reve_set_native_q4_car_canonicalize_s7,reve_set,4,native32@cz,cz,sparse32,32,0.4739118044536823,0.11503106682371689,0.4297359445941822,0.7591497138570158,0.951944345259585,0.7869820185734676,4,0.8422707289505676,0.4442595673876872
car_canonicalize,outputs/reve_set_native_q4_car_canonicalize_s7,reve_set,4,native16@cz,cz,sparse16,16,0.3767895586152133,0.2121533126621859,0.2559743906043757,0.692023476659244,0.8725915984124991,0.5448729803644827,3,0.4750828230972302,0.6577925679423183
car_canonicalize,outputs/reve_set_native_q4_car_canonicalize_s7,reve_set,4,native8@cz,cz,sparse8,8,0.3640104613603575,0.22493240991704172,0.2447879771969087,0.679631103657835,0.8606462214545865,0.3928656909496551,3,0.4769799024017699,0.63948973932335
car_canonicalize,outputs/reve_set_native_q4_car_canonicalize_s7,reve_set,4,native_drop_left_motor@cz,cz,drop_left_motor,55,0.5754393155534837,0.013503555723915484,0.5691247337741219,0.8194276181130454,0.9915637827174092,0.9536184734625728,4,0.9836075019779196,0.2895174708818636
car_canonicalize,outputs/reve_set_native_q4_car_canonicalize_s7,reve_set,4,native_drop_right_motor@cz,cz,drop_right_motor,55,0.5526627836507344,0.03628008762666479,0.5488603002420508,0.8117907658699739,0.9888608695518136,0.9580783771778916,4,0.936731615310028,0.3732667775929007
