condition,batch_size,n_rows,n_target_views,n_repeats,mean_soft_prior_rmse,mean_weak_confusion_prior_rmse,mean_regularized_confusion_prior_rmse,mean_uniform_bias_rmse,mean_fixed_shrinkage_bias_rmse,mean_soft_mean_shrinkage_bias_rmse,mean_weak_confusion_shrinkage_bias_rmse,mean_candidate_bias_rmse
balanced,32,960,48,20,0.11720458393537263,0.1148718827471578,0.016187789555997055,0.3310508643096445,0.18481969817863456,0.2592630286292531,0.29437015333912364,0.181597136112604
balanced,128,960,48,20,0.11729036275923962,0.11149613798753065,0.015390285516172494,0.19189476763040314,0.14390317587532636,0.3182381479262813,0.3435710092823195,0.1391039574476238
random,16,960,48,20,0.14490613497591692,0.14641069417171615,0.08521226992513763,0.44253130724397594,0.20087775663975094,0.22813986415215298,0.24867745036126274,0.2008950067848441
random,32,960,48,20,0.13036764928145275,0.13371981785770373,0.0740533648369758,0.2793330020072709,0.17706058172099207,0.26325458595536627,0.28950834460875957,0.17527854956891858
random,64,960,48,20,0.12169234895792028,0.12111061087251034,0.05303774133715597,0.25736574018093566,0.16813851581284314,0.2843442806472079,0.30495019725130884,0.16380425672491214
random,128,960,48,20,0.12284432344166475,0.1171688964417224,0.03102929683821632,0.21353426033237616,0.15307832235766528,0.31451129563353614,0.3466450660451839,0.1446522049711186
random,256,960,48,20,0.11992709112438994,0.11357374000522662,0.022317446503977403,0.21655430349896657,0.15237234500503583,0.32528724061451364,0.3456271535866185,0.13978335446410187
random,450,48,48,1,0.11756128289753238,0.11286032984544696,0.01624595621440387,0.19967159942750967,0.1453372940667166,0.33504642551112784,0.35663923737748376,0.13206812067944876
skew_0.4_class_0,128,960,48,20,0.14741024739889802,0.12048615164417577,0.07771762444583619,0.3024626259060278,0.18709858194490397,0.32112623238975446,0.3580332957969007,0.16297293810343438
skew_0.4_class_1,128,960,48,20,0.1628390181503167,0.14986118722592082,0.08897739170387022,0.16688523505652622,0.13598216991451426,0.3256376515463624,0.3469968904181956,0.13543568013118967
skew_0.4_class_2,128,960,48,20,0.06943690336236055,0.10577967617060294,0.08041979230970674,0.2181219274509799,0.1547923414447183,0.31390809194475566,0.3446945395992686,0.1466863423053326
skew_0.4_class_3,128,960,48,20,0.15763331436472208,0.15841730794877482,0.09468867682327059,0.19414020201270873,0.14540980315147994,0.3242313961910163,0.3300574797404435,0.1401385472095941
skew_0.7_class_0,128,960,48,20,0.274018888805957,0.22267485806909357,0.244449482050248,0.4838647499484456,0.2681352893623379,0.3234222595930498,0.3805220995097916,0.2159591383419893
skew_0.7_class_1,128,960,48,20,0.2998984496827756,0.2717428916237091,0.2553140649237764,0.18902626099741995,0.14516474221940126,0.32792900158355154,0.3376753455849141,0.14822152910303332
skew_0.7_class_2,128,960,48,20,0.1588377499741989,0.22113071397998824,0.2506092925891256,0.29412281855257155,0.1844833121724253,0.2945676025559865,0.35840570288051066,0.16966332064030692
skew_0.7_class_3,128,960,48,20,0.3002161469219847,0.3107384423792205,0.2644596154714577,0.1981732928376312,0.14458062818614095,0.32541438778746085,0.31581496310895324,0.14204317721350257
