condition,batch_size,repeat,target_view,montage,held_out_reference,stress_construction_uses_labels,true_batch_prior_audit_only,soft_mean_prior,weak_confusion_prior,regularized_confusion_prior,soft_mean_prior_rmse,weak_confusion_prior_rmse,regularized_confusion_prior_rmse,uniform_bias_rmse,fixed_shrinkage_bias_rmse,soft_mean_shrinkage_bias_rmse,weak_confusion_shrinkage_bias_rmse,candidate_bias_rmse,prior_match_weight,candidate_bias,target_reference_labels_used_for_candidate
random,16,0,native16@C1,native16,c1,False,"[0.25, 0.25, 0.125, 0.375]","[0.10004600399986618, 0.24846311359450596, 0.2785845976549193, 0.3729062847507086]","[0.08493841683381775, 0.30107953971546525, 0.2380271228475423, 0.37595492060317476]","[0.22641091495240695, 0.2610269407866543, 0.24823294737444362, 0.2643291968864951]",0.10733263159053738,0.10323575929325807,0.08383380036846044,0.5014301911196508,0.12115499674466604,0.024627418356423313,0.03021928772381101,0.10898051918035209,0.16154986172565025,"[-1.1344535105880351, -1.6194326477163095, 1.6544451156946425]",False
random,16,0,native16@C2,native16,c2,False,"[0.25, 0.25, 0.125, 0.375]","[0.12538143889126077, 0.2592628063630199, 0.2623262506588833, 0.353029504086836]","[0.10576783511794458, 0.3032330775525976, 0.23821678752526776, 0.35278229980419007]","[0.22918280886922826, 0.26078682816199694, 0.24831481503545033, 0.2617155479333245]",0.09348367125496862,0.09610976161636473,0.08454232933218388,0.4900422311010018,0.17116786367157133,0.10930336799557501,0.1216081607231264,0.1627814394753065,0.16030681638402797,"[-1.733996315670245, -1.140230061863777, 1.8766325509549664]",False
random,16,0,native16@C3,native16,c3,False,"[0.25, 0.25, 0.125, 0.375]","[0.07404695930415274, 0.23639980606446842, 0.23342266112799845, 0.4561305735033805]","[0.03757763740965469, 0.282790571255917, 0.2260658339634683, 0.45356595737095995]","[0.22032924108540594, 0.25977186514643047, 0.24689221399504477, 0.27300667977311877]",0.11122284073905724,0.1250853649953706,0.08098795047185246,0.37456925949581377,0.18373178523377018,0.2698062908293372,0.3265836074480996,0.19639697120003047,0.1483631807837351,"[-0.7312184521530479, -1.6843256691680963, 1.4015175744011212]",False
random,16,0,native16@C4,native16,c4,False,"[0.25, 0.25, 0.125, 0.375]","[0.16525367104212882, 0.1669175931650638, 0.29611726693876017, 0.37171146885404704]","[0.19706795088832782, 0.18227933447553243, 0.24683517413757644, 0.3738175404985633]","[0.24435045627330323, 0.24226847258089484, 0.2495747510908436, 0.26380632005495824]",0.10413520067562455,0.07455383663810233,0.08362804094563356,0.28931130188537757,0.30691307965304043,0.3319962273012836,0.32614777383770166,0.30877429223953445,0.14803444170406224,"[-1.924777993165566, -0.7356333697882972, 1.8277805420585491]",False
random,16,0,native16@CP1,native16,cp1,False,"[0.25, 0.25, 0.125, 0.375]","[0.08764688154686166, 0.31597600850627544, 0.2658543935411799, 0.33052271640568287]","[0.043792577080976614, 0.3873325346923687, 0.23597255160610345, 0.3329023366205513]","[0.21886761612387134, 0.27362663461042236, 0.24782256318945836, 0.25968318607624796]",0.11459663793678873,0.13735796921175916,0.08647368500124589,0.607525150129217,0.11046861523399039,0.2122259698777068,0.27323814741168806,0.12303885661409843,0.15939353730179007,"[-0.9899728481944134, -1.5154803228584575, 1.6429524052721272]",False
random,16,0,native16@CP2,native16,cp2,False,"[0.25, 0.25, 0.125, 0.375]","[0.11349075752371263, 0.25141635602201856, 0.300573053417405, 0.3345198330368638]","[0.1098493167205527, 0.3060459354193582, 0.24386463396729458, 0.3402401138927945]","[0.22971217313137712, 0.26106336819096637, 0.24889628532074332, 0.26032817335691316]",0.11302800576572301,0.09762224617254465,0.08519670089962594,0.5106247850132463,0.10604093213974432,0.07213612665552768,0.04743572316834889,0.09576034844156052,0.16196655427007284,"[-1.4682517105276127, -1.002445955463436, 1.8346235485369822]",False
random,16,0,native16@CP3,native16,cp3,False,"[0.25, 0.25, 0.125, 0.375]","[0.08930821589817589, 0.3338202296300877, 0.2719817939525744, 0.3048897605191621]","[0.042999367598410665, 0.41091875658017657, 0.23781312593295476, 0.308268749888458]","[0.21823783774441685, 0.27680797833349, 0.24798575384010457, 0.25696843008198855]",0.12182648912146052,0.14656395289956353,0.08772748970306868,0.5611371153271532,0.10844061473047453,0.2270395912440211,0.2923382326077849,0.12579117848630597,0.1544267462984234,"[-0.5998639925200259, -1.650501360445463, 1.3727486904345974]",False
random,16,0,native16@CP4,native16,cp4,False,"[0.25, 0.25, 0.125, 0.375]","[0.12995486288146296, 0.2168737871011696, 0.2951573238545318, 0.35801402616283556]","[0.13822503578065476, 0.25600388615702013, 0.24384348206761028, 0.3619275959947148]","[0.23468949494243782, 0.2536382748278108, 0.24902563044998402, 0.2626465997797673]",0.10577123793281405,0.0818907049848366,0.08404357821749991,0.4712200673635455,0.1759321547576661,0.1419220632147505,0.12288831764885762,0.16856016651760938,0.16151867773551282,"[-1.6404914237070924, -0.5805893367341372, 1.853882304133372]",False
random,16,0,native16@CPz,native16,cpz,False,"[0.25, 0.25, 0.125, 0.375]","[0.09503252368359376, 0.2534496491429172, 0.27923878862658413, 0.372279038546905]","[0.07755885088629022, 0.3090675081616041, 0.23769535258586838, 0.37567828836623723]","[0.22522820555433634, 0.2622843279395298, 0.24816956791308065, 0.2643178985930532]",0.10934329694054236,0.10715132173431043,0.08394316015128446,0.6537566898925078,0.1861586204227773,0.12263296666707332,0.09161918222737471,0.17315904721554376,0.1611558651196148,"[-1.2095817744776893, -1.241755926468657, 1.7391871759664945]",False
random,16,0,native16@Cz,native16,cz,False,"[0.25, 0.25, 0.125, 0.375]","[0.09449779441530483, 0.2886768665530585, 0.2858644906606572, 0.33096084837097933]","[0.06899659340992392, 0.3554674171186559, 0.23984109737607887, 0.33569489209534137]","[0.22303086810163955, 0.2687197018254389, 0.2483196980934849, 0.2599297319794367]",0.11564349006730172,0.12105678257003183,0.08591663958741787,0.5484451757425091,0.09449809343712207,0.09616529166657614,0.13366009799071982,0.09300250911149878,0.15942632025397288,"[-1.4733516887059188, -1.3397253647656777, 1.7942060129684827]",False
random,16,0,native16@FC1,native16,fc1,False,"[0.25, 0.25, 0.125, 0.375]","[0.09317646347490008, 0.21559307719728493, 0.2813670446883925, 0.4098634146394224]","[0.08771404568750474, 0.2621553625625241, 0.23685875383375016, 0.41327183791622096]","[0.22766224927999534, 0.25574064555283116, 0.24815723779814275, 0.26843986736903075]",0.1134058731833292,0.10057534264528845,0.0822415606718865,0.4274439351664755,0.05135340019510951,0.0980535530257396,0.08832445896955238,0.046293257397065975,0.16088163204494446,"[-1.2605762553622668, -1.6270853330540835, 1.814388163211692]",False
random,16,0,native16@FC2,native16,fc2,False,"[0.25, 0.25, 0.125, 0.375]","[0.15378983434242716, 0.20845698158442702, 0.2865008104517871, 0.35125237362135875]","[0.16629725786797092, 0.23607684691114436, 0.24478068136308165, 0.35284521385780304]","[0.23894866818750762, 0.25025632528640795, 0.24922476863821338, 0.26157023788787104]",0.0969905664100095,0.07422642623952612,0.08429160947792204,0.4336961100728987,0.3829134898405275,0.33549360842557696,0.34605230384496766,0.37847119992960554,0.15182874957601455,"[-1.9609828117744907, -1.17438603897618, 2.0179596018499737]",False
random,16,0,native16@FC3,native16,fc3,False,"[0.25, 0.25, 0.125, 0.375]","[0.07905961177122793, 0.19398895281986756, 0.28515397373169626, 0.4417974616772081]","[0.07861189105028567, 0.2399352348629752, 0.23533148912263496, 0.44612138496410425]","[0.22692384233385596, 0.2529937120282698, 0.24799388022660687, 0.27208856541126736]",0.12496904609001111,0.10805840119797842,0.08102426998537053,0.2534821463526338,0.40503948519777627,0.510528504683452,0.49626980479126986,0.4131461006942254,0.14938372871777056,"[-0.798925972788661, -1.7459371674876256, 1.5815933372260467]",False
random,16,0,native16@FC4,native16,fc4,False,"[0.25, 0.25, 0.125, 0.375]","[0.11228737362608524, 0.1675220337854274, 0.2636623929775943, 0.45652819961089297]","[0.11822651539297677, 0.191220887823942, 0.23445138297503434, 0.45610121380804697]","[0.23338608539251574, 0.24546070746539558, 0.2480700218118194, 0.2730831853302693]",0.11362381895069364,0.0992172457161168,0.08035840764426182,0.3007693620065131,0.18491749739274368,0.21848601906948908,0.20038559460661476,0.18372684807974288,0.16119190365796204,"[-2.1896395608400323, -0.7155468076761181, 1.9588703275059143]",False
random,16,0,native16@Fz,native16,fz,False,"[0.25, 0.25, 0.125, 0.375]","[0.08600044577451299, 0.1857192046510584, 0.2860275347899092, 0.4422528147845194]","[0.09000046799470254, 0.22757159535418334, 0.23609167330438227, 0.44633626334673193]","[0.22875168168638538, 0.2510485405421126, 0.24811682513006755, 0.2720829526414345]",0.1239764922211135,0.10432294321326516,0.08093556346801137,0.37705809868263623,0.2449348525603766,0.32279724600337956,0.29822491594814826,0.2482833895893674,0.15927167821380847,"[-1.8590130554248518, -1.3665506088635238, 2.1040033969225966]",False
