condition,batch_size,repeat,stress_construction_uses_labels,target_view,montage,held_out_reference,method,target_reference_labels_used,target_unlabeled_logits_used,prior_match_weight,accuracy,balanced_accuracy,nll,ece_15,worst_class_recall,car_anchor_balanced_accuracy,target_bias_rmse,max_class_recall_gap_to_car,mean_class_recall_gap_to_car
random,16,0,False,native16@C1,native16,c1,identity,False,False,,0.36330935251798563,0.36345755693581777,2.0218426963047564,0.3717692580421825,0.0,0.35702208419599724,1.5494716916188656,0.12077294685990347,0.061197377501725346
random,16,0,False,native16@C1,native16,c1,topology_ridge,False,False,,0.4244604316546763,0.42453416149068324,1.41745753536659,0.16541533843303832,0.3904761904761905,0.4229296066252588,0.1070631946457317,0.1159420289855072,0.05636645962732918
random,16,0,False,native16@C1,native16,c1,uniform_prior_match,False,True,,0.3872901678657074,0.38640441683919946,1.501810241128125,0.19703480666853498,0.23671497584541062,0.4229296066252588,0.5014301911196508,0.12077294685990336,0.08176328502415459
random,16,0,False,native16@C1,native16,c1,fixed_topology_shrinkage,False,True,0.16154986172565025,0.41007194244604317,0.4099206349206349,1.422997098132602,0.16673397957609526,0.37681159420289856,0.4229296066252588,0.12115499674466604,0.0761904761904762,0.04199447895100068
random,16,0,False,native16@C1,native16,c1,operator_confusion_shrinkage,False,True,0.16154986172565025,0.4172661870503597,0.41716701173222914,1.4220220792189984,0.15952371048333783,0.3864734299516908,0.4229296066252588,0.10898051918035209,0.07729468599033812,0.04440993788819873
random,16,0,False,native16@C1,native16,c1,oracle,True,False,,0.42326139088729015,0.4232746721877157,1.4221209784130788,0.16201554421538641,0.40096618357487923,0.4229296066252588,0.0,0.0579710144927536,0.04796411318150448
random,16,0,False,native16@C2,native16,c2,identity,False,False,,0.3597122302158273,0.35912698412698413,2.251375184691688,0.41779531789927254,0.004761904761904762,0.35702208419599724,1.7619179183224116,0.14975845410628014,0.07698412698412697
random,16,0,False,native16@C2,native16,c2,topology_ridge,False,False,,0.4040767386091127,0.40374396135265694,1.4737315687674122,0.2109280968424171,0.3333333333333333,0.4229296066252588,0.22353178945146793,0.09999999999999998,0.06946169772256726
random,16,0,False,native16@C2,native16,c2,uniform_prior_match,False,True,,0.3872901678657074,0.38636991028295375,1.5878920518768505,0.24738775609180605,0.19806763285024154,0.4229296066252588,0.4900422311010018,0.1449275362318841,0.08179779158040028
random,16,0,False,native16@C2,native16,c2,fixed_topology_shrinkage,False,True,0.16030681638402797,0.407673860911271,0.40717736369910285,1.4811295735194625,0.20792085295192378,0.3333333333333333,0.4229296066252588,0.17116786367157133,0.07729468599033817,0.04908557625948931
random,16,0,False,native16@C2,native16,c2,operator_confusion_shrinkage,False,True,0.16030681638402797,0.41007194244604317,0.4096273291925466,1.4786668600228958,0.20500544321130817,0.34782608695652173,0.4229296066252588,0.1627814394753065,0.06280193236714976,0.04428916494133883
random,16,0,False,native16@C2,native16,c2,oracle,True,False,,0.39928057553956836,0.39906832298136646,1.480158099315498,0.22280211604986247,0.2898550724637681,0.4229296066252588,0.0,0.0531400966183575,0.04318495514147688
random,16,0,False,native16@C3,native16,c3,identity,False,False,,0.36330935251798563,0.3638888888888889,1.941292117831453,0.3522030280638731,0.004761904761904762,0.35702208419599724,1.4105002707431944,0.22857142857142854,0.12115251897860593
random,16,0,False,native16@C3,native16,c3,topology_ridge,False,False,,0.3920863309352518,0.3924085576259489,1.448007548771049,0.17647199544669023,0.2761904761904762,0.4229296066252588,0.2799673471434752,0.2095238095238095,0.09090752242926155
random,16,0,False,native16@C3,native16,c3,uniform_prior_match,False,True,,0.3657074340527578,0.3646652864044168,1.5421559440976886,0.2155676304990483,0.18357487922705315,0.4229296066252588,0.37456925949581377,0.22705314009661834,0.12731193926846102
random,16,0,False,native16@C3,native16,c3,fixed_topology_shrinkage,False,True,0.1483631807837351,0.39688249400479614,0.39696342305037957,1.441130689376142,0.1711705308016658,0.319047619047619,0.4229296066252588,0.18373178523377018,0.16666666666666669,0.06219806763285024
random,16,0,False,native16@C3,native16,c3,operator_confusion_shrinkage,False,True,0.1483631807837351,0.3932853717026379,0.393391994478951,1.4418208373155053,0.17157000498973193,0.30952380952380953,0.4229296066252588,0.19639697120003047,0.17619047619047618,0.06335403726708072
