held_out_reference,batch_size,prior_match_mse_from_source_subjects,nested_topology_mse,prior_match_weight,topology_weight,n_source_views,n_random_source_resamples,target_reference_labels_used
c1,16,0.352085746687733,0.06783874329133219,0.16154986172565025,0.8384501382743498,46,20,False
c1,32,0.13742275554798214,0.06783874329133219,0.330499112960481,0.6695008870395189,46,20,False
c1,64,0.09948030091515118,0.06783874329133219,0.4054454387607812,0.5945545612392188,46,20,False
c1,128,0.06368234815484337,0.06783874329133219,0.5158012494071713,0.4841987505928287,46,20,False
c1,256,0.058381863738172134,0.06783874329133219,0.5374617100001329,0.4625382899998671,46,20,False
c1,450,0.052127911093826584,0.06783874329133219,0.5654799964124415,0.4345200035875585,46,1,False
c2,16,0.35015637956180595,0.06684876754910306,0.16030681638402797,0.839693183615972,46,20,False
c2,32,0.13568566489227823,0.06684876754910306,0.33006124807173626,0.6699387519282638,46,20,False
c2,64,0.09801962412232368,0.06684876754910306,0.40546745723297173,0.5945325427670283,46,20,False
c2,128,0.06250594435529606,0.06684876754910306,0.5167864901474042,0.4832135098525958,46,20,False
c2,256,0.05695492488870322,0.06684876754910306,0.5399577850449415,0.4600422149550585,46,20,False
c2,450,0.05065421785141419,0.06684876754910306,0.5689112265636852,0.4310887734363148,46,1,False
c3,16,0.35707994077197425,0.06220669963019143,0.1483631807837351,0.8516368192162649,46,20,False
c3,32,0.13843509893052644,0.06220669963019143,0.310038586557858,0.689961413442142,46,20,False
c3,64,0.10090778653612044,0.06220669963019143,0.38136833271059295,0.618631667289407,46,20,False
c3,128,0.06459075013848538,0.06220669963019143,0.4905989808444757,0.5094010191555243,46,20,False
c3,256,0.05955520943772416,0.06220669963019143,0.5108880117467127,0.4891119882532873,46,20,False
c3,450,0.05326640777612818,0.06220669963019143,0.538711575599177,0.46128842440082296,46,1,False
c4,16,0.3506990220186174,0.06093618858786465,0.14803444170406224,0.8519655582959378,46,20,False
c4,32,0.13707798132022583,0.06093618858786465,0.3077365049993572,0.6922634950006428,46,20,False
