condition,batch_size,method,n_rows,n_target_views,n_repeats,mean_target_bias_rmse,p90_target_bias_rmse,worst_target_bias_rmse,mean_balanced_accuracy,worst_balanced_accuracy,mean_max_class_recall_gap,worst_class_recall_gap,mean_class_recall_gap,mean_nll,mean_ece_15
balanced,32,identity,48,48,1,1.3092777647878242,1.645791438748595,2.089566859974682,0.4197665056360709,0.30935127674258106,0.22961668967103746,0.4782608695652174,0.11243889463998159,1.7121568284914404,0.2956377650059144
balanced,32,oracle,48,48,1,0.0,0.0,0.0,0.46317251840349666,0.3729641131815045,0.07132505175983436,0.19047619047619047,0.03776634748102139,1.4133290414216824,0.19623036249433187
balanced,32,prior_match,960,48,20,0.31159162527927275,0.5513839166865969,0.9258975580864496,0.45941633597883597,0.3631469979296066,0.12658866747181965,0.32857142857142857,0.07063531602254429,1.4415938108798882,0.20207951951049455
balanced,32,topology_ridge,48,48,1,0.22257884504599754,0.36894403686722016,0.57945000043967,0.4611549631930067,0.3711870255348516,0.10729957441913963,0.2857142857142857,0.056694271911663215,1.4303348885601472,0.20185391974516456
balanced,32,topology_shrinkage,960,48,20,0.18447521239571887,0.31803978044598946,0.5764549228604235,0.4621893511329652,0.36402691511387164,0.0960635208189556,0.2571428571428571,0.05154713379917184,1.4234962802293432,0.19853682088998914
balanced,128,identity,48,48,1,1.3092777647878242,1.645791438748595,2.089566859974682,0.4197665056360709,0.30935127674258106,0.22961668967103746,0.4782608695652174,0.11243889463998159,1.7121568284914404,0.2956377650059144
balanced,128,oracle,48,48,1,0.0,0.0,0.0,0.46317251840349666,0.3729641131815045,0.07132505175983436,0.19047619047619047,0.03776634748102139,1.4133290414216824,0.19623036249433187
balanced,128,prior_match,960,48,20,0.11610430483177485,0.20865418719612028,0.32964347135242733,0.461632717247527,0.3657177363699103,0.07937514377731768,0.27142857142857146,0.042266883051529786,1.4178424014685835,0.19799464307673892
balanced,128,topology_ridge,48,48,1,0.22257884504599754,0.36894403686722016,0.57945000043967,0.4611549631930067,0.3711870255348516,0.10729957441913963,0.2857142857142857,0.056694271911663215,1.4303348885601472,0.20185391974516456
balanced,128,topology_shrinkage,960,48,20,0.10571917319071193,0.18570798961547832,0.3094731442928601,0.4622954228490913,0.36890959282263625,0.07802931619507707,0.24285714285714285,0.04102338897515527,1.416993657600498,0.19749895897727746
random,16,identity,48,48,1,1.3092777647878242,1.645791438748595,2.089566859974682,0.4197665056360709,0.30935127674258106,0.22961668967103746,0.4782608695652174,0.11243889463998159,1.7121568284914404,0.2956377650059144
random,16,oracle,48,48,1,0.0,0.0,0.0,0.46317251840349666,0.3729641131815045,0.07132505175983436,0.19047619047619047,0.03776634748102139,1.4133290414216824,0.19623036249433187
random,16,prior_match,960,48,20,0.44787114195665556,0.8267066600465603,1.1546796355557962,0.4546440972222222,0.3409247757073844,0.1520543622038187,0.4541062801932367,0.08167746793765815,1.4633332440512705,0.20869038414074395
random,16,topology_ridge,48,48,1,0.22257884504599754,0.36894403686722016,0.57945000043967,0.4611549631930067,0.3711870255348516,0.10729957441913963,0.2857142857142857,0.056694271911663215,1.4303348885601472,0.20185391974516456
random,16,topology_shrinkage,960,48,20,0.20200414265071534,0.349989394904099,0.6119930303882596,0.46124198441453873,0.37449965493443754,0.09963890326662066,0.26666666666666666,0.05326252300437083,1.4260146937324734,0.2003096322146777
random,32,identity,48,48,1,1.3092777647878242,1.645791438748595,2.089566859974682,0.4197665056360709,0.30935127674258106,0.22961668967103746,0.4782608695652174,0.11243889463998159,1.7121568284914404,0.2956377650059144
random,32,oracle,48,48,1,0.0,0.0,0.0,0.46317251840349666,0.3729641131815045,0.07132505175983436,0.19047619047619047,0.03776634748102139,1.4133290414216824,0.19623036249433187
random,32,prior_match,960,48,20,0.2967120354404714,0.502475262646944,0.9738241269623293,0.46021888299401886,0.3508281573498965,0.11679261559696343,0.32857142857142857,0.06436247340119622,1.4355702468956204,0.2004639362753445
random,32,topology_ridge,48,48,1,0.22257884504599754,0.36894403686722016,0.57945000043967,0.4611549631930067,0.3711870255348516,0.10729957441913963,0.2857142857142857,0.056694271911663215,1.4303348885601472,0.20185391974516456
random,32,topology_shrinkage,960,48,20,0.183859398175301,0.31456138579961135,0.5503089395181416,0.46238903985507246,0.3687715665976536,0.09407500862663906,0.2523809523809524,0.05035182309638831,1.4229224502681423,0.1984540837470162
random,64,identity,48,48,1,1.3092777647878242,1.645791438748595,2.089566859974682,0.4197665056360709,0.30935127674258106,0.22961668967103746,0.4782608695652174,0.11243889463998159,1.7121568284914404,0.2956377650059144
random,64,oracle,48,48,1,0.0,0.0,0.0,0.46317251840349666,0.3729641131815045,0.07132505175983436,0.19047619047619047,0.03776634748102139,1.4133290414216824,0.19623036249433187
random,64,prior_match,960,48,20,0.22062498892541108,0.37504050724379995,0.6305720239426893,0.46044606912813435,0.36204278812974466,0.10083369277662756,0.3,0.0534094993673798,1.427354373467481,0.19998844131362267
random,64,topology_ridge,48,48,1,0.22257884504599754,0.36894403686722016,0.57945000043967,0.4611549631930067,0.3711870255348516,0.10729957441913963,0.2857142857142857,0.056694271911663215,1.4303348885601472,0.20185391974516456
random,64,topology_shrinkage,960,48,20,0.15866084323023472,0.27017484615830667,0.45416927367066134,0.46209541062801934,0.36889233954451345,0.08833045778697952,0.26190476190476186,0.046955874741200825,1.4211060736287968,0.1984930125373578
random,128,identity,48,48,1,1.3092777647878242,1.645791438748595,2.089566859974682,0.4197665056360709,0.30935127674258106,0.22961668967103746,0.4782608695652174,0.11243889463998159,1.7121568284914404,0.2956377650059144
random,128,oracle,48,48,1,0.0,0.0,0.0,0.46317251840349666,0.3729641131815045,0.07132505175983436,0.19047619047619047,0.03776634748102139,1.4133290414216824,0.19623036249433187
random,128,prior_match,960,48,20,0.1341859529908533,0.24587000236564155,0.4558925899354123,0.46233057640326664,0.3669254658385093,0.08475040257648953,0.26190476190476186,0.04460193452380952,1.4145861949132237,0.19618193034418377
