view,montage,reference,oracle_bias,known_uniform_prior_bias,empirical_prior_bias,known_prior_rmse_to_oracle,empirical_prior_rmse_to_oracle
native16@C1,native16,c1,"[-1.3155360377288208, -1.6018200770701398, 1.7047360333836008]","[-1.3155462862663785, -1.6013893632100389, 1.710264300634521]","[-1.3155350675482065, -1.6018180628184953, 1.7047352991336544]",0.003201424592240283,1.3586246839923722e-06
native16@C2,native16,c2,"[-1.9815356991836393, -1.2495263153035185, 1.955828344446812]","[-1.9814392417871547, -1.249281220939941, 1.9613619764909946]","[-1.9815345552086747, -1.2495229522087792, 1.9558263603450246]",0.0031984610297661406,2.349166153389744e-06
native16@C3,native16,c3,"[-0.46457697431513595, -1.8704860039118247, 1.5013272079750106]","[-0.4644379424928994, -1.8702064161797, 1.5067132500235818]","[-0.4645766164498004, -1.8704863151001827, 1.5013271538719064]",0.0031148540948454225,2.7557995718006236e-07
native16@C4,native16,c4,"[-2.2069655966976276, -0.29854279458970545, 1.703898839900916]","[-2.2069919797252395, -0.2980347485208852, 1.709285051351158]","[-2.2069650202137057, -0.29854293390401904, 1.7038984559409225]",0.0031235706415845294,4.0790826864391706e-07
native16@CP1,native16,cp1,"[-0.8733963427490008, -1.5870516230821174, 1.4795414262249884]","[-0.8731232208145859, -1.5863526732174442, 1.4855461501291827]","[-0.8734026206734795, -1.5870527317425747, 1.4795553496233023]",0.0034937962004094845,8.841238306482675e-06
native16@CP2,native16,cp2,"[-1.6169053123170936, -0.9794349623086679, 1.7647469868729098]","[-1.6167947269827834, -0.9789692093302611, 1.770432859760319]","[-1.6169051347288432, -0.9794342885865474, 1.764747399809934]",0.0032943540310068943,4.6760241953044657e-07
native16@CP3,native16,cp3,"[-0.4886382508909813, -1.7725062171980417, 1.2305730558034382]","[-0.4884950774777216, -1.7722157320344412, 1.235988381172348]","[-0.4886395115404611, -1.7725044648170112, 1.2305733280138567]",0.0031321254289323574,1.256207904623462e-06
native16@CP4,native16,cp4,"[-1.8788122668122251, -0.4247392115977181, 1.7894501425527307]","[-1.87882277719359, -0.4242044498076539, 1.794996489555193]","[-1.8788128491367218, -0.4247397837288765, 1.7894502894219353]",0.0032170403433359057,4.788898429441268e-07
native16@CPz,native16,cpz,"[-1.4243005433596079, -1.0405924819139158, 1.79733600022365]","[-1.4241319654402598, -1.0401401050417773, 1.8027540110499596]","[-1.4243006740557345, -1.040592718408111, 1.7973319459610306]",0.003140483225203039,2.34592244606873e-06
native16@Cz,native16,cz,"[-1.5702543747481934, -1.468030605372972, 1.804005746311791]","[-1.57021203648018, -1.4676161615136394, 1.8095289495062719]","[-1.5702943328769348, -1.467983843421963, 1.8040069085969757]",0.0031978810572524186,3.551846009013975e-05
native16@FC1,native16,fc1,"[-1.2659276915877908, -1.5574613425993757, 1.7749792920685101]","[-1.265948621300531, -1.5571974416313725, 1.7802251586245181]","[-1.2659281017003112, -1.5574639532112367, 1.7749786929139766]",0.0030325565505709157,1.5644458787660244e-06
native16@FC2,native16,fc2,"[-2.575454634295988, -1.193069511535905, 2.245548386083042]","[-2.57550291031865, -1.1928394242524072, 2.2508946691812026]","[-2.575455026885941, -1.1930699805206726, 2.2455484174932034]",0.00308966091440851,3.535817594103324e-07
native16@FC3,native16,fc3,"[-0.24143858541703966, -1.5721293138474581, 1.1679899710754662]","[-0.2414923686792209, -1.5718175072211937, 1.1733818414616213]","[-0.24143888806287714, -1.572121909581239, 1.1680085404038647]",0.0031183533193321383,1.1543175616160799e-05
native16@FC4,native16,fc4,"[-2.2707743968042804, -0.4320342305047052, 1.8392692359781655]","[-2.270621898119235, -0.431729464007504, 1.8447922842624191]","[-2.270773805037781, -0.4320380329311379, 1.8392749688660717]",0.003194797897465711,3.9864202032549935e-06
native16@Fz,native16,fz,"[-1.665618866053428, -1.053151602480042, 1.8819365715002185]","[-1.665693365384862, -1.0530350579863308, 1.8870605424129305]","[-1.6656192894966233, -1.0531508764614788, 1.8819356505442852]",0.002959403694649601,7.198534399455525e-07
native16@Pz,native16,pz,"[-1.0595386990363165, -0.7961891034055125, 1.7012200920052905]","[-1.0593920203860687, -0.7956522072629211, 1.707096560472218]","[-1.059538503970647, -0.796186974727575, 1.70121852203778]",0.0034079638954054325,1.5312433249597716e-06
native16@car,native16,car,"[-1.6610281517379546, -1.4911287655310137, 1.7275799397200693]","[-1.661053343252843, -1.490779778478803, 1.7331163227844981]","[-1.6610267350497978, -1.491126162391, 1.7275798125894004]",0.0032028093923474645,1.7126495527717953e-06
native32@C1,native32,c1,"[-0.5574401846947665, -0.752584998397835, 1.4922444716105416]","[-0.5574703715181224, -0.7517999967122126, 1.4989429712885862]","[-0.5574393041839183, -0.7525866676737327, 1.492243341736545]",0.0038938856697604647,1.2699601863527891e-06
native32@C2,native32,c2,"[-1.344960764096376, -0.22055667029446194, 1.8150715013360974]","[-1.3447349368907562, -0.21979679863424262, 1.8216764965507861]","[-1.3449604266562623, -0.2205560976872541, 1.8150717162409113]",0.003840762279064898,4.0329018665928015e-07
native32@C3,native32,c3,"[0.20406549769068594, -1.359209951588007, 1.1949661768391917]","[0.2041323654490163, -1.358767509251685, 1.2011605202797304]","[0.20406972696924558, -1.359171741621269, 1.194945298860546]",0.0035856248724324643,2.5257199287744827e-05
native32@C4,native32,c4,"[-1.7656003525297703, 0.4696455453993626, 1.733439063455108]","[-1.7656372856082292, 0.4703164319547802, 1.7399548724889555]","[-1.7656025934788775, 0.46963992296528856, 1.7334521639711875]",0.0037818522881472366,8.33180931465007e-06
native32@C5,native32,c5,"[0.035097989939793996, -1.0329340321759013, 1.2661318548591478]","[0.03504038834948349, -1.0327124073510863, 1.2722400707448125]","[0.03509145761096812, -1.0329394339268108, 1.2661432579845981]",0.0035290573251255523,8.203281920738384e-06
native32@C6,native32,c6,"[-1.4133954858425635, 0.5831812937812787, 1.4548709453644235]","[-1.4134499057972576, 0.5836318717988801, 1.4613179978596647]","[-1.413395276917309, 0.5831809660305142, 1.4548709992611175]",0.0037314192098007186,2.2655034702494026e-07
native32@CP1,native32,cp1,"[-0.23238818535505393, -0.7596217921466314, 1.4001051287409951]","[-0.23247668076250233, -0.7584617099782299, 1.4073553735109259]","[-0.23238794917262784, -0.7596219847693092, 1.4001049315539666]",0.004239483903279213,2.09577637643974e-07
native32@CP2,native32,cp2,"[-0.9994458452601884, -0.09386599617365698, 1.7063620819849359]","[-0.9993370791181249, -0.09299436502432099, 1.7131883807768367]","[-0.9994329781753626, -0.09385901364387311, 1.7063528258677447]",0.003973660198962587,9.999888325284792e-06
native32@CP3,native32,cp3,"[0.1593704289460924, -1.3035338546409536, 1.0163048406857749]","[0.159411499257206, -1.3030091749621886, 1.022641617444106]","[0.1593725638302379, -1.303544483313798, 1.0163305740387976]",0.003671135846968403,1.6121743852494205e-05
native32@CP4,native32,cp4,"[-1.3125430827529956, 0.3255057008524155, 1.7573647439519626]","[-1.3125731515028303, 0.32617951562828573, 1.7638692124691777]","[-1.312532867972779, 0.325507277442733, 1.757359389331133]",0.003775492955599307,6.7205985877025e-06
native32@CP5,native32,cp5,"[0.1219303739676091, -1.0827052073332724, 1.1454855891446274]","[0.12205398246875691, -1.0825113166407119, 1.1515286506672238]","[0.12195541897219017, -1.082720799706709, 1.145476012319753]",0.003491487993587756,1.790800508645155e-05
native32@CP6,native32,cp6,"[-1.2469732874633859, 0.3792202409144226, 1.8121184277438473]","[-1.247044857508062, 0.37987113146359164, 1.8185996929972117]","[-1.2469483786929454, 0.379228676657948, 1.8121124543856488]",0.0037610096190057135,1.5570159727838996e-05
native32@CPz,native32,cpz,"[-0.7203639019673224, -0.2898058054600111, 1.662170559332416]","[-0.7202597668151169, -0.2889459761764387, 1.6688296469289143]","[-0.7203643887401029, -0.2898048907932116, 1.6621643177885488]",0.0038770090767949084,3.6528725199708096e-06
native32@Cz,native32,cz,"[-0.8481429601155185, -0.5953986962585368, 1.6638140563941755]","[-0.8479997209934068, -0.5945600560698346, 1.6705162803525708]","[-0.8481422126400214, -0.595398369353232, 1.6638144273703186]",0.003900582896640733,5.174327640047592e-07
native32@F1,native32,f1,"[-1.164292026598031, -1.0172439795383192, 1.9388659693409869]","[-1.1643620973996298, -1.0167773818122068, 1.944816811407278]","[-1.1642919652519477, -1.0172435985883348, 1.9388658493182953]",0.0034465028000950485,2.3330357839739336e-07
native32@F2,native32,f2,"[-1.9295404069891977, -0.7597160782765774, 2.365673156429123]","[-1.9294691524565921, -0.759345950888297, 2.3717694943481193]","[-1.9295453467246424, -0.7596989272163437, 2.36565506836573]",0.003526443322223457,1.4671263189471016e-05
native32@F3,native32,f3,"[-0.7994977076955129, -0.9962313864891085, 1.8245772574100334]","[-0.7996377572640776, -0.995724191556792, 1.8305221302150565]","[-0.7994976383556058, -0.9962314636151682, 1.8245774156752304]",0.003445691669748653,1.0924639485627763e-07
native32@F4,native32,f4,"[-1.9452188545222369, -0.7182631277283407, 2.4305383665140248]","[-1.944917136674849, -0.7179997177700208, 2.436619686916603]","[-1.9452180812293698, -0.7182628282348679, 2.430536801958972]",0.003518658660360456,1.0223356772946866e-06
native32@FC1,native32,fc1,"[-0.643153634809031, -0.8313993323859471, 1.6831119127842178]","[-0.6431954561569923, -0.8307534425409591, 1.6894978485904224]","[-0.6431525348979512, -0.8313988065518165, 1.6831147466688703]",0.0037058107002368645,1.7811240027896776e-06
native32@FC2,native32,fc2,"[-1.6514204328602593, -0.285541576176965, 1.9383652328070928]","[-1.6514380714217076, -0.28498455835939235, 1.9448201913108845]","[-1.6514233429472234, -0.2855253538436072, 1.938365299036202]",0.003740635830693995,9.515550290704846e-06
native32@FC3,native32,fc3,"[-0.17615742549699495, -1.132186649303404, 1.570338057126619]","[-0.17639114042826787, -1.1315007113458546, 1.5765509921447323]","[-0.17616620510883665, -1.1321824149510245, 1.5703397146065734]",0.0036113568590399685,5.7084313071388325e-06
native32@FC4,native32,fc4,"[-1.91334226878351, 0.15496456674800374, 1.8917159618098713]","[-1.9132176248813273, 0.1554924372145844, 1.8981231743234392]","[-1.9133236878271727, 0.15494732323739818, 1.8917227564937096]",0.0037124365550520663,1.5152099138133832e-05
native32@FC5,native32,fc5,"[0.2779430354888752, -0.6651567282753723, 1.144221742719691]","[0.2779739121186257, -0.6649176752658305, 1.1502678397795991]","[0.2779418916078463, -0.6651544399486864, 1.144217590736256]",0.003493488674923928,2.815662697293786e-06
native32@FC6,native32,fc6,"[-1.5366433526346162, 0.7231987480284104, 1.247752948860808]","[-1.5366937154944222, 0.7238402735608718, 1.2541091903835118]","[-1.5366463576171587, 0.7231986164884703, 1.2477511034971531]",0.0036885361921044136,2.037366752731125e-06
native32@Fz,native32,fz,"[-1.613138837769183, -0.9341981073945163, 2.079441449893236]","[-1.6131605615865945, -0.9338023042168367, 2.085346254641234]","[-1.6131393211431393, -0.9341951789126941, 2.079438821691534]",0.003416813876097651,2.2888934991130667e-06
native32@O1,native32,o1,"[-0.5527504624311295, -0.4083764776035473, 1.5017388207076492]","[-0.5527274795938205, -0.4079326181700926, 1.5083374035491128]","[-0.552755148126594, -0.40837852986277234, 1.5017453911038787]",0.0038183257641334497,4.807550191319213e-06
native32@O2,native32,o2,"[-0.8168238821790903, 0.0016125055379547911, 1.887368269411522]","[-0.8168952433230557, 0.0021494270438092464, 1.8938607467365904]","[-0.8168282793649427, 0.0016115251743613486, 1.8873670405123735]",0.0037614553448032145,2.6960804459581645e-06
native32@P3,native32,p3,"[-0.18068255467420108, -0.7377283591591348, 1.3360136072538744]","[-0.18068081573561132, -0.737219281763635, 1.342486462731258]","[-0.18068144976881298, -0.7377278917724589, 1.3360138190303292]",0.00374864512633616,7.033528010635015e-07
native32@P4,native32,p4,"[-0.865066479820114, 0.04509112969041469, 1.9648859273808963]","[-0.8650174861677693, 0.0456563859175892, 1.9712346382666737]","[-0.8650691228565827, 0.0450934693512563, 1.9648851070184143]",0.003680038264815452,2.0922594828191203e-06
native32@PO3,native32,po3,"[-0.40149285800805495, -0.6135719577640348, 1.4445901557212635]","[-0.4015170479245423, -0.6130691484679267, 1.451105803977139]","[-0.4014903724575883, -0.61357098085262, 1.444590374948108]",0.0037730215360550446,1.5470808472946898e-06
native32@PO4,native32,po4,"[-0.8833706456135194, 0.13548085187811676, 2.049829687681468]","[-0.8833427726350682, 0.13597634705676853, 2.05619432783621]","[-0.8833628129343316, 0.1354834388639735, 2.0498371426611617]",0.0036857806352858864,6.419244018663311e-06
native32@Pz,native32,pz,"[-0.534481903984765, -0.29818787807785657, 1.6329142861068264]","[-0.5344243181050415, -0.2977416783979665, 1.6392931220124276]","[-0.5344866531087422, -0.2982086900639917, 1.63289647709865]",0.003691971370350548,1.6050479927050396e-05
native32@car,native32,car,"[-0.9988960813827041, -0.552281230127568, 1.446982341677948]","[-0.9988632526021097, -0.5517044215204249, 1.453377478701662]","[-0.9988964110951816, -0.5522813735646833, 1.4469822407469082]",0.0037072704896454634,2.156166340237798e-07
