comparison,dominant_class,class_name,metric,candidate,baseline,candidate_cluster_mean,baseline_cluster_mean,candidate_minus_baseline,ci_lower,ci_upper,confidence,n_resamples,n_probe_seeds,n_repeats,n_reference_clusters,direction,noninferiority_tolerance,point_improves,interval_confirms_improvement,point_within_tolerance,interval_confirms_noninferiority,material_harm_detected
primary_random,,,target_bias_rmse,class_operator_trust_safeguard,operator_confusion_shrinkage,0.16712523952372133,0.18457507832668313,-0.017449838802961824,-0.03421856851843881,-0.007074686226727281,0.95,10000,2,20,32,lower,0.0,True,True,True,True,False
primary_random,,,balanced_accuracy,class_operator_trust_safeguard,operator_confusion_shrinkage,0.4318833570565907,0.4312218892878709,0.000661467768719807,-0.00020787841291407827,0.0018710553344979271,0.95,10000,2,20,32,higher,0.01,True,False,True,True,False
primary_random,,,max_class_recall_gap_to_car,class_operator_trust_safeguard,operator_confusion_shrinkage,0.11951259489302965,0.1232995007332643,-0.0037869058402346446,-0.010990478347135953,0.001655644113397172,0.95,10000,2,20,32,lower,0.01,True,False,True,True,False
primary_random,,,target_bias_rmse,class_operator_trust_safeguard,topology_ridge,0.16712523952372133,0.17353812947484246,-0.006412889951121164,-0.02859948048007694,0.018043125173261353,0.95,10000,2,20,32,lower,0.0,True,False,True,False,False
primary_random,,,balanced_accuracy,class_operator_trust_safeguard,topology_ridge,0.4318833570565907,0.4305238796152519,0.0013594774413388483,-0.0012243310310990536,0.00372473843760782,0.95,10000,2,20,32,higher,0.01,True,False,True,True,False
primary_random,,,max_class_recall_gap_to_car,class_operator_trust_safeguard,topology_ridge,0.11951259489302965,0.11398647774327117,0.005526117149758462,-0.01657902405753969,0.027743488235420995,0.95,10000,2,20,32,lower,0.01,False,False,True,False,False
balanced_stress_size,,,target_bias_rmse,class_operator_trust_safeguard,operator_confusion_shrinkage,0.1736142455871698,0.24952066423164432,-0.07590641864447444,-0.10050920021463772,-0.04583428617802868,0.95,10000,2,20,32,lower,0.0,True,True,True,True,False
balanced_stress_size,,,balanced_accuracy,class_operator_trust_safeguard,operator_confusion_shrinkage,0.4320297335986025,0.4296956481301759,0.002334085468426501,-0.0005311922082578482,0.005812043563179349,0.95,10000,2,20,32,higher,0.01,True,False,True,True,False
balanced_stress_size,,,max_class_recall_gap_to_car,class_operator_trust_safeguard,operator_confusion_shrinkage,0.1338525761300897,0.15682590903209107,-0.022973332902001382,-0.035016856991890964,-0.01269600734881815,0.95,10000,2,20,32,lower,0.01,True,True,True,True,False
balanced_stress_size,,,target_bias_rmse,class_operator_trust_safeguard,topology_ridge,0.1736142455871698,0.17353812947484246,7.611611232736098e-05,-0.02875497482381524,0.03440190927297806,0.95,10000,2,20,32,lower,0.0,False,False,False,False,False
balanced_stress_size,,,balanced_accuracy,class_operator_trust_safeguard,topology_ridge,0.4320297335986025,0.4305238796152519,0.00150585398335058,-0.0017090954092801134,0.0049238006612858,0.95,10000,2,20,32,higher,0.01,True,False,True,True,False
balanced_stress_size,,,max_class_recall_gap_to_car,class_operator_trust_safeguard,topology_ridge,0.1338525761300897,0.11398647774327117,0.019866098386818506,-0.019602747314958594,0.062441556542227404,0.95,10000,2,20,32,lower,0.01,False,False,False,False,False
severe_skew,,,target_bias_rmse,class_operator_trust_safeguard,operator_confusion_shrinkage,0.17364131812351702,0.2669653332093084,-0.09332401508579136,-0.12094531880224495,-0.06851135962069357,0.95,10000,2,20,32,lower,0.0,True,True,True,True,False
severe_skew,,,balanced_accuracy,class_operator_trust_safeguard,operator_confusion_shrinkage,0.43206606657608687,0.4295104972044298,0.0025555693716571787,-0.0004616068227279575,0.006344031250336979,0.95,10000,2,20,32,higher,0.01,True,False,True,True,False
severe_skew,,,max_class_recall_gap_to_car,class_operator_trust_safeguard,operator_confusion_shrinkage,0.13365450714932708,0.1570596909506556,-0.023405183801328507,-0.03703630096456609,-0.01117528589221015,0.95,10000,2,20,32,lower,0.01,True,True,True,True,False
severe_skew,,,target_bias_rmse,class_operator_trust_safeguard,topology_ridge,0.17364131812351702,0.17353812947484246,0.00010318864867454175,-0.02759461007319044,0.031144860971406327,0.95,10000,2,20,32,lower,0.0,False,False,False,False,False
severe_skew,,,balanced_accuracy,class_operator_trust_safeguard,topology_ridge,0.43206606657608687,0.4305238796152519,0.0015421869608350518,-0.001667957798212139,0.004830792139446916,0.95,10000,2,20,32,higher,0.01,True,False,True,True,False
severe_skew,,,max_class_recall_gap_to_car,class_operator_trust_safeguard,topology_ridge,0.13365450714932708,0.11398647774327117,0.019668029406055908,-0.019441872627674245,0.06160380340428745,0.95,10000,2,20,32,lower,0.01,False,False,False,False,False
severe_left_fist,0.0,left_fist,target_bias_rmse,class_operator_trust_safeguard,operator_confusion_shrinkage,0.15439284779111945,0.2566864667796676,-0.10229361898854812,-0.22407359633910143,0.0066965577088745456,0.95,10000,2,20,32,lower,0.0,True,False,True,False,False
severe_left_fist,0.0,left_fist,balanced_accuracy,class_operator_trust_safeguard,operator_confusion_shrinkage,0.43204212765269145,0.429137504582902,0.0029046230697895086,-0.0014601009518957087,0.008313878914337472,0.95,10000,2,20,32,higher,0.01,True,False,True,True,False
severe_left_fist,0.0,left_fist,max_class_recall_gap_to_car,class_operator_trust_safeguard,operator_confusion_shrinkage,0.12140158622325739,0.1479723354468599,-0.026570749223602485,-0.04838517539035543,-0.007028707837301589,0.95,10000,2,20,32,lower,0.01,True,True,True,True,False
severe_left_fist,0.0,left_fist,target_bias_rmse,class_operator_trust_safeguard,topology_ridge,0.15439284779111945,0.17353812947484246,-0.01914528168372301,-0.03912403259282487,-0.0009511201698492981,0.95,10000,2,20,32,lower,0.0,True,True,True,True,False
severe_left_fist,0.0,left_fist,balanced_accuracy,class_operator_trust_safeguard,topology_ridge,0.43204212765269145,0.4305238796152519,0.0015182480374396068,-0.0011087445139967352,0.004057675990176416,0.95,10000,2,20,32,higher,0.01,True,False,True,True,False
severe_left_fist,0.0,left_fist,max_class_recall_gap_to_car,class_operator_trust_safeguard,topology_ridge,0.12140158622325739,0.11398647774327117,0.0074151084799862045,-0.025560346036059344,0.0424359977516822,0.95,10000,2,20,32,lower,0.01,False,False,True,False,False
severe_right_fist,1.0,right_fist,target_bias_rmse,class_operator_trust_safeguard,operator_confusion_shrinkage,0.1835193080809618,0.290247822570256,-0.10672851448929425,-0.1901929421499403,-0.01934242646002872,0.95,10000,2,20,32,lower,0.0,True,True,True,True,False
severe_right_fist,1.0,right_fist,balanced_accuracy,class_operator_trust_safeguard,operator_confusion_shrinkage,0.43211901931288815,0.43059831807496546,0.001520701237922705,-5.378288232185991e-05,0.0031360213738461833,0.95,10000,2,20,32,higher,0.01,True,False,True,True,False
severe_right_fist,1.0,right_fist,max_class_recall_gap_to_car,class_operator_trust_safeguard,operator_confusion_shrinkage,0.13804436788302277,0.1499554649758454,-0.011911097092822636,-0.01936092779503105,-0.003512396075957552,0.95,10000,2,20,32,lower,0.01,True,True,True,True,False
severe_right_fist,1.0,right_fist,target_bias_rmse,class_operator_trust_safeguard,topology_ridge,0.1835193080809618,0.17353812947484246,0.009981178606119334,-0.030115122057546743,0.05500546773945469,0.95,10000,2,20,32,lower,0.0,False,False,False,False,False
severe_right_fist,1.0,right_fist,balanced_accuracy,class_operator_trust_safeguard,topology_ridge,0.43211901931288815,0.4305238796152519,0.001595139697636292,-0.002232923466884508,0.005628286210317459,0.95,10000,2,20,32,higher,0.01,True,False,True,True,False
severe_right_fist,1.0,right_fist,max_class_recall_gap_to_car,class_operator_trust_safeguard,topology_ridge,0.13804436788302277,0.11398647774327117,0.02405789013975157,-0.02055265821795201,0.07188627393892341,0.95,10000,2,20,32,lower,0.01,False,False,False,False,False
severe_both_fists,2.0,both_fists,target_bias_rmse,class_operator_trust_safeguard,operator_confusion_shrinkage,0.18334306856237462,0.2679328265825918,-0.08458975802021722,-0.10903881026451868,-0.06055075253866957,0.95,10000,2,20,32,lower,0.0,True,True,True,True,False
severe_both_fists,2.0,both_fists,balanced_accuracy,class_operator_trust_safeguard,operator_confusion_shrinkage,0.4326228756901311,0.4299641387918392,0.0026587368982919266,-0.001042732359871035,0.007324214706262941,0.95,10000,2,20,32,higher,0.01,True,False,True,True,False
severe_both_fists,2.0,both_fists,max_class_recall_gap_to_car,class_operator_trust_safeguard,operator_confusion_shrinkage,0.1421403500258799,0.16939640484817114,-0.027256054822291244,-0.040790540485895456,-0.015919448083807807,0.95,10000,2,20,32,lower,0.01,True,True,True,True,False
severe_both_fists,2.0,both_fists,target_bias_rmse,class_operator_trust_safeguard,topology_ridge,0.18334306856237462,0.17353812947484246,0.00980493908753214,-0.018502906520972594,0.04303921717097394,0.95,10000,2,20,32,lower,0.0,False,False,False,False,False
severe_both_fists,2.0,both_fists,balanced_accuracy,class_operator_trust_safeguard,topology_ridge,0.4326228756901311,0.4305238796152519,0.0020989960748792206,-0.000662333970895886,0.004882159941931938,0.95,10000,2,20,32,higher,0.01,True,False,True,True,False
severe_both_fists,2.0,both_fists,max_class_recall_gap_to_car,class_operator_trust_safeguard,topology_ridge,0.1421403500258799,0.11398647774327117,0.028153872282608704,-0.016330229765139752,0.07666824439807628,0.95,10000,2,20,32,lower,0.01,False,False,False,False,False
severe_both_feet,3.0,both_feet,target_bias_rmse,class_operator_trust_safeguard,operator_confusion_shrinkage,0.1733100480596122,0.25299421690471796,-0.07968416884510576,-0.10297433012575366,-0.05254964774378417,0.95,10000,2,20,32,lower,0.0,True,True,True,True,False
severe_both_feet,3.0,both_feet,balanced_accuracy,class_operator_trust_safeguard,operator_confusion_shrinkage,0.4314802436486369,0.4283420273680124,0.003138216280624568,-0.0003741199817223108,0.007247756568376897,0.95,10000,2,20,32,higher,0.01,True,False,True,True,False
severe_both_feet,3.0,both_feet,max_class_recall_gap_to_car,class_operator_trust_safeguard,operator_confusion_shrinkage,0.13303172446514835,0.16091455853174602,-0.027882834066597657,-0.04607632958074535,-0.010895827267727743,0.95,10000,2,20,32,lower,0.01,True,True,True,True,False
severe_both_feet,3.0,both_feet,target_bias_rmse,class_operator_trust_safeguard,topology_ridge,0.1733100480596122,0.17353812947484246,-0.00022808141523028845,-0.02640461013559653,0.030079950895166557,0.95,10000,2,20,32,lower,0.0,True,False,True,False,False
severe_both_feet,3.0,both_feet,balanced_accuracy,class_operator_trust_safeguard,topology_ridge,0.4314802436486369,0.4305238796152519,0.000956364033385085,-0.0030427781888910472,0.004859135577068234,0.95,10000,2,20,32,higher,0.01,True,False,True,True,False
severe_both_feet,3.0,both_feet,max_class_recall_gap_to_car,class_operator_trust_safeguard,topology_ridge,0.13303172446514835,0.11398647774327117,0.019045246721877164,-0.017288025955400264,0.05743787067589718,0.95,10000,2,20,32,lower,0.01,False,False,False,False,False
