scope,base_view,target_view,class_index,class_name,point_recall_gap,n_subjects,n_resamples,ci_lower,ci_upper,probability_gap_positive
full_reference,car,cz,0,left_fist,0.12860310421286036,20,10000,0.08810398663497782,0.17226336496181438,1.0
full_reference,car,cz,1,right_fist,0.028953229398663738,20,10000,-0.006741573033707815,0.06422221770174324,0.9347
full_reference,car,cz,2,both_fists,0.07555555555555549,20,10000,0.03426087530433256,0.11415525114155256,0.9995
full_reference,car,cz,3,both_feet,-0.08388520971302438,20,10000,-0.12527964205816555,-0.04231625835189312,0.0
full_reference,car,pz,0,left_fist,0.19733924611973397,20,10000,0.14476614699331847,0.2544257664348925,1.0
full_reference,car,pz,1,right_fist,0.08240534521158127,20,10000,0.0383725570943404,0.13186813186813184,1.0
full_reference,car,pz,2,both_fists,0.08444444444444438,20,10000,0.017203378097743336,0.14874510551741674,0.9916
full_reference,car,pz,3,both_feet,-0.1832229580573952,20,10000,-0.2379912663755458,-0.13111111111111107,0.0
full_reference,car,fcz,0,left_fist,0.04434589800443467,20,10000,-0.002222222222222128,0.08951965065502182,0.9666
full_reference,car,fcz,1,right_fist,0.013363028953229383,20,10000,-0.019868648537771767,0.04524886877828049,0.7678
full_reference,car,fcz,2,both_fists,0.1177777777777777,20,10000,0.06170142468834946,0.16739154376556217,1.0
full_reference,car,fcz,3,both_feet,-0.0640176600441501,20,10000,-0.10321315152737168,-0.024229074889867808,0.0008
montage_effect,car,native16@car,0,left_fist,-0.13968957871396892,20,10000,-0.20309225180512164,-0.08017817371937641,0.0
montage_effect,car,native16@car,1,right_fist,-0.08017817371937641,20,10000,-0.16400911161731202,0.01091703056768556,0.0402
montage_effect,car,native16@car,2,both_fists,0.5088888888888888,20,10000,0.41830065359477125,0.5936125979013577,1.0
montage_effect,car,native16@car,3,both_feet,0.6181015452538631,20,10000,0.5261929297155461,0.7092511013215859,1.0
within_montage_reference,native16@car,native16@cz,0,left_fist,-0.0044345898004434225,20,10000,-0.039735099337748325,0.03160270880361171,0.3687
within_montage_reference,native16@car,native16@cz,1,right_fist,0.013363028953229383,20,10000,-0.01906779661016944,0.04708520179372189,0.7665
within_montage_reference,native16@car,native16@cz,2,both_fists,0.0,20,10000,0.0,0.0,0.0
within_montage_reference,native16@car,native16@cz,3,both_feet,-0.011037527593818985,20,10000,-0.020089285714285712,-0.0042643923240938165,0.0
