montage_size,base_view,target_view,reference,class_index,class_name,point_recall_gap,n_subjects,n_resamples,ci_lower,ci_upper,probability_gap_positive,ci_excludes_zero
32,native32@car,native32@cz,cz,0,left_fist,0.0687361419068736,20,10000,0.03761061946902655,0.10022271714922049,1.0,True
32,native32@car,native32@cz,cz,1,right_fist,0.017817371937639215,20,10000,-0.011389521640091105,0.05046098397015828,0.8558,False
32,native32@car,native32@cz,cz,2,both_fists,0.024444444444444435,20,10000,-0.027843846112340136,0.07905982905982906,0.7966,False
32,native32@car,native32@cz,cz,3,both_feet,-0.09933774834437087,20,10000,-0.152317880794702,-0.044147679201797164,0.0002,True
32,native32@car,native32@pz,pz,0,left_fist,0.15521064301552112,20,10000,0.10619469026548678,0.20394846248103624,1.0,True
32,native32@car,native32@pz,pz,1,right_fist,0.15144766146993316,20,10000,0.09255079006772005,0.21365980555977512,1.0,True
32,native32@car,native32@pz,pz,2,both_fists,0.07999999999999999,20,10000,0.006787330316742099,0.15632203705427794,0.9822,True
32,native32@car,native32@pz,pz,3,both_feet,-0.35320088300220753,20,10000,-0.43073676323676324,-0.2838137472283814,0.0,True
32,native32@car,native32@fz,fz,0,left_fist,-0.0864745011086474,20,10000,-0.13219843288362795,-0.040723981900452455,0.0,True
32,native32@car,native32@fz,fz,1,right_fist,0.013363028953229383,20,10000,-0.02882483370288247,0.0625,0.679,False
32,native32@car,native32@fz,fz,2,both_fists,0.1622222222222222,20,10000,0.10647781548516845,0.21909043707019893,1.0,True
32,native32@car,native32@fz,fz,3,both_feet,0.12803532008830024,20,10000,0.07623318385650224,0.18494813130595422,1.0,True
16,native16@car,native16@cz,cz,0,left_fist,-0.0044345898004434225,20,10000,-0.03947368421052633,0.032258064516129004,0.3748,False
16,native16@car,native16@cz,cz,1,right_fist,0.013363028953229383,20,10000,-0.018058690744921058,0.04677060133630284,0.7678,False
16,native16@car,native16@cz,cz,2,both_fists,0.0,20,10000,0.0,0.0,0.0,False
16,native16@car,native16@cz,cz,3,both_feet,-0.011037527593818985,20,10000,-0.020044543429844096,-0.0042643923240938165,0.0,True
16,native16@car,native16@pz,pz,0,left_fist,0.03325942350332589,20,10000,-0.004444444444444473,0.07079693493866078,0.951,False
16,native16@car,native16@pz,pz,1,right_fist,0.13585746102449892,20,10000,0.09699565575688515,0.17609006895230792,1.0,True
16,native16@car,native16@pz,pz,2,both_fists,-0.017777777777777778,20,10000,-0.033707865168539325,-0.0044444444444444444,0.0,True
16,native16@car,native16@pz,pz,3,both_feet,-0.29580573951434874,20,10000,-0.37229852540236286,-0.2185430463576159,0.0,True
16,native16@car,native16@fz,fz,0,left_fist,-0.07982261640798227,20,10000,-0.1299559471365639,-0.03246229576874752,0.0001,True
16,native16@car,native16@fz,fz,1,right_fist,0.15812917594654785,20,10000,0.11085372201978136,0.2053571428571429,1.0,True
16,native16@car,native16@fz,fz,2,both_fists,0.0,20,10000,0.0,0.0,0.0,False
16,native16@car,native16@fz,fz,3,both_feet,-0.030905077262693155,20,10000,-0.06904231625835189,-0.006521739130434783,0.0,True
