comparison,dominant_class,class_name,metric,candidate,baseline,candidate_cluster_mean,baseline_cluster_mean,candidate_minus_baseline,ci_lower,ci_upper,confidence,n_resamples,n_repeats,n_reference_clusters,static_baseline_broadcast_across_repeats,direction,noninferiority_tolerance,point_improves,interval_confirms_improvement,point_within_tolerance,interval_confirms_noninferiority,material_harm_detected
primary_random,,,target_bias_rmse,class_operator_trust_safeguard,fixed_topology_shrinkage,0.2062307080879303,0.24040070657459855,-0.034169998486668254,-0.054482991000043446,-0.014775319894917545,0.95,5000,20,32,False,lower,0.0,True,True,True,True,False
primary_random,,,balanced_accuracy,class_operator_trust_safeguard,fixed_topology_shrinkage,0.46776761451863347,0.46886411425983443,-0.001096499741200832,-0.0021051840035153668,9.999824771387887e-06,0.95,5000,20,32,False,higher,0.01,False,False,True,True,False
primary_random,,,max_class_recall_gap_to_car,class_operator_trust_safeguard,fixed_topology_shrinkage,0.09912752329192542,0.11119408859558311,-0.012066565303657692,-0.016341410024154585,-0.007811246441511388,0.95,5000,20,32,False,lower,0.01,True,True,True,True,False
primary_random,,,target_bias_rmse,class_operator_trust_safeguard,operator_confusion_shrinkage,0.2062307080879303,0.21386057073054357,-0.007629862642613272,-0.019320654173092557,0.003348181632357335,0.95,5000,20,32,False,lower,0.0,True,False,True,False,False
primary_random,,,balanced_accuracy,class_operator_trust_safeguard,operator_confusion_shrinkage,0.46776761451863347,0.4679196185947204,-0.0001520040760869589,-0.0008083710074836118,0.0004897706931504432,0.95,5000,20,32,False,higher,0.01,False,False,True,True,False
primary_random,,,max_class_recall_gap_to_car,class_operator_trust_safeguard,operator_confusion_shrinkage,0.09912752329192542,0.10034652130779845,-0.0012189980158730164,-0.003790174527691514,0.0013035997347308488,0.95,5000,20,32,False,lower,0.01,True,False,True,True,False
primary_random,,,target_bias_rmse,class_operator_trust_safeguard,topology_ridge,0.2062307080879303,0.23915781633064864,-0.03292710824271837,-0.05344527861714207,-0.014258244737893342,0.95,5000,20,32,True,lower,0.0,True,True,True,True,False
primary_random,,,balanced_accuracy,class_operator_trust_safeguard,topology_ridge,0.46776761451863347,0.465038658126294,0.0027289563923395383,0.0010885578416148897,0.004310355808423912,0.95,5000,20,32,True,higher,0.01,True,True,True,True,False
primary_random,,,max_class_recall_gap_to_car,class_operator_trust_safeguard,topology_ridge,0.09912752329192542,0.10145790200138023,-0.002330378709454806,-0.009734175508971701,0.005401433909161474,0.95,5000,20,32,True,lower,0.01,True,False,True,True,False
balanced_stress_size,,,target_bias_rmse,class_operator_trust_safeguard,fixed_topology_shrinkage,0.2011807509734509,0.306307367425267,-0.10512661645181606,-0.1391721620687592,-0.06985574838139395,0.95,5000,20,32,False,lower,0.0,True,True,True,True,False
balanced_stress_size,,,balanced_accuracy,class_operator_trust_safeguard,fixed_topology_shrinkage,0.46889091075741884,0.47147124633367843,-0.0025803355762594937,-0.004326698571752076,-0.001000605549624745,0.95,5000,20,32,False,higher,0.01,False,False,True,True,False
balanced_stress_size,,,max_class_recall_gap_to_car,class_operator_trust_safeguard,fixed_topology_shrinkage,0.1012445005175983,0.13125425940303653,-0.030009758885438227,-0.03905412811637334,-0.021628358997584533,0.95,5000,20,32,False,lower,0.01,True,True,True,True,False
balanced_stress_size,,,target_bias_rmse,class_operator_trust_safeguard,operator_confusion_shrinkage,0.2011807509734509,0.2419900638612007,-0.04080931288774979,-0.06583742551162523,-0.01344129594589237,0.95,5000,20,32,False,lower,0.0,True,True,True,True,False
balanced_stress_size,,,balanced_accuracy,class_operator_trust_safeguard,operator_confusion_shrinkage,0.46889091075741884,0.46940380488699096,-0.0005128941295721184,-0.0017069375700914473,0.0007222660293737007,0.95,5000,20,32,False,higher,0.01,False,False,True,True,False
balanced_stress_size,,,max_class_recall_gap_to_car,class_operator_trust_safeguard,operator_confusion_shrinkage,0.1012445005175983,0.10826194789510005,-0.007017447377501718,-0.013197451636904752,-0.0003163051565734928,0.95,5000,20,32,False,lower,0.01,True,True,True,True,False
balanced_stress_size,,,target_bias_rmse,class_operator_trust_safeguard,topology_ridge,0.2011807509734509,0.23915781633064864,-0.037977065357197734,-0.062232680967847336,-0.0165612869777646,0.95,5000,20,32,True,lower,0.0,True,True,True,True,False
balanced_stress_size,,,balanced_accuracy,class_operator_trust_safeguard,topology_ridge,0.46889091075741884,0.465038658126294,0.0038522526311249097,0.0020989718124568616,0.0056394054762983195,0.95,5000,20,32,True,higher,0.01,True,True,True,True,False
balanced_stress_size,,,max_class_recall_gap_to_car,class_operator_trust_safeguard,topology_ridge,0.1012445005175983,0.10145790200138023,-0.00021340148378192516,-0.008222200655624585,0.00790714636171497,0.95,5000,20,32,True,lower,0.01,True,False,True,True,False
severe_skew,,,target_bias_rmse,class_operator_trust_safeguard,fixed_topology_shrinkage,0.20943125868719345,0.3544814244127919,-0.14505016572559842,-0.1743794289377751,-0.11391011205984453,0.95,5000,20,32,False,lower,0.0,True,True,True,True,False
severe_skew,,,balanced_accuracy,class_operator_trust_safeguard,fixed_topology_shrinkage,0.4685940633896221,0.46994753925120775,-0.001353475861585581,-0.0027457381538722875,1.863101303700025e-05,0.95,5000,20,32,False,higher,0.01,False,False,True,True,False
