seed,probe_seed,reference_seed,encoder,defense,train_view,test_view,n_train,n_val,n_test,probe,selected_c,selected_epoch,validation_balanced_accuracy,accuracy,balanced_accuracy,macro_f1,macro_auroc_ovr,paired_cosine_to_car,relative_l2_to_car,linear_cka_to_car,balanced_accuracy_gap_from_car,run_dir
7,7,7,reve,none,car,car,6300,1734,1803,reve_token,,11,0.5212533051877737,0.5707154742096506,0.5707541359019275,0.5791577918647043,0.8222126391096618,1.0,0.0,1.0,0.0,outputs/reve_statistical_audit_s7
7,7,7,reve,none,car,cz,6300,1734,1803,reve_token,,11,0.5212533051877737,0.5102606766500277,0.5104665541258443,0.5113203371160586,0.8016375606671238,0.9802468118460796,0.1913736298905901,0.7696884956064689,0.0602875817760831,outputs/reve_statistical_audit_s7
7,7,7,reve,none,car,pz,6300,1734,1803,reve_token,,11,0.5212533051877737,0.5424292845257903,0.5422848463198472,0.5463478618098174,0.8117616861538925,0.9796095851304872,0.1962992147883425,0.7506596117282506,0.0284692895820802,outputs/reve_statistical_audit_s7
7,7,7,reve,none,car,fcz,6300,1734,1803,reve_token,,11,0.5212533051877737,0.5241264559068219,0.5244057748069949,0.5262418978365738,0.8064472223978989,0.9796015676877232,0.1948775855568164,0.7725128605043469,0.0463483610949325,outputs/reve_statistical_audit_s7
7,7,7,reve,none,car,random_linear,6300,1734,1803,reve_token,,11,0.5212533051877737,0.5723793677204659,0.5724748022720275,0.5794570434211711,0.8237205690366978,0.9997478882625612,0.0213514011626818,0.9949260851422678,-0.0017206663701,outputs/reve_statistical_audit_s7
21,21,7,reve,none,car,car,6300,1734,1803,reve_token,,13,0.5193671953179727,0.5590682196339434,0.5590636774953904,0.5607120200337685,0.8195797629390843,1.0,0.0,1.0,0.0,outputs/reve_statistical_audit_s21
21,21,7,reve,none,car,cz,6300,1734,1803,reve_token,,13,0.5193671953179727,0.5374376039933444,0.537451324998776,0.542278990507257,0.8044924779683554,0.9802468118460796,0.1913736298905901,0.7696884956064689,0.0216123524966144,outputs/reve_statistical_audit_s21
21,21,7,reve,none,car,pz,6300,1734,1803,reve_token,,13,0.5193671953179727,0.562396006655574,0.5622488893294474,0.5676093203686119,0.8120101540438038,0.9796095851304872,0.1962992147883425,0.7506596117282506,-0.0031852118340569,outputs/reve_statistical_audit_s21
21,21,7,reve,none,car,fcz,6300,1734,1803,reve_token,,13,0.5193671953179727,0.547975596228508,0.548023914514121,0.5528852349781858,0.8116673620889415,0.9796015676877232,0.1948775855568164,0.7725128605043469,0.0110397629812694,outputs/reve_statistical_audit_s21
21,21,7,reve,none,car,random_linear,6300,1734,1803,reve_token,,13,0.5193671953179727,0.5601774819744869,0.5601981012698867,0.5613796728030692,0.8207072812566706,0.9997478882625612,0.0213514011626818,0.9949260851422678,-0.0011344237744962,outputs/reve_statistical_audit_s21
42,42,7,reve,none,car,car,6300,1734,1803,reve_token,,11,0.5235765673165966,0.5884636716583472,0.5883246386256558,0.5874414505764824,0.8284913140915139,1.0,0.0,1.0,0.0,outputs/reve_statistical_audit_s42
42,42,7,reve,none,car,cz,6300,1734,1803,reve_token,,11,0.5235765673165966,0.5646145313366612,0.5645022950012951,0.5688303249849154,0.8117754241076203,0.9802468118460796,0.1913736298905901,0.7696884956064689,0.0238223436243606,outputs/reve_statistical_audit_s42
42,42,7,reve,none,car,pz,6300,1734,1803,reve_token,,11,0.5235765673165966,0.5762617859123683,0.5758671226970439,0.5737534319222625,0.8194509382411793,0.9796095851304872,0.1962992147883425,0.7506596117282506,0.0124575159286118,outputs/reve_statistical_audit_s42
42,42,7,reve,none,car,fcz,6300,1734,1803,reve_token,,11,0.5235765673165966,0.5779256794231836,0.5778908442796804,0.5814458770388574,0.818086368096374,0.9796015676877232,0.1948775855568164,0.7725128605043469,0.0104337943459753,outputs/reve_statistical_audit_s42
42,42,7,reve,none,car,random_linear,6300,1734,1803,reve_token,,11,0.5235765673165966,0.5851358846367166,0.5850269036294371,0.5828051639487354,0.8294598517705147,0.9997478882625612,0.0213514011626818,0.9949260851422678,0.0032977349962186,outputs/reve_statistical_audit_s42
