probe_seed,reference_seed,defense,test_view,n_subjects,n_resamples,confidence,point_gap,bootstrap_mean_gap,ci_lower,ci_upper,probability_gap_positive,ci_excludes_zero,run_dir
7,7,none,cz,20,10000,0.95,0.0602875817760831,0.0604041061003609,0.0484871563680282,0.0726825989421843,1.0,True,outputs/reve_statistical_audit_s7
7,7,none,pz,20,10000,0.95,0.0284692895820802,0.0285557853452027,2.2010350630000394e-06,0.0544443529793228,0.975,True,outputs/reve_statistical_audit_s7
7,7,none,fcz,20,10000,0.95,0.0463483610949325,0.0465138813702044,0.0323979487689553,0.0604430506417192,1.0,True,outputs/reve_statistical_audit_s7
7,7,none,random_linear,20,10000,0.95,-0.0017206663701,-0.0017518419267124,-0.0071932474099538,0.0040134709539907,0.2597,False,outputs/reve_statistical_audit_s7
21,7,none,cz,20,10000,0.95,0.0216123524966144,0.0216529628375537,0.000104259194084,0.0439399812148714,0.9754,True,outputs/reve_statistical_audit_s21
21,7,none,pz,20,10000,0.95,-0.0031852118340569,-0.0029764500843672,-0.0320687118927915,0.0243262870102617,0.4238,False,outputs/reve_statistical_audit_s21
21,7,none,fcz,20,10000,0.95,0.0110397629812694,0.0111662154311967,-0.0087026562992635,0.0309837323890921,0.863,False,outputs/reve_statistical_audit_s21
21,7,none,random_linear,20,10000,0.95,-0.0011344237744962,-0.0010752380188723,-0.0089582069460614,0.0065753436471911,0.3927,False,outputs/reve_statistical_audit_s21
42,7,none,cz,20,10000,0.95,0.0238223436243606,0.0238549525436616,-0.0019173849881203,0.0496788274738808,0.9654,False,outputs/reve_statistical_audit_s42
42,7,none,pz,20,10000,0.95,0.0124575159286118,0.0127666550452435,-0.0131793377562381,0.0379573227855753,0.8396,False,outputs/reve_statistical_audit_s42
42,7,none,fcz,20,10000,0.95,0.0104337943459753,0.0104408048885459,-0.0060642233144534,0.0278274341141464,0.8842,False,outputs/reve_statistical_audit_s42
42,7,none,random_linear,20,10000,0.95,0.0032977349962186,0.0033298898336497,-0.0033576258121296,0.010021721775155,0.8265,False,outputs/reve_statistical_audit_s42
